1,AAPLm,Apple DRC,Buenos Aires,Technology,"Computers, Phones & Household Electronics","ARS 3,175.29T",33.5x,3.14,"ARS 14,025",0.2%
2,MSFTm,Microsoft DRC,Buenos Aires,Technology,Software & IT Services,"ARS 2,916.76T",35x,1.57,"ARS 17,675",1.1%
3,NVDAm,NVIDIA,Buenos Aires,Technology,Semiconductors & Semiconductor Equipment,"ARS 2,725.17T",67.7x,0.08,"ARS 6,240",1.8%
4,MELIm,MercadoLibre DRC,Buenos Aires,Technology,Software & IT Services,"ARS 1,875.60T",22.8x,0.8,"ARS 20,000",-0.9%
5,AMZNm,Amazon.com,Buenos Aires,Consumer Cyclicals,Diversified Retail,"ARS 1,678.19T",39.6x,0.17,"ARS 1,500",0%
6,BRKBm,Berkshire Hathaway,Buenos Aires,Consumer Non-Cyclicals,Consumer Goods Conglomerates,ARS 888.09T,13.9x,-0.66,"ARS 25,300",1.5%
7,LLYm,Eli Lilly and Co,Buenos Aires,Healthcare,Pharmaceuticals,ARS 787.55T,114x,8.36,"ARS 21,025",2.1%
8,TSMm,Taiwan Semiconductor Manufacturing Co,Buenos Aires,Technology,Semiconductors & Semiconductor Equipment,ARS 709.65T,26.4x,-5.99,"ARS 24,000",-1.2%
9,AVGOm,Broadcom,Buenos Aires,Technology,Semiconductors & Semiconductor Equipment,ARS 691.29T,66.5x,-2.36,"ARS 5,150",1%
10,TSLAm,Tesla Cedears,Buenos Aires,Consumer Cyclicals,Automobiles & Auto Parts,ARS 604.58T,51.4x,48.44,"ARS 17,000",-3.5%
11,JPMm,JPMorgan Chase DRC,Buenos Aires,Financials,Banking Services,ARS 563.03T,11.7x,0.74,"ARS 17,800",1.3%
12,WMTm,Walmart DRC,Buenos Aires,Consumer Non-Cyclicals,Food & Drug Retailing,ARS 518.13T,29.2x,0.42,"ARS 4,845",1.1%
13,SPYm,SPDR S P 500 ETF Trust DRC,Buenos Aires,Financials,Investment Banking & Investment Services,ARS 516.07T,4.7x,,"ARS 34,450",0.3%
14,UNHm,UnitedHealth Group,Buenos Aires,Healthcare,Healthcare Providers & Services,ARS 503.49T,38x,-1.14,"ARS 22,275",0.5%
15,XOMm,Exxon Mobil,Buenos Aires,Energy,Oil & Gas,ARS 496.68T,14.3x,-0.46,"ARS 15,025",0.7%
16,DXOM2m,Exxon Mobil DRC,Buenos Aires,Energy,Oil & Gas,ARS 492.61T,14.1x,-0.05,ARS 183.58,0%
17,Vm,Visa,Buenos Aires,Technology,Software & IT Services,ARS 467.02T,27.7x,1.42,"ARS 18,425",0%
