1,CBAPL,Commonwealth Bank Australia,Sydney,Financials,Banking Services,A$226.95B,18.3x,-33.84,A$134.90,0.5%
2,CBA,Commonwealth Bank Australia,Sydney,Financials,Banking Services,A$226.95B,18.3x,-33.84,A$134.90,0.5%
3,CBAPJ,Commonwealth Bank of Australia,Sydney,Financials,Banking Services,A$224.41B,23.9x,,A$103.32,0.4%
4,BHP,BHP Group Ltd,Sydney,Basic Materials,Metals & Mining,A$198.99B,17.8x,-0.25,A$39.21,-1%
5,RIO,Rio Tinto Ltd,Sydney,Basic Materials,Metals & Mining,A$175.84B,10.8x,0.39,A$108.40,-3.6%
6,CSL,CSL,Sydney,Healthcare,Pharmaceuticals,A$145.12B,36.3x,2.5,A$301.12,0.1%
7,NAB,National Australia Bank,Sydney,Financials,Banking Services,A$110.78B,16.2x,-8.58,A$35.94,0.4%
8,NABPH,National Australia Bank Prf,Sydney,Financials,Banking Services,A$110.10B,17.2x,,A$106.10,0.2%
9,WBC,Westpac Banking,Sydney,Financials,Banking Services,A$99.47B,15.7x,5.53,A$29.30,1.6%
10,NEM,Newmont DRC,Sydney,Basic Materials,Metals & Mining,A$85.20B,-25.4x,0.27,A$74.39,0.9%
11,WES,Wesfarmers,Sydney,Consumer Cyclicals,Diversified Retail,A$84.67B,33.6x,-51.25,A$74.79,1.9%
12,MQGPC,Macquarie Pref C,Sydney,,,A$75.81B,22.7x,,A$102.79,-0%
13,MQGPE,Macquarie Group Prf,Sydney,,,A$75.81B,22.7x,,A$103.51,0%
14,MQGPD,Macquarie Pref,Sydney,,,A$75.81B,22.7x,,A$105.86,-0%
15,MQG,Macquarie,Sydney,Financials,Investment Banking & Investment Services,A$75.81B,22.7x,-0.7,A$208.45,1.3%
16,GMG,Goodman Group,Sydney,Real Estate,Residential & Commercial REITs,A$66.16B,269.4x,-2.89,A$34.71,-1.3%
17,SQ2,Block,Sydney,Industrials,Professional & Commercial Services,A$57.90B,56.3x,0.1,A$94.49,-0.9%
18,FMG,Fortescue Metals,Sydney,Basic Materials,Metals & Mining,A$51.83B,6x,-24.79,A$16.82,-2.9%
19,RMD,Resmed DRC,Sydney,Healthcare,Healthcare Equipment & Supplies,A$49.29B,32x,2.29,A$33.71,1.2%
20,WDS,Woodside Energy,Sydney,Energy,Oil & Gas,A$48.51B,19.4x,-0.24,A$25.52,0.1%
21,WOW,Woolworths,Sydney,Consumer Non-Cyclicals,Food & Drug Retailing,A$41.80B,"-4,890x",51.53,A$34.30,0.7%
22,TCL,Transurban Group,Sydney,Industrials,Transport Infrastructure,A$41.43B,125.6x,0.3,A$13.37,1.1%
23,ALL,Aristocrat Leisure,Sydney,Consumer Cyclicals,Hotels & Entertainment Services,A$34.09B,23.1x,0.51,A$54.10,1%
24,WTC,Wisetech Global,Sydney,Technology,Software & IT Services,A$30.94B,139x,-38.21,A$93.09,-0.5%
25,REA,Rea Group,Sydney,Technology,Software & IT Services,A$27.53B,91.2x,-5.88,A$208.36,-0.7%
26,STO,Santos,Sydney,Energy,Oil & Gas,A$24.85B,11.7x,-0.37,A$7.67,-0.9%
27,COL,Coles Group,Sydney,Consumer Non-Cyclicals,Food & Drug Retailing,A$24.50B,23.5x,-2.62,A$18.43,0.9%
28,QBE,Qbe Insurance Group,Sydney,Financials,Insurance,A$24.25B,9.4x,0.1,A$16.15,-0.2%
29,NWSLV,News Corp DRC B,Sydney,Consumer Cyclicals,Media & Publishing,A$23.74B,,0.77,A$40,0%
30,NWS,News Corp B DRC,Sydney,Consumer Cyclicals,Media & Publishing,A$23.74B,,0.77,A$42.86,-1%
31,AMC,Amcor,Sydney,Basic Materials,Containers & Packaging,A$23.28B,23.7x,-0.76,A$16.14,-0.1%
32,COH,Cochlear,Sydney,Healthcare,Healthcare Equipment & Supplies,A$22.12B,58.6x,1.87,A$313,-7.3%
33,SUN,Suncorp,Sydney,Financials,Insurance,A$21.73B,18.4x,0.42,A$17.01,0.4%
34,BXB,Brambles,Sydney,Basic Materials,Containers & Packaging,A$21.45B,18.5x,0.83,A$15.47,1.4%
35,JHX,James Hardie Industries,Sydney,Basic Materials,Construction Materials,A$21.07B,,31.97,A$48.96,0.2%
36,XRO,Xero,Sydney,Technology,Software & IT Services,A$21.02B,132.2x,0.51,A$137.90,1.9%
37,IAG,Insurance Australia Group,Sydney,Financials,Insurance,A$17.70B,22.5x,1.31,A$7.30,0.7%
38,FPH,Fisher&Paykel Healthcare,Sydney,Healthcare,Healthcare Equipment & Supplies,A$17.52B,144.4x,-3.03,A$29.89,1.9%
39,SCG,Scentre,Sydney,Real Estate,Real Estate Operations,A$17.49B,99.4x,-2.4,A$3.37,-1.8%
40,REH,Reece,Sydney,Consumer Cyclicals,Homebuilding & Construction Supplies,A$17.09B,40.2x,47.83,A$26.47,1.4%
