1,ABI,Anheuser Busch Inbev,Brussels,Consumer Non-Cyclicals,Beverages,€108.62B,20.5x,-4.17,€55.20,0.5%
2,UCB,UCB,Brussels,Healthcare,Pharmaceuticals,€28.90B,120.9x,-4.51,€153.30,1.9%
3,ARGX,Argen-X,Brussels,Healthcare,Biotechnology & Medical Research,€28.63B,-152.1x,-3.02,€479.30,0.3%
4,KBC,KBC Groep,Brussels,Financials,Banking Services,€27.98B,9.9x,-0.95,€70.12,3.6%
5,BE0172505399,BNP Paribas Fortis,Brussels,Financials,Banking Services,€20.46B,6.6x,-5.06,€36.20,0%
6,IETB,D’Ieteren,Brussels,Consumer Cyclicals,Specialty Retailers,€11.32B,22.7x,0.41,€213,1.5%
7,LOTB,Lotus Bakeries,Brussels,Consumer Non-Cyclicals,Food & Tobacco,€8.79B,61.9x,,"€10,760",-1.3%
8,GBLB,GBL,Brussels,Financials,Investment Holding Companies,€8.62B,5.9x,0.04,€67.45,1.4%
9,AGES,Ageas,Brussels,Financials,Insurance,€7.97B,8.4x,-0.64,€43.34,1.2%
10,SYENS,Syensqo,Brussels,Basic Materials,Chemicals,€7.24B,344.3x,-3.43,€70.57,2.6%
11,SOF,Sofina,Brussels,Financials,Investment Holding Companies,€7.10B,-68.6x,-0.7,€213.80,0.4%
12,ELI,Elia,Brussels,Utilities,Electrical Utilities & IPPs,€7.05B,20.6x,-21.67,€95.75,-1.3%
13,COLR,Etablissementen Franz Colruyt,Brussels,Consumer Non-Cyclicals,Food & Drug Retailing,€5.61B,5.4x,0.01,€44.72,0%
14,ACKB,Ackermans,Brussels,Industrials,Construction & Engineering,€5.61B,14.3x,-0.32,€173.40,0.8%
15,WDPP,Warehouses de Pauw,Brussels,Real Estate,Residential & Commercial REITs,€5.55B,25.6x,0.07,€24.72,-0.6%
16,TUB,Tubize-Fin,Brussels,Healthcare,Pharmaceuticals,€5.02B,57.1x,,€112.60,1.1%
17,AZE,Azelis,Brussels,Industrials,Diversified Industrial Goods Wholesale,€4.18B,24.3x,-3,€17.46,1.9%
18,DEME,DEME NV,Brussels,Industrials,Construction & Engineering,€4.18B,26x,0.57,€166.20,0.7%
19,KBCA,KBC Ancora,Brussels,Financials,Investment Banking & Investment Services,€3.50B,11.5x,-0.21,€45.45,2.5%
20,MLXS,Melexis NV,Brussels,Technology,Semiconductors & Semiconductor Equipment,€3.25B,15.6x,5.8,€80.50,2.8%
21,SOLB,Solvay,Brussels,Basic Materials,Chemicals,€3.25B,1.8x,4.74,€30.92,1.4%
22,BRED,Brederode,Brussels,Financials,Investment Banking & Investment Services,€3.15B,13.5x,,€107.60,1.1%
23,CMBT,Euronav,Brussels,Energy,Oil & Gas Related Equipment and Services,€3.03B,2.8x,0.03,€15.43,0.9%
24,AOO,Aedifica,Brussels,Real Estate,Residential & Commercial REITs,€2.93B,26.7x,-0.69,€61.65,0.1%
25,UMI,Umicore,Brussels,Basic Materials,Chemicals,€2.72B,-2.1x,0.01,€11.34,2.7%
26,VGP1,VGP,Brussels,Real Estate,Real Estate Operations,€2.70B,30.8x,0.19,€98.90,0.5%
27,BE0944264663,SCR Sibelco,Brussels,Basic Materials,Construction Materials,€2.61B,16.8x,0.92,"€6,000",0%
28,BE0941243520,Aliaxis,Brussels,Consumer Cyclicals,Homebuilding & Construction Supplies,€2.50B,7.8x,-0.58,€32,0%
29,LU0097891112,BGL BNP Paribas,Brussels,Financials,Banking Services,€2.49B,4.3x,0.1,€89,0%
30,COFB,Cofinimmo,Brussels,Real Estate,Residential & Commercial REITs,€2.36B,-55.4x,0.48,€61.80,-0.2%
31,TITC,Titan Cement,Brussels,Basic Materials,Construction Materials,€2.34B,7.3x,0.1,€32.25,1.1%
32,SOAC,Solvac Nom,Brussels,Basic Materials,Chemicals,€2.14B,5.3x,-0.22,€100,0%
33,PROX,Proximus,Brussels,Technology,Telecommunications Services,€2.06B,5.7x,-0.63,€6.39,-1.2%
34,CENER,Cenergy Hold,Brussels,Financials,Investment Holding Companies,€2.02B,24.8x,1.1,€10.78,0%
35,TESB,Tessenderlo,Brussels,Basic Materials,Chemicals,€2.02B,13.8x,-0.27,€24,1.3%
36,BEKB,Bekaert,Brussels,Basic Materials,Metals & Mining,€1.90B,7.9x,0.26,€36.10,1.4%
