1,STD,Standard Chartered Bank Botswana,Botswana,Basic Materials,Metals & Mining,BWP 455.42B,-20.4x,0.11,BWP 6.62,0%
2,FNBB,First National Bank Botswana,Botswana,Financials,Banking Services,BWP 12.59B,9.9x,0.4,BWP 4.95,0.6%
3,BIHL,Botswana Insurance Holding,Botswana,Financials,Insurance,BWP 5.80B,7.4x,0.1,BWP 20.36,0%
4,ABSA,Absa Bank Botswana,Botswana,Financials,Banking Services,BWP 5.65B,9.1x,-1.74,BWP 6.63,0%
5,SECH,Sechaba Brewery Holdings,Botswana,Consumer Non-Cyclicals,Beverages,BWP 3.54B,13x,0.6,BWP 32,0%
6,SEFA,Sefalana Holding,Botswana,Consumer Non-Cyclicals,Food & Tobacco,BWP 3B,9x,0.77,BWP 11.95,0.6%
7,LETS,Letshego Holdings,Botswana,Financials,Banking Services,BWP 2.49B,-12.4x,0.07,BWP 1.15,0%
8,NAP,New African Properties,Botswana,Real Estate,Real Estate Operations,BWP 2.35B,10.6x,1.89,BWP 3.88,0%
9,ENGN,Engen Botswana,Botswana,Energy,Oil & Gas,BWP 2.15B,18.9x,-0.33,BWP 13.43,0%
10,RDCP,RDC Properties,Botswana,Real Estate,Real Estate Operations,BWP 1.82B,16.9x,-0.66,BWP 2.40,0%
11,CHO,Chobe Holdings,Botswana,Consumer Cyclicals,Hotels & Entertainment Services,BWP 1.48B,9.9x,0.24,BWP 16.51,0%
12,TURN,Turnstar Holdings,Botswana,Real Estate,Real Estate Operations,BWP 1.10B,7.5x,0.33,BWP 1.93,0%
13,BTCL,Botswana Telecom,Botswana,Technology,Telecommunications Services,BWP 1.08B,6.9x,0.15,BWP 1.03,0%
14,CHOPP,Choppies Enterprises,Botswana,Consumer Non-Cyclicals,Food & Drug Retailing,BWP 940.62M,5.1x,0.21,BWP 0.52,0%
15,LETL,Letlole La Rona,Botswana,Real Estate,Real Estate Operations,BWP 800.80M,5.3x,0.15,BWP 2.86,0%
16,PMT_u,PrimeTime Property Holdings,Botswana,Real Estate,Real Estate Operations,BWP 404.09M,4.6x,0.19,BWP 1.60,0%
17,CRESTA,Cresta Marakanelo,Botswana,Consumer Cyclicals,Hotels & Entertainment Services,BWP 222.10M,8.3x,0.21,BWP 1.23,0%
18,GFS,G4S Botswana,Botswana,Industrials,Professional & Commercial Services,BWP 196M,-18.9x,0.21,BWP 2.45,-2%
