1,AAPL34,Apple Inc BDR,B3,Technology,"Computers, Phones & Household Electronics",R$18.74T,34.1x,3.13,R$61.53,1.5%
2,MSFT34,Microsoft Corp BDR,B3,Technology,Software & IT Services,R$17.12T,35.4x,1.56,R$95.90,1.2%
3,NVDC34,Nvidia,B3,Technology,Semiconductors & Semiconductor Equipment,R$16.51T,70.9x,0.08,R$13.97,3.9%
4,GOGL35,Alphabet C BDR,B3,Technology,Software & IT Services,R$11T,23.2x,0.49,R$74.48,1.2%
5,GOGL34,Alphabet A BDR,B3,Technology,Software & IT Services,R$11T,23.2x,0.49,R$73.71,1%
6,AMZO34,Amazon.com Inc BDR,B3,Consumer Cyclicals,Diversified Retail,R$10.23T,41.5x,0.17,R$48.70,4.6%
7,M1TA34,Facebook BDR,B3,Technology,Software & IT Services,R$7.45T,26.7x,0.2,R$105.23,2.4%
8,BERK34,Berkshire Hathaway BDR,B3,Consumer Non-Cyclicals,Consumer Goods Conglomerates,R$5.20T,14.1x,-0.66,R$120.84,1%
9,LILY34,Eli Lilly and Co BDR,B3,Healthcare,Pharmaceuticals,R$4.59T,113.9x,8.34,R$170.15,0.3%
10,AVGO34,Broadcom,B3,Technology,Semiconductors & Semiconductor Equipment,R$4.24T,70.2x,-2.36,R$12.96,6.2%
11,TSMC34,Taiwan Semiconductor Manufacturing Co,B3,Technology,Semiconductors & Semiconductor Equipment,R$4.12T,26.6x,-5.99,R$119.53,3.3%
12,TSLA34,Tesla Motors DRC,B3,Consumer Cyclicals,Automobiles & Auto Parts,R$3.75T,55x,48.44,R$36.73,6.6%
13,JPMC34,JPMorgan Chase Co BDR,B3,Financials,Banking Services,R$3.30T,11.8x,0.74,R$116.14,0.6%
14,N1VO34,Novo Nordisk AS,B3,Healthcare,Pharmaceuticals,R$3.30T,45.8x,1.3,R$93,1%
15,WALM34,Walmart BDR,B3,Consumer Non-Cyclicals,Food & Drug Retailing,R$3.03T,31.2x,0.42,R$25.09,7.4%
16,UNHH34,Unitedhealth,B3,Healthcare,Healthcare Providers & Services,R$2.93T,37.9x,-1.13,R$45.48,0.7%
17,EXXO34,Exxon Mobil Corp BDR,B3,Energy,Oil & Gas,R$2.89T,14.2x,-0.46,R$81.52,0.4%
18,VISA34,Visa Inc BDR,B3,Technology,Software & IT Services,R$2.78T,28.4x,1.41,R$73.35,2.8%
19,MSCD34,MasterCard Inc BDR,B3,Technology,Software & IT Services,R$2.37T,35.7x,1.52,R$82.68,2.1%
20,PGCO34,Procter Gamble Co BDR,B3,Consumer Non-Cyclicals,Personal & Household Products & Services,R$2.16T,27.2x,13.51,R$65.90,0.2%
21,COWC34,Costco Wholesale DRC,B3,Consumer Cyclicals,Diversified Retail,R$2.13T,54.3x,2.71,R$120.24,1.9%
22,JNJB34,Johnson Johnson BDR,B3,Healthcare,Pharmaceuticals,R$2.10T,10.2x,0.11,R$58.45,1.3%
23,ORCL34,Oracle Corp BDR,B3,Technology,Software & IT Services,R$2.06T,35.9x,1.67,R$125.02,1.2%
24,ASML34,ASML Holding NV,B3,Technology,Semiconductors & Semiconductor Equipment,R$1.96T,48.5x,-5.1,R$92.46,5.5%
25,HOME34,Home Depot Inc BDR,B3,Consumer Cyclicals,Specialty Retailers,R$1.96T,24.2x,-2.54,R$70.70,0.8%
26,ABBV34,AbbVie DRC,B3,Healthcare,Pharmaceuticals,R$1.87T,64.2x,-1.64,R$65.94,-0.4%
27,BOAC34,Bank of America Corp BDR,B3,Financials,Banking Services,R$1.66T,13.6x,-0.71,R$53.54,1.2%
28,COCA34,Coca-Cola BDR,B3,Consumer Non-Cyclicals,Beverages,R$1.62T,27.8x,13.48,R$62.76,0.3%
29,MRCK34,Merck Co Inc BDR,B3,Healthcare,Pharmaceuticals,R$1.58T,20.8x,0.06,R$77.71,-0.4%
30,NFLX34,Netflix Inc DRC,B3,Technology,Software & IT Services,R$1.56T,40.7x,0.55,R$72.70,1%
31,FNOR11,FINOR,B3,Financials,Investment Banking & Investment Services,R$1.53T,,,R$1.01,4.1%
32,CHVX34,Chevron Corp BDR,B3,Energy,Oil & Gas,R$1.47T,14.5x,-0.39,R$80.62,1.5%
33,A1ZN34,AstraZeneca,B3,Healthcare,Pharmaceuticals,R$1.44T,40.7x,9.14,R$78,2%
34,SSFO34,Salesforce.com DRC,B3,Technology,Software & IT Services,R$1.39T,46.6x,0.03,R$65.39,3%
35,SAPP34,SAP SE BDR,B3,Technology,Software & IT Services,R$1.37T,89.3x,-1.81,"R$1,160.35",0%
36,ADBE34,Adobe,B3,Technology,Software & IT Services,R$1.35T,49.7x,7.73,R$60.92,5.1%
37,TMCO34,Toyota Motor,B3,Consumer Cyclicals,Automobiles & Auto Parts,R$1.31T,7.2x,0.1,R$62.36,2.8%
38,A1MD34,Advanced Micro Devices,B3,Technology,Semiconductors & Semiconductor Equipment,R$1.31T,175.7x,0.03,R$101.05,6%
39,PEPB34,PepsiCo Inc BDR,B3,Consumer Non-Cyclicals,Beverages,R$1.30T,24.9x,1.2,R$63.12,-0.7%
40,TMOS34,Thermo Fisher Scientific,B3,Healthcare,Healthcare Equipment & Supplies,R$1.26T,37.2x,3.6,R$68.88,0.8%
41,N1VS34,Novartis AG DRC SA,B3,Healthcare,Pharmaceuticals,R$1.25T,14.4x,0.19,R$62.34,0.2%
42,T1MU34,TMobile US,B3,Technology,Telecommunications Services,R$1.24T,24.1x,0.4,R$533.87,-0.5%
43,ACNB34,Accenture PLC BDR,B3,Technology,Software & IT Services,R$1.12T,29.2x,-26.79,"R$1,771",1.3%
44,P1DD34,Pinduoduo Inc BDR,B3,Technology,Software & IT Services,R$1.08T,19.5x,0.15,R$79.77,2.9%
45,MCDC34,McDonalds Corp BDR,B3,Consumer Cyclicals,Hotels & Entertainment Services,R$1.08T,24x,4.46,R$75.46,1.4%
46,DHER34,Danaher Corp BDR,B3,Healthcare,Healthcare Equipment & Supplies,R$1.07T,47.3x,-1.41,R$52.74,0.9%
47,CSCO34,Cisco Systems Inc BDR,B3,Technology,Communications & Networking,R$1.07T,18.9x,2.45,R$53.05,6.4%
48,QCOM34,Qualcomm Inc BDR,B3,Technology,Semiconductors & Semiconductor Equipment,R$1.06T,22.3x,16.22,R$79.30,4.2%
49,ABTT34,Abbott Laboratories BDR,B3,Healthcare,Healthcare Equipment & Supplies,R$1.06T,34.9x,4.1,R$49.20,0%
50,BABA34,Alibaba Group Holding,B3,Technology,Software & IT Services,R$1.03T,18.4x,1.24,R$15.53,-0.2%
51,WFCO34,Wells Fargo Co BDR,B3,Financials,Banking Services,R$1.02T,11.1x,0.53,R$74.88,1.7%
52,GEOO34,General Electric Co BDR,B3,Consumer Non-Cyclicals,Consumer Goods Conglomerates,R$1.02T,20.2x,-0.88,R$937.29,2.3%
53,TEXA34,Texas Instruments Inc BDR,B3,Technology,Semiconductors & Semiconductor Equipment,R$1.01T,34.7x,-1.07,R$74.35,3.6%
54,PHMO34,Philip Morris International,B3,Consumer Non-Cyclicals,Food & Tobacco,R$1T,20.8x,2.19,R$321.28,1.1%
55,INTU34,Intuit,B3,Technology,Financial Technology (Fintech) & Infrastructure,R$998.35B,59.4x,1.55,R$78.21,0%
56,FNAM11,Fundo de Investimento da Amazonia,B3,"Institutions, Associations & Organizations","Institutions, Associations & Organizations",R$991.03B,,,R$0.45,4.7%
57,IBMB34,International Business Machines BDR,B3,Technology,Software & IT Services,R$979.01B,21.1x,0.07,"R$1,061.55",1.1%
58,AXPB34,American Express Co BDR,B3,Financials,Banking Services,R$972.38B,18.6x,0.48,R$137.28,3%
59,A1MT34,Applied Materials,B3,Technology,Semiconductors & Semiconductor Equipment,R$960.77B,24.1x,1.46,R$116.16,5.3%
60,ATTB34,ATT Inc BDR,B3,Technology,Telecommunications Services,R$960.25B,14.1x,0.05,R$34.87,-2.2%
61,AMGN34,Amgen Inc BDR,B3,Healthcare,Pharmaceuticals,R$959.23B,55.7x,-0.91,R$63.53,-0.5%
