1,THQM,Tchaikapharma,Sofia,Healthcare,Pharmaceuticals,BGN 1.58B,781.8x,-14.37,BGN 17.20,0%
2,SLYG,Shelly AD,Sofia,Technology,"Computers, Phones & Household Electronics",BGN 1.29B,35.2x,0.41,BGN 71.40,0%
3,BGSFA,Sopharma AD,Sofia,Consumer Non-Cyclicals,Food & Drug Retailing,BGN 1.07B,8.6x,-16.85,BGN 5.96,1.4%
4,SPDY,Speedy AD,Sofia,Industrials,Freight & Logistics Services,BGN 989.48M,21.1x,0.6,BGN 184,0%
5,FIB,CB First Investment Bank AD,Sofia,Financials,Banking Services,BGN 805.06M,5.6x,0.24,BGN 5.40,2.9%
6,EUBG,Eurohold Bulgaria AD,Sofia,Financials,Insurance,BGN 382.82M,25.8x,,BGN 1.47,0%
7,MSH,M+S Hydraulic AD,Sofia,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",BGN 374.61M,13.6x,-0.44,BGN 9.50,0%
8,GR6,Gradus AD,Sofia,Consumer Non-Cyclicals,Food & Tobacco,BGN 344.68M,-20.1x,0.05,BGN 1.45,7.4%
9,VAM,Velgraf Asset,Sofia,Real Estate,Real Estate Operations,BGN 325.58M,944x,6.36,BGN 4.72,0%
10,BACB,BACB AD,Sofia,Financials,Banking Services,BGN 298.76M,5x,0.88,BGN 12.10,-2.4%
11,HVAR,Holding Varna AD,Sofia,Financials,Investment Holding Companies,BGN 294.46M,"-5,040x",48.37,BGN 45.40,0%
12,ATER,Advance Terafun,Sofia,Real Estate,Residential & Commercial REITs,BGN 273.20M,20.1x,-0.23,BGN 3.21,-0.6%
13,CCB,Central Co Bank,Sofia,Financials,Banking Services,BGN 208.49M,2.4x,0,BGN 1.64,0%
14,SPH,Stara Planina Hold AD,Sofia,Financials,Investment Holding Companies,BGN 207.75M,14.9x,,BGN 10,0%
15,BGSFI,Sopharma Properties ADSITS,Sofia,Real Estate,Residential & Commercial REITs,BGN 206.34M,16.8x,1.2,BGN 9.40,-0.5%
16,SFT,Sopharma Trading AD,Sofia,Healthcare,Pharmaceuticals,BGN 195.37M,6x,0.03,BGN 5.70,1.8%
17,DUH,Doverie United,Sofia,Financials,Investment Holding Companies,BGN 184.47M,3x,-0.11,BGN 8.58,0.5%
18,ODES,Odessos Shiprepair Yard AD,Sofia,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",BGN 184.21M,11.1x,-0.9,BGN 314,-0.6%
19,BGSYN,Synthetica AD,Sofia,Financials,Investment Holding Companies,BGN 180M,-100.8x,,BGN 60,0.8%
20,BGGTH,Galata Invest,Sofia,Real Estate,Residential & Commercial REITs,BGN 175.54M,"2,560x",8.76,BGN 2.56,0%
21,HRZ,Rodna Zemya Holding AD,Sofia,Financials,Investment Holding Companies,BGN 170.27M,65.8x,,BGN 3.04,0%
22,IHB,IHB,Sofia,Financials,Investment Holding Companies,BGN 164.57M,31.5x,-0.44,BGN 1.70,0%
23,CHIM,Chimimport AD,Sofia,Financials,Investment Holding Companies,BGN 163.05M,2.6x,0.06,BGN 0.72,-2%
24,BGBSP,Balkan and Sea Properties,Sofia,Real Estate,Residential & Commercial REITs,BGN 159.28M,-821.4x,7.73,BGN 23,0%
25,CHSB,Himsnab Bulgaria AD,Sofia,Real Estate,Real Estate Operations,BGN 157.16M,17.5x,0.2,BGN 63,0%
26,CAPM,Capital Management ADSITS,Sofia,,,BGN 140.66M,34.4x,,BGN 80,0%
27,AGH,Agria Group Holding AD,Sofia,Consumer Non-Cyclicals,Food & Tobacco,BGN 135M,6.1x,-0.12,BGN 20,-2.9%
28,TXIM,CB Texim Bank AD,Sofia,Financials,Banking Services,BGN 120.94M,150x,,BGN 3.60,0%
29,HNVK,Holding Nov Vek AD,Sofia,Financials,Investment Holding Companies,BGN 118.93M,-58.7x,-2.99,BGN 21.20,1%
30,MONB,Monbat AD,Sofia,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",BGN 116.87M,20.7x,0.85,BGN 3,4.2%
31,ALCM,Alcomet AD,Sofia,Basic Materials,Metals & Mining,BGN 114M,-11.8x,0.1,BGN 6.35,-0.8%
32,T57,Trace Group Hold AD,Sofia,Industrials,Construction & Engineering,BGN 111.79M,5.5x,0.01,BGN 4.62,-1.7%
33,HSI,Sila Holding AD,Sofia,Financials,Investment Holding Companies,BGN 111.30M,17.8x,,BGN 3.02,0%
34,BGALB,Albena AD,Sofia,Consumer Cyclicals,Hotels & Entertainment Services,BGN 108M,84.2x,0.62,BGN 25.60,-0.8%
35,TBS,Telelink Business Services AD,Sofia,Technology,Software & IT Services,BGN 105M,12.5x,-2.13,BGN 8.40,0%
36,BGIBG,Investor.bg AD,Sofia,Technology,Software & IT Services,BGN 102.34M,,,BGN 21.40,0%
37,BREF,Bulgarian Real Estate,Sofia,Real Estate,Residential & Commercial REITs,BGN 99.77M,5.7x,0.07,BGN 2.88,3.6%
38,BGHES,Hydraulic Elements Systems AD,Sofia,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",BGN 99.16M,32.3x,-0.62,BGN 5.45,-2.7%
39,BGBSE,BSE Sofia,Sofia,Financials,Investment Banking & Investment Services,BGN 98.57M,5.3x,0.04,BGN 7.60,0%
40,EMKA,Emka AD,Sofia,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",BGN 85.93M,9.9x,,BGN 1.98,1%
