1,AAPL,Apple CDR,CBOE Canada,Technology,"Computers, Phones & Household Electronics",CA$4.69T,34.1x,,CA$33.10,1.3%
2,MSFT,Microsoft DRC,CBOE Canada,Technology,Software & IT Services,CA$4.29T,35.4x,1.56,CA$30.90,1%
3,NVDA,NVIDIA DRC,CBOE Canada,Technology,Semiconductors & Semiconductor Equipment,CA$4.13T,70.9x,0.08,CA$28.85,3.8%
4,GOOG,Alphabet DRC,CBOE Canada,Technology,Software & IT Services,CA$2.75T,23.2x,0.49,CA$27.28,0.6%
5,AMZN,Amazon.com,CBOE Canada,Consumer Cyclicals,Diversified Retail,CA$2.56T,41.5x,,CA$21.27,4.4%
6,META,Meta Platforms Inc DRC,CBOE Canada,Technology,Software & IT Services,CA$1.87T,26.7x,0.2,CA$29.94,1.9%
7,BRK,Berkshire Hathaway DRC,CBOE Canada,Consumer Non-Cyclicals,Consumer Goods Conglomerates,CA$1.30T,14.1x,-0.66,CA$33.43,0.6%
8,LLY,Eli Lilly DRC,CBOE Canada,Healthcare,Pharmaceuticals,CA$1.15T,113.9x,8.33,CA$34.85,-0.2%
9,AVGO,Broadcom DRC,CBOE Canada,,,CA$1.06T,70.2x,-2.36,CA$39.90,5.2%
10,TSLA,Tesla DRC,CBOE Canada,Consumer Cyclicals,Automobiles & Auto Parts,CA$939.08B,55x,,CA$19.58,6%
11,JPM,JPMorgan Chase DRC,CBOE Canada,Financials,Banking Services,CA$825.49B,11.8x,0.74,CA$28.27,0.6%
12,WMT,Walmart DRC,CBOE Canada,Consumer Non-Cyclicals,Food & Drug Retailing,CA$807.26B,31.2x,0.42,CA$31.90,6.3%
13,UNH,UnitedHealth DRC,CBOE Canada,Healthcare,Healthcare Providers & Services,CA$732.52B,37.9x,-1.13,CA$27.77,0%
14,VISA,Visa DRC,CBOE Canada,Technology,Software & IT Services,CA$696.89B,28.4x,1.41,CA$25.47,2.1%
15,MA,Mastercard DRC,CBOE Canada,Technology,Software & IT Services,CA$593.93B,35.7x,1.52,CA$29.62,1.7%
16,COST,Costco Wholesale DRC,CBOE Canada,Consumer Cyclicals,Diversified Retail,CA$533.63B,54.3x,2.71,CA$40.87,1.6%
17,JNJ,Johnson Johnson DRC,CBOE Canada,Healthcare,Pharmaceuticals,CA$526.33B,10.2x,0.11,CA$21.21,0.1%
