1,CHILE,Banco De Chile (SN),Santiago,Financials,Banking Services,CLP 11.57T,8.1x,1.36,CLP 114.49,1.1%
2,ENELAM,ENEL Americas,Santiago,Utilities,Electrical Utilities & IPPs,CLP 10.19T,4.1x,0.01,CLP 94.99,-0%
3,SQMA,Soquimich Pref A,Santiago,Basic Materials,Chemicals,CLP 9.5T,30.1x,-0.28,"CLP 31,433",-1.2%
4,SQMB,Soquimich B,Santiago,Basic Materials,Chemicals,CLP 9.5T,30.1x,-0.28,"CLP 33,889",0.1%
5,BSANTANDER,Santander Chile,Santiago,Financials,Banking Services,CLP 8.82T,15.5x,2.15,CLP 46.79,0.2%
6,FALABELLA,Falabella,Santiago,Consumer Cyclicals,Diversified Retail,CLP 8.03T,45.7x,0.11,"CLP 3,200",1.1%
7,COPEC,Empresas Copec,Santiago,Energy,Oil & Gas,CLP 8.03T,20.2x,-0.44,"CLP 6,175",0.4%
8,LTM,Latam Airlines,Santiago,Industrials,Passenger Transportation Services,CLP 6.77T,12.2x,-0.12,CLP 11.20,-0.5%
9,BCI,Banco de Credito e Inversiones,Santiago,Financials,Banking Services,CLP 6.28T,7.8x,-0.54,"CLP 28,750",0.5%
10,QUINENCO,Quinenco,Santiago,Consumer Non-Cyclicals,Consumer Goods Conglomerates,CLP 5.35T,12.5x,-0.88,"CLP 3,220",0.6%
11,CENCOSUD,Cencosud,Santiago,Consumer Non-Cyclicals,Food & Drug Retailing,CLP 5.04T,28.7x,-0.61,"CLP 1,795",-0.2%
12,CMPC,Empresas CMPC,Santiago,Basic Materials,Paper & Forest Products,CLP 3.95T,9.2x,-0.19,"CLP 1,579",0.4%
13,ENELCHILE,Enel Chile,Santiago,Utilities,Electrical Utilities & IPPs,CLP 3.53T,4.6x,-0.11,CLP 51,0.3%
14,ANTARCHILE,Antar Chile,Santiago,Energy,Oil & Gas,CLP 3.22T,12.9x,-0.33,"CLP 7,100.80",-2.1%
15,MALLPLAZA,Plaza,Santiago,Real Estate,Real Estate Operations,CLP 3.21T,8x,0.07,"CLP 1,530",1.4%
16,VAPORES,Vapores,Santiago,Industrials,Freight & Logistics Services,CLP 3.04T,-6.6x,0.06,CLP 59.30,-0.8%
17,SCOTIABKCL,Scotiabank Chile,Santiago,Financials,Banking Services,CLP 2.82T,6.3x,6.6,CLP 230,0%
18,CENCOMALLS,Cencosud Shopping,Santiago,Real Estate,Real Estate Operations,CLP 2.61T,10.9x,0.99,"CLP 1,386",-1%
19,ENELGXCH,Enel Generacion Chile,Santiago,Utilities,Electrical Utilities & IPPs,CLP 2.61T,4.1x,-1.22,CLP 318.37,-2%
20,ANDINAB,Embotelladora Andina B,Santiago,Consumer Non-Cyclicals,Beverages,CLP 2.49T,10.1x,0.16,"CLP 2,985",2.9%
21,ANDINAA,Embotelladora Andina,Santiago,Consumer Non-Cyclicals,Beverages,CLP 2.49T,12.9x,0.16,"CLP 2,269.30",-0.8%
22,ITAUCL,Itau CorpBanca,Santiago,Financials,Banking Services,CLP 2.22T,6.6x,-0.37,"CLP 10,262",0.6%
23,COLBUN,Colbun,Santiago,Utilities,Electrical Utilities & IPPs,CLP 2.11T,7.5x,-0.24,CLP 120.50,0.9%
24,CCU,Cervecerias,Santiago,Consumer Non-Cyclicals,Beverages,CLP 1.99T,18.1x,-2.06,"CLP 5,379",1.5%
25,ENAEX,Enaex,Santiago,Basic Materials,Chemicals,CLP 1.79T,11.1x,8.63,"CLP 14,578",0%
26,MINERA,Minera,Santiago,Utilities,Electrical Utilities & IPPs,CLP 1.67T,5.7x,-0.19,"CLP 13,348",0%
27,BICECORP,Bicecorp,Santiago,Financials,Banking Services,CLP 1.66T,7.5x,0.62,"CLP 19,500",-1.5%
28,AGUASA,Aguas Andinas,Santiago,Utilities,Water & Related Utilities,CLP 1.62T,11.7x,0.3,CLP 271,-0.1%
29,CALICHERAB,Sociedad de Inversiones Pampa Calichera Prf,Santiago,Financials,Banking Services,CLP 1.6T,2.9x,0.86,CLP 616.02,0%
30,CALICHERAA,Pampa Calichera,Santiago,Financials,Banking Services,CLP 1.6T,2.9x,0.87,CLP 620.43,0%
31,PEHUENCHE,Pehuenche,Santiago,Utilities,Electrical Utilities & IPPs,CLP 1.5T,9.2x,-0.36,"CLP 2,441.90",0%
32,PARAUCO,Parq Arauco,Santiago,Real Estate,Real Estate Operations,CLP 1.32T,11.2x,0.22,"CLP 1,461",1.2%
33,NORTEGRAN,Norte Grande,Santiago,Financials,Investment Holding Companies,CLP 1.24T,28.3x,-0.27,CLP 7.05,-1.9%
34,SK,Sigdo Koppers,Santiago,Consumer Non-Cyclicals,Consumer Goods Conglomerates,CLP 1.14T,13.8x,-0.25,"CLP 1,065.30",-0.6%
35,PROVIDA,A.F.P. Provida,Santiago,Financials,Investment Banking & Investment Services,CLP 1.02T,7.3x,0.8,"CLP 3,101.10",0.4%
36,SECURITY,Grupo Security,Santiago,Financials,Banking Services,CLP 1.02T,5.2x,0.18,CLP 254.19,-1.6%
37,SMSAAM,Sociedad Matriz,Santiago,Industrials,Transport Infrastructure,CLP 1T,2.1x,,CLP 103,1.5%
38,ECL,Engie Energia Chile,Santiago,Utilities,Electrical Utilities & IPPs,CLP 947.98B,-3.4x,-0.32,CLP 900,2.3%
39,OROBLANCO,Oro Blanco,Santiago,Basic Materials,Chemicals,CLP 944.36B,23.3x,-0.17,CLP 4.44,-0.6%
40,HABITAT,A.F.P. Habitat,Santiago,Financials,Investment Banking & Investment Services,CLP 893B,6.1x,0.25,CLP 893,-2.8%
41,CONCHATORO,Vina Concha To,Santiago,Consumer Non-Cyclicals,Beverages,CLP 885.33B,12.6x,0.58,"CLP 1,198",2.7%
42,SMU,SMU,Santiago,Consumer Non-Cyclicals,Food & Drug Retailing,CLP 883.61B,12x,-0.58,CLP 153.32,0.5%
43,ENTEL,Empresa Nacional de Telecomunicaciones,Santiago,Technology,Telecommunications Services,CLP 844.14B,9.4x,-0.34,"CLP 2,795",3.1%
44,CAP,Cap,Santiago,Basic Materials,Metals & Mining,CLP 787.85B,-17.9x,0.12,"CLP 5,271.70",0.8%
45,AFPCAPITAL,AFP Capital,Santiago,Financials,Investment Banking & Investment Services,CLP 780.94B,6.6x,0.37,CLP 250,0%
