1,601398,ICBC,Shanghai,Financials,Banking Services,CN¥2.16T,6.2x,-64.01,CN¥6.05,0%
2,601939,China Construction Bank Co,Shanghai,Financials,Banking Services,CN¥1.94T,5.9x,1.71,CN¥7.74,0.4%
3,600519,Kweichow Moutai,Shanghai,Consumer Non-Cyclicals,Beverages,CN¥1.78T,22.2x,,"CN¥1,420.20",-0.5%
4,601288,Agricultural Bank China A,Shanghai,Financials,Banking Services,CN¥1.64T,4.6x,2.18,CN¥4.70,0.4%
5,601857,PetroChina A,Shanghai,Energy,Oil & Gas,CN¥1.63T,10x,1.58,CN¥8.92,0.7%
6,600941,China Mobile,Shanghai,Technology,Telecommunications Services,CN¥1.49T,10.3x,3.57,CN¥105.05,0.1%
7,601988,Bank of China A,Shanghai,Financials,Banking Services,CN¥1.40T,6.6x,7.66,CN¥4.76,0.2%
8,600938,CNOOC,Shanghai,Energy,Oil & Gas,CN¥902.20B,9.9x,-1.11,CN¥28.83,1%
9,601628,China Life Insurance A,Shanghai,Financials,Insurance,CN¥857.55B,45.3x,,CN¥30.46,0.9%
10,600036,China Merchants Bank,Shanghai,Financials,Banking Services,CN¥830.49B,5.4x,1.33,CN¥32.94,0.5%
11,600028,China Petrol A,Shanghai,Energy,Oil & Gas,CN¥817.82B,14.3x,-1.13,CN¥6.74,0.7%
12,601088,China Shenhua Energy SH,Shanghai,Energy,Coal,CN¥800.11B,10.9x,-0.67,CN¥40.43,0.6%
13,300750,Amperex Tech A,Shenzhen,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",CN¥769.45B,16.5x,2.24,CN¥175.99,1.5%
14,601318,Ping An Insurance,Shanghai,Financials,Insurance,CN¥751.47B,8.8x,-0.24,CN¥41.52,0.5%
15,600900,China Yangtze Power,Shanghai,Utilities,Electrical Utilities & IPPs,CN¥726.95B,26.6x,2.03,CN¥29.75,-0.2%
16,002594,BYD A,Shenzhen,Consumer Cyclicals,Automobiles & Auto Parts,CN¥684.12B,22.5x,0.39,CN¥235.15,1.6%
17,601328,Bank of Communications Co Ltd,Shanghai,Financials,Banking Services,CN¥568.11B,6.7x,7.33,CN¥7.64,0.5%
18,000858,Wuliangye A,Shenzhen,Consumer Non-Cyclicals,Beverages,CN¥484.50B,15.2x,1.35,CN¥124.57,-0.3%
19,601658,Postal Savings Bank of China,Shanghai,Financials,Banking Services,CN¥462.28B,6.3x,-1,CN¥4.86,0.2%
20,601899,Zijin Mining A,Shanghai,Basic Materials,Metals & Mining,CN¥425.40B,19.2x,1.38,CN¥15.99,2.6%
21,000333,Midea Group A,Shenzhen,Consumer Cyclicals,Household Goods,CN¥424.31B,12.1x,0.91,CN¥61.67,1.1%
22,601138,Foxconn Industrial Internet,Shanghai,Technology,Communications & Networking,CN¥421.99B,18x,1.67,CN¥21.25,2.9%
23,601728,China Telecom,Shanghai,Technology,Telecommunications Services,CN¥379.85B,12.1x,2.49,CN¥5.96,0.8%
24,601998,China Citic Bank A,Shanghai,Financials,Banking Services,CN¥347.47B,5.1x,0.72,CN¥6.49,0.9%
25,601166,Industrial Bank,Shanghai,Financials,Banking Services,CN¥345.48B,4.8x,-0.32,CN¥16.64,0.3%
26,300760,Shenzhen Mindray Bio-Medical,Shenzhen,Healthcare,Healthcare Equipment & Supplies,CN¥305.18B,25.3x,1.25,CN¥251.34,-0.6%
27,601816,Beijing-Shanghai High Speed,Shanghai,Industrials,Transport Infrastructure,CN¥284.33B,23x,0.03,CN¥5.78,-0.2%
28,600030,CITIC Securities,Shanghai,Financials,Investment Banking & Investment Services,CN¥283.81B,15.3x,-1.21,CN¥19.16,0.1%
29,600276,Jiangsu Hengrui,Shanghai,Healthcare,Pharmaceuticals,CN¥271.38B,61.1x,4.1,CN¥42.70,-0.5%
30,601601,China Pacific Insurance,Shanghai,Financials,Insurance,CN¥270.24B,9.9x,-0.2,CN¥28.21,2.2%
31,002475,Luxshare Precision A,Shenzhen,Technology,Electronic Equipment & Parts,CN¥267.32B,22.2x,0.79,CN¥37.05,0.9%
32,002415,Hik Vision Digital A,Shenzhen,Technology,Communications & Networking,CN¥257.90B,17.9x,1.11,CN¥27.61,0.6%
33,600000,Pudong Development Bank,Shanghai,Financials,Banking Services,CN¥256.54B,7.3x,-0.64,CN¥8.76,0.2%
34,002714,Muyuan Foodstuff A,Shenzhen,Consumer Non-Cyclicals,Food & Tobacco,CN¥234.78B,-362.1x,3.46,CN¥43.07,-1.6%
35,601668,China State Construction,Shanghai,Industrials,Construction & Engineering,CN¥233.49B,4.3x,1.5,CN¥5.60,0.2%
36,601225,Shaanxi Coal Industry,Shanghai,Energy,Coal,CN¥232.29B,12.2x,-0.25,CN¥24.05,1%
37,003816,CGN,Shenzhen,Utilities,Electrical Utilities & IPPs,CN¥224.36B,22.1x,10.35,CN¥4.81,-0.4%
38,000651,Gree Electric A,Shenzhen,Consumer Cyclicals,Household Goods,CN¥223.75B,7.6x,0.4,CN¥40.66,0.4%
