1,SNTS,Societe Nationale des Telecom,BRVM,Technology,Telecommunications Services,F CFA 2.2T,7.9x,,"F CFA 22,000",-0%
2,SGBC,Societe Generale de Banques,BRVM,Financials,Banking Services,F CFA 637.78B,6.6x,0.22,"F CFA 20,500",0.2%
3,ECOC,Ecobank,BRVM,Financials,Banking Services,F CFA 415.63B,,,"F CFA 7,550",-1.9%
4,CBIBF,Coris Bank,BRVM,Financials,Banking Services,F CFA 334.23B,7x,,"F CFA 10,200",0%
5,SIBC,Societe Ivoirienne Banque,BRVM,Financials,Banking Services,F CFA 316B,7.5x,,"F CFA 6,320",-1.2%
6,BOABF,Bank of Africa Burkina Faso,BRVM,Financials,Banking Services,F CFA 176.9B,6.3x,,"F CFA 6,700",-1.5%
7,BOAC,Bank of Africa Cote d’Ivoire,BRVM,Financials,Banking Services,F CFA 176.9B,5.2x,,"F CFA 8,845",-1.2%
8,ONTBF,Onatel,BRVM,Technology,Telecommunications Services,F CFA 176.8B,8.4x,,"F CFA 2,600",0%
9,BICC,Banque Internationale Cote d Ivoire,BRVM,Financials,Banking Services,F CFA 164.17B,9.8x,,"F CFA 9,850",0%
10,NSBC,NSIA Banque,BRVM,Financials,Banking Services,F CFA 155.21B,4.4x,15.42,"F CFA 6,275",0%
11,BOAB,Bank of Africa Benin,BRVM,Financials,Banking Services,F CFA 152.31B,11.4x,,"F CFA 7,510",0.3%
12,TTLC,Total Cote d’Ivoire,BRVM,Energy,Oil & Gas,F CFA 150.16B,12.6x,,"F CFA 2,385",0%
13,ORGT,Oragroup,BRVM,Financials,Banking Services,F CFA 144.98B,-6.3x,,"F CFA 1,920",7.3%
14,SLBC,Societe de Limonaderie,BRVM,Consumer Non-Cyclicals,Beverages,F CFA 137.04B,,,"F CFA 83,250",0%
15,BOAS,Bank of Africa Senegal,BRVM,Financials,Banking Services,F CFA 130.2B,7.7x,0.73,"F CFA 5,425",7.4%
