1,ZBB,Zagrebacka Banka,Zagreb,Financials,Banking Services,€6.13B,11.2x,,€19.15,0.8%
2,INAI,INA dd,Zagreb,Energy,Oil & Gas,€4.44B,20x,0.19,€444,-3.1%
3,HT,Hrvatski Telekom dd,Zagreb,Technology,Telecommunications Services,€2.42B,18.6x,,€31.40,0%
4,ADGR,Adris Grupa dd,Zagreb,,,€1.15B,20.1x,-2.73,€82.50,-1.2%
5,ADGR_p,Adris Grupa P,Zagreb,Financials,Insurance,€1.15B,20.1x,,€58.80,-0.3%
6,PODR,Podravka,Zagreb,Consumer Non-Cyclicals,Food & Tobacco,€1.13B,16.8x,,€160,0.3%
7,KONL,Koncar Elektro,Zagreb,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€937.07M,13.5x,0.11,€368,-0.5%
8,KODT,Koncar,Zagreb,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€852.53M,,,"€1,670",0%
9,LAGP,Plava Laguna DD,Zagreb,Consumer Cyclicals,Hotels & Entertainment Services,€737.66M,18.7x,,€336,0%
10,ATGR,Atlantic Grupa,Zagreb,Consumer Non-Cyclicals,Food & Tobacco,€697.63M,20.1x,0.51,€52.50,0%
11,DDJH,Djuro Djakovic,Zagreb,Consumer Non-Cyclicals,Consumer Goods Conglomerates,€634.01M,171x,,€22.40,0%
12,RIVP,Valamar Riviera DD,Zagreb,Consumer Cyclicals,Hotels & Entertainment Services,€632.41M,35.7x,-7.24,€5.14,-0.4%
13,HPBZ,Hrvatska postanska banka dd,Zagreb,Financials,Banking Services,€481.86M,,,€238,0%
14,MAIS,Maistra dd,Zagreb,Consumer Cyclicals,Hotels & Entertainment Services,€466.23M,16.4x,-0.55,€42.60,0%
15,ERNT,Ericsson N.Tesla,Zagreb,Technology,Telecommunications Services,€245.27M,11x,,€185,-0.8%
16,HIMR,Imperial DD,Zagreb,Consumer Cyclicals,Hotels & Entertainment Services,€230.22M,26.8x,0.36,€101,0%
17,AREN,Arenaturist,Zagreb,Consumer Cyclicals,Hotels & Entertainment Services,€169.11M,54.9x,-0.95,€33.60,0.6%
18,KRAR,Kras dd,Zagreb,Consumer Non-Cyclicals,Food & Tobacco,€166.97M,25.2x,,€118,0%
19,LRHR,Liburnia Riviera Hoteli DD,Zagreb,Consumer Cyclicals,Hotels & Entertainment Services,€121.05M,46.8x,,€400,0%
20,DLKV,Dalekovod,Zagreb,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€118.79M,-71.7x,0.47,€2.88,-4%
21,LUKA,Luka Rijeka,Zagreb,Industrials,Transport Infrastructure,€106.50M,13x,,€7.90,0%
22,ATPL,Atlantska Plovidba,Zagreb,Industrials,Freight & Logistics Services,€104.02M,-7.6x,,€49.80,3.8%
23,SPAN,Span dd,Zagreb,Technology,Software & IT Services,€101.50M,81.7x,-1.04,€52,-0.8%
24,LKPC,Luka Ploce,Zagreb,Industrials,Transport Infrastructure,€58.97M,6.3x,0.44,€140,0%
25,ADPL,Ad Plastik,Zagreb,Consumer Cyclicals,Automobiles & Auto Parts,€53.26M,-74.4x,3.13,€12.80,-0.4%
26,JSRNB,Jadran dd,Zagreb,Consumer Cyclicals,Hotels & Entertainment Services,€34.12M,-122x,,€1.22,0%
27,INGR,Ingra,Zagreb,Industrials,Construction & Engineering,€30.13M,6.9x,,€2.30,0.9%
28,LPLH,Losinjska Plovidba,Zagreb,Industrials,Freight & Logistics Services,€22.39M,7.3x,,€33.80,0%
29,ULPL,Alpha Adriatic dd,Zagreb,Industrials,Freight & Logistics Services,€8.76M,-9x,0.08,€16,-3.6%
30,THNK,Tehnika,Zagreb,Industrials,Construction & Engineering,€3.77M,1.1x,,€20,0%
