1,NOVOb,Novo Nordisk B,Copenhagen,Healthcare,Pharmaceuticals,DKK 4.10T,45.8x,1.3,DKK 928.20,2%
2,DSV,DSV,Copenhagen,Industrials,Freight & Logistics Services,DKK 260.64B,24.6x,-1,"DKK 1,260",0.4%
3,COLOb,Coloplast,Copenhagen,Healthcare,Healthcare Equipment & Supplies,DKK 208.88B,41.5x,-45.72,DKK 929.80,1.1%
4,NSISb,Novozymes B,Copenhagen,Basic Materials,Chemicals,DKK 201.55B,39.7x,-3.76,DKK 434.90,0.9%
5,DANSKE,Danske Bank,Copenhagen,Financials,Banking Services,DKK 172.99B,7.8x,0,DKK 205,2.2%
6,MAERSKb,Moller Maersk B,Copenhagen,Industrials,Freight & Logistics Services,DKK 166.59B,23.2x,-0.24,"DKK 10,595",0.4%
7,ORSTED,Oersted AS,Copenhagen,Utilities,Electrical Utilities & IPPs,DKK 165.57B,-7.7x,0.03,DKK 392,-7.2%
8,MAERSKa,Moller Maersk A,Copenhagen,Industrials,Freight & Logistics Services,DKK 164.23B,23.6x,-0.24,"DKK 10,410",0.4%
9,VWS,Vestas Wind,Copenhagen,Energy,Renewable Energy,DKK 161.65B,-446.2x,-37.58,DKK 160.10,3.3%
10,CARLa,Carlsberg A,Copenhagen,Consumer Non-Cyclicals,Beverages,DKK 137.36B,-2.6x,-0,"DKK 1,030",2%
11,GMAB,Genmab,Copenhagen,Healthcare,Biotechnology & Medical Research,DKK 116.96B,21.6x,,"DKK 1,843",1.3%
12,CARLb,Carlsberg B,Copenhagen,Consumer Non-Cyclicals,Beverages,DKK 103.18B,-3.4x,-0,DKK 780.20,1.1%
13,TRYG,Tryg,Copenhagen,Financials,Insurance,DKK 92.61B,21.2x,0.72,DKK 150.80,0.9%
14,PNDORA,Pandora,Copenhagen,Consumer Cyclicals,Textiles & Apparel,DKK 85.48B,18.1x,2.52,"DKK 1,062",0.1%
