1,COMI,Commercial Int Bank,Egypt,Financials,Banking Services,EGP 258.36B,6.8x,0.08,EGP 84.95,1.1%
2,SWDY,El Sewedy Electric,Egypt,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",EGP 128.67B,13.1x,0.28,EGP 60.57,1.5%
3,TMGH,T M G Holding,Egypt,Real Estate,Real Estate Operations,EGP 119.09B,25.2x,0.24,EGP 57.67,-0.7%
4,MFPC,Misr Fertilizers,Egypt,Basic Materials,Chemicals,EGP 99.49B,16.7x,-0.84,EGP 47.85,-2.2%
5,ALCN,Alexandria Containers&goods,Egypt,Industrials,Transport Infrastructure,EGP 75.08B,14.2x,0.38,EGP 50.21,3.5%
6,ABUK,Abu Qir Fertilizers and Chemical Industries,Egypt,Basic Materials,Chemicals,EGP 74.30B,6.2x,-1.2,EGP 58.55,1.1%
7,EAST,Eastern Tobacco,Egypt,Consumer Non-Cyclicals,Food & Tobacco,EGP 66.72B,10.9x,0.34,EGP 22.24,0.5%
8,QNBE,Qatar Natl Bank,Egypt,Financials,Banking Services,EGP 60.34B,3.2x,0.07,EGP 28,0.1%
9,EFIH,E-finance,Egypt,Industrials,Professional & Commercial Services,EGP 57.38B,46.3x,1.11,EGP 23.49,-5.9%
10,ETEL,Telecom Egypt,Egypt,Technology,Telecommunications Services,EGP 56.42B,5.8x,-1.17,EGP 33.40,-1.8%
11,ESRS,Ezz Steel,Egypt,Basic Materials,Metals & Mining,EGP 48.60B,19.8x,0.59,EGP 91.50,-0.4%
12,EGAL,Egypt Aluminum,Egypt,Basic Materials,Metals & Mining,EGP 46.45B,9.3x,1.56,EGP 112.72,0.9%
13,GPPL,Golden Pyramids Plaza,Egypt,Consumer Cyclicals,Hotels & Entertainment Services,EGP 40.96B,29.4x,-1.01,EGP 70.92,0%
14,EKHO,Egyptian Kuwaiti Hld,Egypt,Basic Materials,Chemicals,EGP 40.19B,5.2x,-0.26,EGP 35.84,-0.7%
15,EKHOA,Egypt Kuwait Holding,Egypt,Basic Materials,Chemicals,EGP 40.03B,5.2x,-0.26,EGP 30.20,-1.6%
16,IRON,Egyptian Iron&Steel,Egypt,Basic Materials,Metals & Mining,EGP 32.61B,17.6x,,EGP 33.80,-1.6%
17,EMFD,Emaar Misr for Development SAE,Egypt,Real Estate,Real Estate Operations,EGP 29.89B,3x,0.07,EGP 6.61,1.9%
18,FAITA,Faisal Islamic Bank - USD,Egypt,Financials,Banking Services,EGP 29.58B,3.4x,0.07,EGP 48.85,-0.3%
19,ORAS,Orascom Construction Ltd,Egypt,Industrials,Construction & Engineering,EGP 28.55B,3.5x,0.12,EGP 256.99,-4.3%
20,HRHO,EFG Hermes Holdings,Egypt,Financials,Investment Banking & Investment Services,EGP 28.36B,8.3x,0.17,EGP 19.46,-0.2%
21,CIEB,Credit Agricole Egypt,Egypt,Financials,Banking Services,EGP 27.25B,3.9x,0.05,EGP 21.70,5.4%
22,HDBK,Housing&Develop Bank,Egypt,Financials,Banking Services,EGP 24.52B,3.1x,0.02,EGP 46.64,3%
23,IRAX,EL Ezz Aldekhela Steel,Egypt,Basic Materials,Metals & Mining,EGP 24.39B,8.6x,,"EGP 1,251",0%
24,JUFO,Juhayna Food,Egypt,Consumer Non-Cyclicals,Food & Tobacco,EGP 24.10B,13x,0.56,EGP 25.50,0.7%
