1,LVMH,Louis Vuitton,Paris,Consumer Cyclicals,Textiles & Apparel,€327.80B,23.5x,-1.8,€656,1.8%
2,ASML,ASML Holding,Amsterdam,Technology,Semiconductors & Semiconductor Equipment,€326.51B,48.5x,-5.1,€832,4.1%
3,SAPG,SAP,Xetra,Technology,Software & IT Services,€228.08B,89.3x,-1.83,€195.98,2%
4,HRMS,Hermes International,Paris,Consumer Cyclicals,Textiles & Apparel,€222.14B,49.9x,3.78,"€2,118",2%
5,SHEL,Shell,Amsterdam,Energy,Oil & Gas,€209.26B,12.8x,-0.38,€33.06,1.2%
6,OREP,L'Oreal,Paris,Consumer Non-Cyclicals,Personal & Household Products & Services,€205.64B,31.8x,2.79,€384.20,1%
7,LIN,Linde PLC,Xetra,Basic Materials,Chemicals,€197.69B,34.3x,2.28,€414.60,1.3%
8,TTEF,TotalEnergies SE,Paris,Energy,Oil & Gas,€143.79B,7.6x,0.48,€62.48,1.7%
9,ITX,Inditex,Madrid,Consumer Cyclicals,Specialty Retailers,€141.38B,25.7x,1.18,€45.36,1%
10,ULVR,Unilever,Amsterdam,Consumer Non-Cyclicals,Personal & Household Products & Services,€138.92B,21.1x,-1.07,€55.84,1%
11,SIEGn,Siemens AG,Xetra,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€127B,15.8x,-1.64,€162.70,2.1%
12,SCHN,Schneider Electric,Paris,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€124.17B,32.1x,-10.26,€221.30,1.5%
13,DTEGn,Deutsche Telekom AG,Xetra,Technology,Telecommunications Services,€123B,25x,-0.33,€25,0.2%
14,SASY,Sanofi,Paris,Healthcare,Pharmaceuticals,€122.82B,13.5x,-0.56,€97.95,0.4%
15,DIOR,Christian Dior,Paris,Consumer Cyclicals,Textiles & Apparel,€109.42B,18.8x,-1.5,€605.50,1.3%
16,ABI,Anheuser Busch Inbev,Brussels,Consumer Non-Cyclicals,Beverages,€108.62B,20.5x,-4.17,€55.20,0.5%
17,AIR,Airbus Group,Paris,Industrials,Aerospace & Defense,€108.17B,35x,-1.7,€136.92,1.7%
18,ALVG,Allianz,Xetra,Financials,Insurance,€102.17B,11.4x,1.27,€263.50,1.7%
19,ESLX,EssilorLuxottica,Paris,Healthcare,Healthcare Equipment & Supplies,€96.54B,41.7x,-11.79,€212.40,1.1%
20,AIRP,Air Liquide,Paris,Basic Materials,Chemicals,€95.08B,31.2x,-7.08,€165.12,0.9%
21,BPEz,BP,Frankfurt,Energy,Oil & Gas,€83.57B,13x,-0.21,€5.08,1.6%
22,SAF,Safran,Paris,Industrials,Aerospace & Defense,€81.87B,50x,-1.04,€195,0.6%
