1,NDAFI,Nordea Bank,Helsinki,Financials,Banking Services,€36.46B,7.3x,0.59,€10.42,0.4%
2,KNEBV,KONE Oyj,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€23.67B,24.3x,3.72,€45.92,-1.3%
3,NOKIA,Nokia Oyj,Helsinki,Technology,Communications & Networking,€20.37B,53.3x,-0.23,€3.73,3.7%
4,SAMPO,Sampo Oyj A,Helsinki,Financials,Insurance,€20.29B,14.9x,0.43,€40.87,0.9%
5,UPM,UPM-Kymmene,Helsinki,Basic Materials,Paper & Forest Products,€16.12B,37.3x,-0.54,€30.22,1.5%
6,NESTE,Neste Oyj,Helsinki,Energy,Oil & Gas,€15.31B,16.1x,-0.9,€19.93,3.8%
7,FORTUM,Fortum,Helsinki,Utilities,Electrical Utilities & IPPs,€12.94B,-6x,-0.01,€14.42,0.9%
8,WRT1V,Wartsila,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€10.92B,29.1x,0.11,€18.54,0.1%
9,STEAV,Stora Enso Oyj A,Helsinki,Basic Materials,Containers & Packaging,€8.79B,-47.7x,0.37,€11.15,2.3%
10,STERV,Stora Enso Oyj R,Helsinki,Basic Materials,Containers & Packaging,€8.75B,-48.1x,0.37,€11.06,1.9%
11,METSO,Metso Oyj,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€7.53B,14.8x,-13.87,€9.10,1.7%
12,KESKOA,Kesko,Helsinki,Consumer Non-Cyclicals,Food & Drug Retailing,€7.33B,16.9x,-0.68,€18.42,0.7%
13,KESKOB,Kesko,Helsinki,Consumer Non-Cyclicals,Food & Drug Retailing,€7.17B,17.2x,-0.68,€18.02,1.4%
14,ELISA,Elisa Oyj,Helsinki,Technology,Telecommunications Services,€7B,19x,-7.25,€43.62,-0.5%
15,ORNBV,Orion Oyj B,Helsinki,Healthcare,Pharmaceuticals,€6.50B,28x,-1.09,€46.29,0.7%
16,ORNAV,Orion Oyj A,Helsinki,Healthcare,Pharmaceuticals,€6.48B,28.1x,-1.09,€46.15,1.3%
17,KCRA,Konecranes,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€4.81B,14.8x,0.45,€60.75,1.8%
18,VALMT,Valmet,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€4.69B,15.5x,-0.94,€25.47,1.4%
19,HUH1V,Huhtamaki Oyj,Helsinki,Basic Materials,Containers & Packaging,€3.82B,16.4x,4.85,€36.44,1.3%
20,KEMIRA,Kemira Oyj,Helsinki,Basic Materials,Chemicals,€3.25B,18x,-0.43,€21.08,1.4%
21,CGCBV,Cargotec Oyj,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€2.96B,2.2x,0.01,€45.99,0.7%
22,METSA,Metsa Board Oyj A,Helsinki,Basic Materials,Paper & Forest Products,€2.80B,182.4x,-2.1,€7.90,1.3%
23,QTCOM,Qt,Helsinki,Technology,Software & IT Services,€2.36B,53.1x,1.43,€92.80,1.5%
24,KOJAMO,Kojamo,Helsinki,Real Estate,Real Estate Operations,€2.27B,-29.7x,-0.38,€9.18,-5.9%
25,TIETO,TietoEVRY,Helsinki,Technology,Software & IT Services,€2.21B,13.4x,-0.63,€18.61,2%
26,METSB,Metsa Board Oyj B,Helsinki,Basic Materials,Paper & Forest Products,€2.20B,231.8x,-2.1,€6.19,1.6%
27,MANTA,Mandatum Oyj,Helsinki,Financials,Insurance,€2.19B,11.5x,0.05,€4.34,-0.6%
28,KALMAR,Kalmar Oyj,Helsinki,Industrials,Transport Infrastructure,€1.62B,10.4x,,€25.39,0.7%
29,VAIAS,Vaisala Oyj A,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€1.58B,29x,1.01,€43.50,1.2%
30,OUT1V,Outokumpu Oyj,Helsinki,Basic Materials,Metals & Mining,€1.37B,-4.3x,0.03,€3.24,1.1%
31,FSKRS,Fiskars,Helsinki,Consumer Cyclicals,Household Goods,€1.34B,39.9x,-0.8,€16.62,1%
32,TTALO,Terveystalo,Helsinki,Healthcare,Healthcare Providers & Services,€1.24B,-54.1x,0.12,€9.80,-0.5%
33,TYRES,Nokian Renkaat,Helsinki,Consumer Cyclicals,Automobiles & Auto Parts,€1.14B,197.1x,1.85,€8.28,1.4%
34,SANOMA,Sanoma Oyj,Helsinki,Consumer Cyclicals,Media & Publishing,€1.13B,28.1x,0.09,€6.89,0.9%
35,MUSTI,Musti,Helsinki,Consumer Cyclicals,Specialty Retailers,€866.42M,106.3x,-1.45,€25.95,0%
36,ALMAC,Alma Media,Helsinki,Technology,Software & IT Services,€855.36M,16.7x,-0.89,€10.40,-0.9%
37,REG1V,Revenio Group,Helsinki,Healthcare,Healthcare Equipment & Supplies,€851.60M,44x,42.34,€32,0.9%
38,PUUILO,Puuilo Oyj,Helsinki,Consumer Cyclicals,Diversified Retail,€830.43M,22.3x,1.78,€9.95,0.9%
39,CTY1S,Citycon,Helsinki,Real Estate,Real Estate Operations,€753.18M,-5.8x,0.01,€4.07,-0.6%
40,HARVIA,Harvia Oyj,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€751.34M,29.9x,1.98,€40.10,0.6%
41,KEMPOWR,Kempower Oyj,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€743.43M,"1,994.8x",-18.38,€13.82,2.7%
42,AKTIA,Aktia Bank,Helsinki,Financials,Banking Services,€682.87M,6.9x,0.16,€9.40,1.4%
43,TOKMAN,Tokmanni,Helsinki,Consumer Cyclicals,Diversified Retail,€662.64M,14.3x,-0.78,€11.28,-1%
44,OLVAS,Olvi Oyj A,Helsinki,Consumer Non-Cyclicals,Beverages,€652.07M,12x,0.01,€31.45,0.2%
45,PON1V,Ponsse Oyj 1,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€643.50M,-40.9x,-0.54,€23,0.9%
46,EQV1V,eQ Oyj,Helsinki,Financials,Investment Banking & Investment Services,€563.14M,18.5x,-85.34,€13.75,0.4%
47,YIT,YIT,Helsinki,Consumer Cyclicals,Homebuilding & Construction Supplies,€553.38M,-10x,0.02,€2.40,1.8%
48,ALBAV,Alandsbanken Abp A,Helsinki,Financials,Banking Services,€533.97M,9.2x,0.14,€34.90,0.9%
49,ALBBV,Alandsbanken Abp B,Helsinki,Financials,Banking Services,€530.90M,9.1x,0.14,€34.60,2.7%
50,MEKKO,Marimekko Oyj,Helsinki,Consumer Cyclicals,Textiles & Apparel,€504.71M,20.1x,0.85,€12.44,-4.3%
51,SCANFL,Scanfil,Helsinki,Technology,Electronic Equipment & Parts,€498.06M,11.7x,-1.49,€7.57,0.7%
52,EVLI,Evli Pankki Oyj,Helsinki,Financials,Investment Banking & Investment Services,€489.97M,10.9x,0.12,€18.50,1.1%
53,PURMO,Purmo Oyj,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€471.59M,-50.8x,0.2,€11.05,0%
54,FIA1S,Finnair Oyj,Helsinki,Industrials,Passenger Transportation Services,€464.45M,6.8x,-0.08,€2.28,2.1%
55,TALLINK,Tallink,Helsinki,Consumer Cyclicals,Hotels & Entertainment Services,€456.55M,7.6x,-0.28,€0.61,-1%
56,LINDEX,Lindex Oyj,Helsinki,Consumer Cyclicals,Diversified Retail,€454.16M,44.8x,-0.55,€2.81,0.2%
57,OMASP,Oma Saastopankki,Helsinki,Financials,Banking Services,€442.07M,5.1x,3.22,€13.34,1.5%
58,ENENTO,Enento Plc,Helsinki,Industrials,Professional & Commercial Services,€408.53M,27.4x,-5.82,€17.34,-0.1%
59,VIK1V,Viking Line Abp,Helsinki,Industrials,Passenger Transportation Services,€378.43M,14.7x,-0.55,€21.90,1.4%
60,FSECURE,FSecure Oyj,Helsinki,Technology,Software & IT Services,€362.45M,19x,-0.51,€2.09,0.5%
61,RAIKV,Raisio,Helsinki,Consumer Non-Cyclicals,Food & Tobacco,€349.13M,18.3x,2.35,€2.21,0%
62,GOFORE,Gofore,Helsinki,Technology,Software & IT Services,€348.55M,20.7x,1.64,€22.40,0.7%
63,RAIVV,Raisio Vaihto-osake,Helsinki,Consumer Non-Cyclicals,Food & Tobacco,€345.98M,18.4x,2.35,€2.19,0%
64,LAT1V,Lassila&Tikanoja,Helsinki,Industrials,Professional & Commercial Services,€339.88M,12.5x,-0.54,€8.93,1.1%
65,ETTE,Etteplan,Helsinki,Industrials,Professional & Commercial Services,€318.15M,19.9x,2.78,€12.60,-0.4%
66,CAPMAN,CapMan B,Helsinki,Financials,Investment Banking & Investment Services,€314.09M,104.7x,-1.27,€1.78,2.3%
67,ICP1V,Incap Oyj,Helsinki,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€308.80M,19.7x,-0.42,€10.50,0.9%
68,ANORA,Anora Group,Helsinki,Consumer Non-Cyclicals,Beverages,€300.61M,-8.2x,0.02,€4.49,2.3%
69,ATRAV,Atria Oyj A,Helsinki,Consumer Non-Cyclicals,Food & Tobacco,€281.80M,-17.3x,0.41,€10,0.4%
70,BITTI,Bittium,Helsinki,Technology,Communications & Networking,€269.69M,581.5x,,€7.60,4.1%
71,DETEC,Detection Technology OY,Helsinki,Technology,Electronic Equipment & Parts,€263.81M,32.7x,0.38,€18,0%
72,RELAIS,Relais,Helsinki,Consumer Cyclicals,Automobiles & Auto Parts,€245.11M,16.7x,0.39,€14.45,6.6%
73,TAALA,Taaleri,Helsinki,Financials,Investment Banking & Investment Services,€244.74M,8.2x,0.26,€8.68,0%
74,ADMCM,Admicom,Helsinki,Technology,Software & IT Services,€240.60M,38x,-1.86,€48.25,-1.6%
75,REMEDY,Remedy Entertainment,Helsinki,Technology,Software & IT Services,€229.05M,-12.3x,0.13,€16.88,-1.8%
76,PIHLIS,Pihlajalinna Oy,Helsinki,Healthcare,Healthcare Providers & Services,€224.34M,21.8x,,€9.98,0.8%
77,KAMUX,Kamux Suomi,Helsinki,Consumer Cyclicals,Specialty Retailers,€206.54M,19.1x,0.29,€5.18,3.9%
78,UNITED,United Bankers Oyj,Helsinki,Financials,Investment Banking & Investment Services,€202.01M,14.9x,2.52,€18.45,0.5%
79,TNOM,Talenom Oyj,Helsinki,Industrials,Professional & Commercial Services,€197.37M,51.3x,-0.94,€4.32,0.8%
80,WITH,WithSecure Oyj,Helsinki,Technology,Software & IT Services,€191.86M,-6.9x,-0.64,€1.10,3.6%
81,ASPO,Aspo Oyj,Helsinki,Consumer Non-Cyclicals,Consumer Goods Conglomerates,€188.50M,-6.2x,-0.35,€6,2%
82,OKDAV,Oriola-KD Oyj A,Helsinki,Healthcare,Pharmaceuticals,€181.41M,-7.5x,0.55,€1,0%
83,HEALTH,Nightingale Health Oyj,Helsinki,Healthcare,Healthcare Equipment & Supplies,€178M,-3.5x,-4.21,€3.21,8.8%
84,OKDBV,Oriola-KD Oyj B,Helsinki,Healthcare,Pharmaceuticals,€173.79M,-7.8x,0.55,€0.96,0.9%
85,NOHOP,NoHo Partners,Helsinki,Consumer Cyclicals,Hotels & Entertainment Services,€165.98M,39.1x,0.18,€7.90,0.2%
86,KOSKI,Koskisen,Helsinki,Basic Materials,Paper & Forest Products,€163.47M,12.3x,-0.17,€7.26,2.3%
87,SUY1V,Suominen Oyj,Helsinki,Consumer Cyclicals,Textiles & Apparel,€158.17M,-44.2x,-0.52,€2.74,1.9%
88,DIGIA,Digia,Helsinki,Technology,Software & IT Services,€155.89M,14.1x,,€5.84,0.3%
89,NANOFH,Nanoform Finland Plc,Helsinki,Healthcare,Biotechnology & Medical Research,€146.62M,-5.9x,1.04,€1.74,1.3%
90,LL1SPAC,Lifeline,Helsinki,Financials,Investment Holding Companies,€143.75M,74.8x,0.09,€11.50,0%
91,LEMON,Lemonsoft Oyj,Helsinki,Technology,Software & IT Services,€137.49M,27.9x,,€7.40,0%
92,AIFORIA,Aiforia Tech Oyj,Helsinki,Technology,Software & IT Services,€130.38M,-8.2x,1.74,€4.59,1.5%
93,TITAN,Titanium,Helsinki,Financials,Investment Banking & Investment Services,€116.91M,12.1x,-0.7,€11.35,-1.3%
94,ORTHEX,Orthex Oyj,Helsinki,Basic Materials,Chemicals,€111.88M,17.4x,0.08,€6.46,2.5%
95,RAP1V,Rapala VMC Oyj,Helsinki,Consumer Cyclicals,Leisure Products,€100.69M,-30.5x,-0.71,€2.59,-0.4%
96,EFECTE,Efecte,Helsinki,Technology,Software & IT Services,€98.76M,-73.9x,0.21,€15.30,0%
