1,LVMH,Louis Vuitton,Paris,Consumer Cyclicals,Textiles & Apparel,€327.80B,23.5x,-1.8,€656,1.8%
2,HRMS,Hermes International,Paris,Consumer Cyclicals,Textiles & Apparel,€222.14B,49.9x,3.78,"€2,118",2%
3,OREP,L'Oreal,Paris,Consumer Non-Cyclicals,Personal & Household Products & Services,€205.64B,31.8x,2.79,€384.20,1%
4,TTEF,TotalEnergies SE,Paris,Energy,Oil & Gas,€143.79B,7.6x,0.48,€62.48,1.7%
5,SCHN,Schneider Electric,Paris,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€124.17B,32.1x,-10.26,€221.30,1.5%
6,SASY,Sanofi,Paris,Healthcare,Pharmaceuticals,€122.82B,13.5x,-0.56,€97.95,0.4%
7,DIOR,Christian Dior,Paris,Consumer Cyclicals,Textiles & Apparel,€109.42B,18.8x,-1.5,€605.50,1.3%
8,AIR,Airbus Group,Paris,Industrials,Aerospace & Defense,€108.17B,35x,-1.7,€136.92,1.7%
9,ESLX,EssilorLuxottica,Paris,Healthcare,Healthcare Equipment & Supplies,€96.54B,41.7x,-11.79,€212.40,1.1%
10,AIRP,Air Liquide,Paris,Basic Materials,Chemicals,€95.08B,31.2x,-7.08,€165.12,0.9%
11,SAF,Safran,Paris,Industrials,Aerospace & Defense,€81.87B,50x,-1.04,€195,0.6%
12,AXAF,AXA,Paris,Financials,Insurance,€69.85B,10.2x,0.19,€33.07,1.1%
13,BNPP,BNP Paribas,Paris,Financials,Banking Services,€68.34B,7.4x,-0.62,€60.47,1.2%
14,SGEF,Vinci,Paris,Industrials,Construction & Engineering,€59.68B,12.9x,7.83,€104.55,1%
15,DAST,Dassault Systemes,Paris,Technology,Software & IT Services,€45.08B,40.2x,3.63,€34.32,1.4%
16,CAGR,Credit Agricole,Paris,Financials,Banking Services,€40.80B,6.7x,1.74,€13.47,1.2%
17,DANO,Danone,Paris,Consumer Non-Cyclicals,Food & Tobacco,€38.86B,38.7x,-1.63,€60.40,-0.4%
18,SGOB,Saint Gobain,Paris,Consumer Cyclicals,Homebuilding & Construction Supplies,€37.65B,13.2x,1.78,€75.42,1.9%
19,ENGIE,Engie,Paris,Utilities,Multiline Utilities,€37.34B,7.6x,0.04,€15.42,0.1%
20,PRTP,Kering,Paris,Consumer Cyclicals,Specialty Retailers,€31.35B,16.8x,-0.38,€255.70,1.8%
21,PERP,Pernod Ricard,Paris,Consumer Non-Cyclicals,Beverages,€30.96B,15.4x,-1.08,€123.95,1.4%
22,CAPP,Capgemini,Paris,Technology,Software & IT Services,€30.90B,18.3x,-9.8,€180.30,1.7%
23,TCFP,Thales,Paris,Industrials,Aerospace & Defense,€30.86B,22.3x,1.81,€150.40,1%
24,ORAN,Orange,Paris,Technology,Telecommunications Services,€27.17B,12.4x,0.35,€10.21,-0.6%
25,LEGD,Legrand,Paris,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€25.22B,23.5x,-17.5,€96.32,1.8%
26,STMPA,STMicroelectronics,Paris,Technology,Semiconductors & Semiconductor Equipment,€24.88B,9.7x,-0.23,€27.54,2.4%
27,MICP,Michelin,Paris,Consumer Cyclicals,Automobiles & Auto Parts,€24.75B,13x,-0.64,€34.69,0.4%
28,PUBP,Publicis Groupe,Paris,Consumer Cyclicals,Media & Publishing,€23.38B,16x,1.32,€93.06,1.2%
29,VIE,Veolia Environnement,Paris,Utilities,Multiline Utilities,€20.15B,18.8x,6.04,€28.12,0.1%
30,SOGN,Societe Generale,Paris,Financials,Banking Services,€16.74B,9.4x,-0.18,€20.96,2%
31,STDM,Sartorius Stedim,Paris,Healthcare,Healthcare Equipment & Supplies,€16.68B,95.3x,-1.36,€171.25,0.9%
32,BOLL,Bollore,Paris,Consumer Cyclicals,Media & Publishing,€15.89B,62.5x,,€5.81,0.1%
33,AM,Dassault Aviation,Paris,Industrials,Aerospace & Defense,€15.19B,19.1x,4.01,€194.60,0.1%
34,AMUN,Amundi,Paris,Financials,Investment Banking & Investment Services,€13.52B,11.3x,2.04,€66.40,1.7%
35,EXHO,Sodexo,Paris,Consumer Cyclicals,Hotels & Entertainment Services,€12.83B,45.9x,-0.27,€87.85,0.9%
36,BVI,Bureau Veritas,Paris,Industrials,Professional & Commercial Services,€12.73B,25.4x,4.31,€28.44,0.5%
37,BOUY,Bouygues,Paris,Industrials,Construction & Engineering,€11.86B,11.9x,-2.2,€31.46,0.5%
38,BIOX,Biomerieux,Paris,Healthcare,Healthcare Equipment & Supplies,€11.54B,32.2x,-1.52,€98.05,0.7%
39,ADP,Aeroports Paris,Paris,Industrials,Transport Infrastructure,€11.36B,14.8x,0.41,€115,1.2%
40,RENA,Renault,Paris,Consumer Cyclicals,Automobiles & Auto Parts,€11.07B,8x,-0.14,€41.22,2.2%
41,EUFI,Eurofins Scientific,Paris,Healthcare,Healthcare Providers & Services,€9.93B,33.3x,-1.54,€51.18,-3.6%
42,ENX,Euronext,Paris,Financials,Investment Banking & Investment Services,€9.73B,17x,0.32,€94.05,1%
43,VIV,Vivendi,Paris,Consumer Cyclicals,Media & Publishing,€9.62B,25x,0.19,€9.53,0.2%
44,URW,Unibail-Rodamco,Paris,Real Estate,Residential & Commercial REITs,€9.46B,-9.2x,1.54,€67.86,0.6%
