1,SAPG,SAP,Xetra,Technology,Software & IT Services,€228.08B,89.3x,-1.83,€195.98,2%
2,LIN,Linde PLC,Xetra,Basic Materials,Chemicals,€197.69B,34.3x,2.28,€414.60,1.3%
3,SIEGn,Siemens AG,Xetra,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€127B,15.8x,-1.64,€162.70,2.1%
4,DTEGn,Deutsche Telekom AG,Xetra,Technology,Telecommunications Services,€123B,25x,-0.33,€25,0.2%
5,ALVG,Allianz,Xetra,Financials,Insurance,€102.17B,11.4x,1.27,€263.50,1.7%
6,BPEz,BP,Frankfurt,Energy,Oil & Gas,€83.57B,13x,-0.21,€5.08,1.6%
7,MRCG,Merck,Xetra,Healthcare,Pharmaceuticals,€73.80B,28.1x,-1.86,€169.75,1.5%
8,MUVGn,Munich Re Group,Xetra,Financials,Insurance,€60.26B,10.3x,0.32,€452.80,1.7%
9,MBGn,Mercedes Benz Group,Xetra,Consumer Cyclicals,Automobiles & Auto Parts,€57.52B,4.9x,-0.29,€59.59,2.3%
10,SHLG,Siemens Healthineers,Xetra,Healthcare,Healthcare Equipment & Supplies,€57.42B,26.4x,1.76,€51.36,0.7%
11,SHL1y,Siemens Healthineers ADR,Frankfurt,Healthcare,Healthcare Equipment & Supplies,€57.42B,29.9x,1.76,€25.20,0.8%
12,BMWG_p,BMW Pref,Xetra,Consumer Cyclicals,Automobiles & Auto Parts,€51.30B,4.9x,-1,€75.80,2%
13,BMWG,BMW ST,Xetra,Consumer Cyclicals,Automobiles & Auto Parts,€51.30B,4.9x,-1,€81.48,1.8%
14,VOWG,Volkswagen ST,Xetra,Consumer Cyclicals,Automobiles & Auto Parts,€50.53B,3.4x,0.14,€101.10,2.6%
15,VOWG_p,Volkswagen VZO,Xetra,Consumer Cyclicals,Automobiles & Auto Parts,€48.18B,3.3x,0.14,€94.68,2.2%
16,IFXGn,Infineon,Xetra,Technology,Semiconductors & Semiconductor Equipment,€41.11B,19.5x,-0.59,€31.66,4.2%
17,ADSGN,Adidas,Xetra,Consumer Cyclicals,Textiles & Apparel,€38.98B,163.1x,0.65,€218.40,0.5%
18,BASFN,BASF,Xetra,Basic Materials,Chemicals,€37.63B,-958x,-9.7,€42.13,2.2%
19,DB1Gn,Deutsche Boerse,Xetra,Financials,Investment Banking & Investment Services,€35.31B,19.6x,2.03,€192.35,1.9%
20,EONGn,E.ON SE,Xetra,Utilities,Multiline Utilities,€31.35B,26.7x,1.05,€11.99,-0.3%
21,HNKG,Henkel ST,Xetra,Basic Materials,Chemicals,€29.58B,16.6x,3.39,€70.55,-0.5%
22,HNKG_p,Henkel VZO,Xetra,Basic Materials,Chemicals,€29.58B,16.6x,3.39,€78.10,-0.6%
23,HNRGn,Hannover Rueckversicherung SE,Xetra,Financials,Insurance,€29.27B,14.4x,0.11,€242.60,2.6%
24,VANAy,Advantest DRC,Frankfurt,Technology,Semiconductors & Semiconductor Equipment,€28.15B,59.7x,-2.23,€37.40,-1.6%
25,BEIG,Beiersdorf AG,Xetra,Consumer Non-Cyclicals,Personal & Household Products & Services,€27.92B,38.3x,-3.13,€124.65,0.5%
26,DBKGn,Deutsche Bank AG,Xetra,Financials,Banking Services,€26.91B,8.2x,-0.27,€13.81,3.2%
27,DTGGe,Daimler Truck Holding,Xetra,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€26.66B,,0.38,€33.95,1.2%
28,HLAG,Hapag Lloyd AG,Xetra,Industrials,Freight & Logistics Services,€26.54B,34.9x,-0.22,€150.80,-1.1%
29,BAYGN,Bayer,Xetra,Healthcare,Pharmaceuticals,€25.74B,-20.3x,0.11,€26.28,1.7%
30,RHMG,Rheinmetall AG,Xetra,Industrials,Aerospace & Defense,€24.45B,46.2x,5.02,€563.20,0.9%
