1,EURBr,Eurobank Ergasias,Athens,Financials,Banking Services,€7.48B,6.4x,0.53,€2.04,2%
2,NBGr,National Bank of Greece,Athens,Financials,Banking Services,€7.22B,5.8x,0.44,€7.92,4.1%
3,OTEr,Hellenic Telecommunications,Athens,Technology,Telecommunications Services,€6.02B,11.2x,0.27,€14.66,0.8%
4,OPAr,OPAP SA,Athens,Consumer Cyclicals,Hotels & Entertainment Services,€5.76B,14.4x,-0.38,€15.97,1.6%
5,BOPr,Piraeus Bank,Athens,Financials,Banking Services,€4.91B,4.7x,0.07,€3.93,0.8%
6,MYTr,Mytilineos,Athens,Utilities,Multiline Utilities,€4.71B,7.4x,0.67,€34.12,1.3%
7,DEHr,Public Power,Athens,Utilities,Electrical Utilities & IPPs,€4.16B,11.2x,0.08,€11.63,-0.1%
8,ACBr,Alpha Bank,Athens,Financials,Banking Services,€3.75B,6.4x,0.19,€1.60,1.9%
9,BABr,Jumbo,Athens,Consumer Cyclicals,Specialty Retailers,€3.19B,10.5x,0.44,€23.46,4.3%
10,MORr,Motor Oil,Athens,Energy,Oil & Gas,€2.30B,3x,-0.13,€21.28,1.2%
11,TENr,Terna Energy,Athens,Utilities,Electrical Utilities & IPPs,€2.25B,32.8x,,€19.19,0.1%
12,AIAr,Athens International Airport,Athens,,,€2.22B,10.4x,,€7.40,0%
13,HEPr,HELLENiQ ENERGY Holdings,Athens,Energy,Oil & Gas,€2.17B,4.3x,-0.15,€7.11,0.4%
14,PRODr,Prodea RE Investment,Athens,Real Estate,Residential & Commercial REITs,€1.83B,19.1x,-0.65,€7.15,0%
15,HRMr,Gek Terna,Athens,Industrials,Construction & Engineering,€1.62B,9.3x,0.41,€17.48,1.6%
16,LMDr,Lamda Develop,Athens,Real Estate,Real Estate Operations,€1.24B,25x,0.12,€7.10,0%
17,AGNr,Aegean Airlines,Athens,Industrials,Passenger Transportation Services,€956.74M,6x,,€10.67,0.7%
