1,80700,Tencent Holdings,Hong Kong,Technology,Software & IT Services,HK$3.44T,21.5x,-0.78,HK$373.99,1.7%
2,0700,Tencent Holdings,Hong Kong,Technology,Software & IT Services,HK$3.43T,21.5x,-0.78,HK$373,1.3%
3,1398,Industrial Commercial Bank of China ltd,Hong Kong,Financials,Banking Services,HK$1.64T,4.4x,-64.01,HK$4.61,0.7%
4,0941,China Mobile,Hong Kong,Technology,Telecommunications Services,HK$1.59T,10.7x,3.57,HK$74.20,0.3%
5,89988,Alibaba Holding,Hong Kong,Technology,Software & IT Services,HK$1.48T,20.5x,1.24,HK$79.85,4.9%
6,9988,Alibaba,Hong Kong,Technology,Software & IT Services,HK$1.47T,20.5x,1.24,HK$79.75,4.4%
7,0939,China Construction Bank,Hong Kong,Financials,Banking Services,HK$1.40T,6x,1.71,HK$5.60,0.4%
8,0857,PetroChina H,Hong Kong,Energy,Oil & Gas,HK$1.26T,7.1x,1.58,HK$6.91,2.4%
9,1288,Agricultural Bank Of China,Hong Kong,Financials,Banking Services,HK$1.24T,6.6x,2.18,HK$3.54,0.3%
10,3988,Bank of China H,Hong Kong,Financials,Banking Services,HK$1.03T,6.6x,7.66,HK$3.48,1.2%
11,0883,CNOOC,Hong Kong,Energy,Oil & Gas,HK$981.92B,6.9x,-1.11,HK$20.70,3.9%
12,3968,China Merchants Bank H,Hong Kong,Financials,Banking Services,HK$844.86B,5.9x,1.33,HK$33.50,1.4%
13,82318,Ping An Insurance Co of,Hong Kong,Financials,Insurance,HK$817.06B,8.8x,-0.24,HK$34.27,1.3%
14,81211,BYD,Hong Kong,Consumer Cyclicals,Automobiles & Auto Parts,HK$744.84B,22.6x,0.39,HK$220.83,3.1%
15,6288,Fast Retailing DRC,Hong Kong,Consumer Cyclicals,Specialty Retailers,HK$693.98B,35.8x,0.93,HK$22,1.4%
16,1088,China Shenhua Energy H,Hong Kong,Energy,Coal,HK$675.53B,14.1x,-0.67,HK$34,1.2%
17,83690,Meituan,Hong Kong,Technology,Software & IT Services,HK$647.12B,43.7x,,HK$106.61,4.1%
18,3690,Meituan,Hong Kong,Technology,Software & IT Services,HK$646.47B,43.7x,,HK$106.40,3.9%
19,1211,BYD Co Ltd-H,Hong Kong,Consumer Cyclicals,Automobiles & Auto Parts,HK$642.31B,22.6x,0.39,HK$220.60,2.8%
20,2318,Ping An Insurance,Hong Kong,Financials,Insurance,HK$620.19B,6.7x,-0.24,HK$34.30,1.5%
21,0386,China Petrol & Chemical H,Hong Kong,Energy,Oil & Gas,HK$607.28B,14.3x,-1.13,HK$5,1%
22,81299,AIA,Hong Kong,Financials,Insurance,HK$572.53B,20.5x,1.15,HK$52.38,1.7%
23,1299,AIA Group,Hong Kong,Financials,Insurance,HK$571.95B,20.5x,1.15,HK$52.25,1.4%
24,9999,NetEase,Hong Kong,Technology,Software & IT Services,HK$452.54B,14.3x,0.39,HK$138.70,-0.1%
25,3328,Bank of Communications,Hong Kong,Financials,Banking Services,HK$446.32B,6.7x,7.33,HK$6.02,1.5%
26,1810,Xiaomi,Hong Kong,Technology,"Computers, Phones & Household Electronics",HK$429.80B,22.7x,0.17,HK$17.32,0.6%
27,1658,Postal Savings Bank,Hong Kong,Financials,Banking Services,HK$424.41B,4.9x,-1,HK$4.28,0.7%
28,2899,Zijin Mining Group,Hong Kong,Basic Materials,Metals & Mining,HK$418.23B,19.2x,1.38,HK$15.78,2.7%
29,0728,China Telecom,Hong Kong,Technology,Telecommunications Services,HK$411.78B,12.2x,2.49,HK$4.48,0.4%
30,9633,Nongfu Spring,Hong Kong,Consumer Non-Cyclicals,Beverages,HK$325.59B,28.2x,0.59,HK$29.35,1.4%
31,89618,JDCom,Hong Kong,Consumer Cyclicals,Diversified Retail,HK$308.66B,9.3x,0.38,HK$108.51,9.7%
32,9618,JD,Hong Kong,Consumer Cyclicals,Diversified Retail,HK$308.30B,9.3x,0.38,HK$108.50,9.2%
33,2628,China Life Insurance,Hong Kong,Financials,Insurance,HK$299.04B,14.5x,,HK$10.60,1.7%
