1,MARL,Marel hf,Iceland,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",ISK 369.44B,140.1x,-2.51,ISK 490,1.4%
2,ISB,Islandsbanki hf,Iceland,Financials,Banking Services,ISK 194.32B,8.7x,-0.86,ISK 102,0.5%
3,ARION,Arion Bank,Iceland,Financials,Banking Services,ISK 191.91B,8.8x,-6.34,ISK 136,0.7%
4,SVN,Sildarvinnslan hf,Iceland,Consumer Non-Cyclicals,Food & Tobacco,ISK 178.12B,21.1x,-0.66,ISK 102,5.7%
5,BRIMH,Brim hf,Iceland,Consumer Non-Cyclicals,Food & Tobacco,ISK 147.45B,20x,-0.59,ISK 76.60,2.7%
6,HAGA,Hagar hf.,Iceland,Consumer Cyclicals,Diversified Retail,ISK 91.6B,17.6x,1.17,ISK 84.50,0%
7,HAPD,Hampidjan,Iceland,Consumer Cyclicals,Textiles & Apparel,ISK 79.13B,46.2x,-2.49,ISK 126.50,3.3%
8,KVIKA,Kvika banki,Iceland,Financials,Investment Banking & Investment Services,ISK 72.36B,18.5x,-2.24,ISK 15.40,1%
9,FESTI,Festi hf,Iceland,Energy,Oil & Gas,ISK 64.74B,16x,0.45,ISK 208,2%
10,REITIR,Reitir Fasteignafelag HF,Iceland,Real Estate,Real Estate Operations,ISK 61.9B,7.1x,0,ISK 87,2.3%
11,EIMS,Eimskipafelag Islands,Iceland,Industrials,Freight & Logistics Services,ISK 61.65B,9.7x,-0.19,ISK 376,0%
12,OLGERD,Olgerdin Egill Skallagrims hf,Iceland,Consumer Non-Cyclicals,Beverages,ISK 49.38B,16.5x,0.55,ISK 17.40,0%
13,HEIMAR,Heimar hf,Iceland,Real Estate,Real Estate Operations,ISK 46.69B,7.1x,0.04,ISK 25.80,2%
14,SJOVA,Sjova,Iceland,Financials,Insurance,ISK 42.56B,10.5x,0.13,ISK 36.80,0.5%
15,ICEAIR,Icelandair Group,Iceland,Industrials,Passenger Transportation Services,ISK 36.35B,-21x,0.03,ISK 0.89,2.8%
16,EIKF,Eik Fasteignafelag HF,Iceland,Real Estate,Real Estate Operations,ISK 34.49B,5.1x,-2.46,ISK 10.10,1%
17,SKEL,Skeljungur,Iceland,Energy,Oil & Gas,ISK 29.68B,5.6x,-0.08,ISK 15.80,4.6%
18,SKAGI,Vatryggingafelag Islands hf,Iceland,Financials,Insurance,ISK 28.58B,17.1x,0.41,ISK 15,-1%
19,SIMINN,Siminn hf,Iceland,Technology,Telecommunications Services,ISK 24.23B,19.3x,-0.2,ISK 9.32,0.3%
20,KALDA,Kaldalon hf,Iceland,Consumer Cyclicals,Homebuilding & Construction Supplies,ISK 18.98B,6x,0.49,ISK 17.30,2.1%
21,ICESEA,Iceland Seafood Intl,Iceland,Consumer Non-Cyclicals,Food & Tobacco,ISK 15.26B,-5.5x,1.48,ISK 4.98,0%
22,NOVA,Platinum Nova hf,Iceland,Technology,Telecommunications Services,ISK 13.93B,20.2x,0.88,ISK 3.76,-0.5%
23,SYN,Syn hf,Iceland,Technology,Telecommunications Services,ISK 8.22B,4.7x,0.04,ISK 33.20,-0.6%
24,PLAY,Fly Play hf,Iceland,Industrials,Passenger Transportation Services,ISK 3.67B,-0x,-0.02,ISK 1.90,-2.1%
25,KLAPPb,Klappir,Iceland,Technology,Software & IT Services,ISK 2.5B,285.7x,2.25,ISK 18,0%
26,SFSb,Slaturfelag Sudurlands svf,Iceland,Consumer Non-Cyclicals,Food & Tobacco,ISK 1.72B,2x,0.06,ISK 3,0%
27,SOLIDC,Solid Clouds hf,Iceland,Technology,Software & IT Services,ISK 597.24M,-6.4x,0.11,ISK 1.80,0%
