1,RELI,Reliance Industries,NSE,Energy,Oil & Gas,₹19.84T,29x,4.71,"₹2,925.30",0.1%
2,TCS,Tata Consultancy,NSE,Technology,Software & IT Services,₹15.88T,34.2x,4.17,"₹4,382",2%
3,HDBK,HDFC Bank,NSE,Financials,Banking Services,₹12.32T,18x,6.84,"₹1,612.80",0.3%
4,BRTI,Bharti Airtel,NSE,Technology,Telecommunications Services,₹8.97T,84.2x,5.01,"₹1,471.60",-0%
5,ICBK,ICICI Bank,NSE,Financials,Banking Services,₹8.24T,18.1x,0.86,"₹1,168",0.5%
6,INFY,Infosys,NSE,Technology,Software & IT Services,₹7.62T,28.3x,3.94,"₹1,835.25",0.7%
7,SBI,SBI,NSE,Financials,Banking Services,₹7.21T,10.6x,7.11,₹806.95,0.5%
8,LIFI,LIC India,NSE,Financials,Insurance,₹6.50T,15.1x,-0.71,"₹1,040.35",1.3%
9,HLL,Hindustan Unilever,NSE,Consumer Non-Cyclicals,Personal & Household Products & Services,₹6.39T,62.2x,,"₹2,718.85",-0.1%
10,ITC,ITC,NSE,Consumer Non-Cyclicals,Food & Tobacco,₹6.20T,30.2x,13.76,₹495.95,0.8%
11,LART,Larsen & Toubro,NSE,Industrials,Construction & Engineering,₹4.88T,36.9x,1.82,"₹3,540.50",-0.1%
12,HCLT,HCL Tech,NSE,Technology,Software & IT Services,₹4.40T,26x,4.44,"₹1,643.45",1.1%
13,SUN,Sun Pharma,NSE,Healthcare,Pharmaceuticals,₹4.17T,40.3x,1.71,"₹1,735.45",-0.4%
14,TAMO,Tata Motors,NSE,Consumer Cyclicals,Automobiles & Auto Parts,₹4.16T,8.4x,,"₹1,083.65",2%
15,ONGC,Oil & Natural Gas,NSE,Energy,Oil & Gas,₹4.16T,9.4x,0.51,₹329.30,0.4%
16,BJFN,Bajaj Finance,NSE,Financials,Banking Services,₹3.98T,26.6x,1.43,"₹6,432.05",-0.4%
17,NTPC,NTPC,NSE,Utilities,Electrical Utilities & IPPs,₹3.84T,18x,0.93,₹393.70,-0.7%
18,MRTI,Maruti Suzuki,NSE,Consumer Cyclicals,Automobiles & Auto Parts,₹3.82T,26.3x,0.57,"₹12,126.75",-0.7%
19,AXBK,Axis Bank,NSE,Financials,Banking Services,₹3.57T,13.3x,0.12,"₹1,151.40",-0.2%
20,KTKM_p,Kotak Mahindra Bank Prf,BSE,Financials,Banking Services,₹3.52T,16.9x,0.51,₹5.19,0%
21,ADEL,Adani Enterprises,NSE,Industrials,Diversified Industrial Goods Wholesale,₹3.49T,90.6x,2.13,"₹3,047.90",0.3%
22,KTKM,Kotak Mahindra Bank,NSE,Financials,Banking Services,₹3.48T,16.2x,0.51,"₹1,748.40",0%
23,AVEU,Avenue Supermarts,NSE,Consumer Non-Cyclicals,Food & Drug Retailing,₹3.20T,121.5x,11.5,"₹4,907.35",-1.1%
24,APSE,Adani Ports & SEZ,NSE,Industrials,Transport Infrastructure,₹3.17T,34.8x,0.76,"₹1,463.55",0.1%
25,ULTC,UltraTech Cement,NSE,Basic Materials,Construction Materials,₹3.17T,45.1x,1.3,"₹10,967.65",-0.3%
26,HIAE,Hindustan Aeronautics,NSE,Industrials,Aerospace & Defense,₹3.14T,38.1x,1.35,"₹4,679.80",0.4%
27,COAL,Coal India,NSE,Energy,Coal,₹3.13T,8.2x,0.22,₹505.60,0.2%
28,MAHM,Mahindra & Mahindra,NSE,Consumer Cyclicals,Automobiles & Auto Parts,₹3.13T,28.6x,-5.73,"₹2,801.10",2%
29,PGRD,Power Grid,NSE,Utilities,Electrical Utilities & IPPs,₹3.09T,19.8x,6.55,₹331.50,-0.6%
30,TITN,Titan Company,NSE,Consumer Cyclicals,Textiles & Apparel,₹3T,87.1x,11.43,"₹3,379.70",-0.7%
31,ASPN,Asian Paints,NSE,Basic Materials,Chemicals,₹2.89T,57.3x,6.07,"₹3,006.15",-0.7%
32,ADNA,Adani Green Energy,NSE,Utilities,Electrical Utilities & IPPs,₹2.86T,257x,18.3,"₹1,807.25",-0.1%
33,TAMdv,Tata Motors DV Ltd,NSE,Consumer Cyclicals,Automobiles & Auto Parts,₹2.83T,12.3x,,₹737.40,1.6%
34,BAJA,Bajaj Auto,NSE,Consumer Cyclicals,Automobiles & Auto Parts,₹2.72T,34.5x,1.47,"₹9,711.40",-0.4%
35,WIPR,Wipro,NSE,Technology,Software & IT Services,₹2.66T,23.6x,17.87,₹508.25,2.6%
36,ADAN,Adani Power,NSE,Utilities,Electrical Utilities & IPPs,₹2.61T,17.3x,1.64,₹672.85,-0.2%
37,SIEM,Siemens Ltd,NSE,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",₹2.52T,103.2x,4.91,"₹7,074.60",0.5%
38,BJFS,Bajaj Finserv,NSE,Financials,Banking Services,₹2.44T,29.3x,1.63,"₹1,528.50",-0%
39,NEST,Nestle India,NSE,Consumer Non-Cyclicals,Food & Tobacco,₹2.39T,74x,,"₹2,475.40",0%
40,INID,Indian Railway Finance,NSE,Financials,Banking Services,₹2.34T,36.9x,9.23,₹179.73,0.4%
41,TREN,Trent,NSE,Consumer Cyclicals,Diversified Retail,₹2.30T,135x,0.52,"₹6,475.40",0.6%
42,IOC,Indian Oil,NSE,Energy,Oil & Gas,₹2.28T,7.4x,0.3,₹165.10,0.8%
43,HZNC,Hindustan Zinc,NSE,Basic Materials,Metals & Mining,₹2.28T,28x,-2.31,₹539,-5.7%
44,ZOMT,Zomato,NSE,Technology,Software & IT Services,₹2.26T,385x,,₹257.56,-1%
45,JSTL,JSW Steel,NSE,Basic Materials,Metals & Mining,₹2.18T,29.8x,1.07,₹891.50,0.1%
46,BAJE,Bharat Electronics,NSE,Industrials,Aerospace & Defense,₹2.18T,51.5x,1.55,₹297.60,1.3%
47,DLF,DLF,NSE,Real Estate,Real Estate Operations,₹2.11T,74.3x,2,₹848.65,3.3%
48,JIOF,Jio Financial Services,NSE,Financials,Banking Services,₹2.03T,130.3x,,₹320.55,0.1%
49,VARB,Varun Beverages,NSE,Consumer Non-Cyclicals,Beverages,₹1.85T,76.7x,2.79,"₹1,422.65",-2.7%
50,TISC,Tata Steel Ltd,NSE,Basic Materials,Metals & Mining,₹1.84T,-44.3x,0.13,₹147.01,0.6%
51,GRAS,Grasim Industries,NSE,Basic Materials,Construction Materials,₹1.73T,32.1x,-1.71,"₹2,537.40",1%
52,SBIL,SBI Life Insurance,NSE,Financials,Insurance,₹1.67T,82.8x,8.06,"₹1,668.55",-1.4%
53,VDAN,Vedanta,NSE,Basic Materials,Metals & Mining,₹1.66T,30.4x,-0.79,₹423.45,0.8%
54,LTIM,LTIMindtree,NSE,Technology,Software & IT Services,₹1.65T,36.2x,14.76,"₹5,566.25",2.6%
55,ABB,ABB India,NSE,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",₹1.64T,104x,5.11,"₹7,740",-0.2%
56,INGL,InterGlobe Aviation Ltd,NSE,Industrials,Passenger Transportation Services,₹1.63T,20.9x,0.21,"₹4,225.05",0.4%
57,PWFC,Power Finance,NSE,Financials,Banking Services,₹1.62T,7.9x,0.37,₹490.65,1.2%
58,PIDI,Pidilite Industries,NSE,Basic Materials,Chemicals,₹1.54T,84.5x,2.75,"₹3,030.95",0%
59,ABUJ,Ambuja Cements,NSE,Basic Materials,Construction Materials,₹1.54T,39.6x,0.95,₹623.90,0.1%
