1,BBCA,Bank Central Asia,Jakarta,Financials,Banking Services,"IDR 1,269.73T",24.7x,2.57,"IDR 10,300",0.7%
2,BREN,Barito Renewables Energy PT Tbk,Jakarta,,,"IDR 1,160.60T",653x,,"IDR 8,800",1.4%
3,AMMN,Amman Mineral Internasional Tbk PT,Jakarta,,,IDR 743.31T,84.9x,-5.55,"IDR 10,250",504.7%
4,BBRI,Bank Rakyat Persero,Jakarta,Financials,Banking Services,IDR 734.27T,12.1x,1.39,"IDR 4,870",0.8%
5,BMRI,Bank Mandiri Persero,Jakarta,Financials,Banking Services,IDR 660.33T,11.7x,0.51,"IDR 7,075",0.7%
6,BYAN,Bayan Resources,Jakarta,Energy,Coal,IDR 569.17T,40.6x,-0.76,"IDR 17,075",-2%
7,TLKM,Telkom Indonesia,Jakarta,Technology,Telecommunications Services,IDR 296.20T,12.6x,0.74,"IDR 2,990",4.2%
8,ASII,Astra International,Jakarta,Consumer Non-Cyclicals,Consumer Goods Conglomerates,IDR 201.20T,6.3x,0.42,"IDR 4,970",1.6%
9,BBNI,Bank Negar,Jakarta,Financials,Banking Services,IDR 198.39T,9.4x,1.21,"IDR 5,325",1.4%
10,ICBP,Indofood Cbp,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 130.90T,27.3x,-0.64,"IDR 11,225",-0.4%
11,BRIS,Bank Syariah Indonesia,Jakarta,Financials,Banking Services,IDR 121.78T,20.5x,1.2,"IDR 2,640",-0.7%
12,AMRT,Sumber Alfaria Trijaya,Jakarta,Consumer Non-Cyclicals,Food & Drug Retailing,IDR 118.76T,33.1x,2.84,"IDR 2,860",0.4%
13,BRPT,Barito Pacific,Jakarta,Basic Materials,Chemicals,IDR 104.65T,200.8x,6.82,"IDR 1,115",0.9%
14,ADRO,Adaro Energy,Jakarta,Energy,Coal,IDR 100.98T,4x,-0.1,"IDR 3,270",1.9%
15,DCII,DCI Indonesia,Jakarta,Technology,Software & IT Services,IDR 99.88T,186.6x,6.76,"IDR 41,900",0%
16,SMMA,Sinar Mas Multiartha,Jakarta,Financials,Insurance,IDR 92.97T,94.2x,,"IDR 14,600",0%
17,UNVR,Unilever Indonesia,Jakarta,Consumer Non-Cyclicals,Personal & Household Products & Services,IDR 91.56T,20.3x,-5.26,"IDR 2,400",0.8%
18,UNTR,United Tractors,Jakarta,Energy,Coal,IDR 90.89T,4.8x,-0.36,"IDR 25,025",0.9%
19,CUAN,PT Petrindo Jaya Kreasi Tbk,Jakarta,Basic Materials,Metals & Mining,IDR 90.22T,143.6x,-20.03,"IDR 8,150",1.6%
20,ISAT,Indosat,Jakarta,Technology,Telecommunications Services,IDR 89.90T,16.9x,0.27,"IDR 11,150",-0.4%
21,CPIN,Charoen Pokphand Indonesia,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 85.27T,31.5x,0.72,"IDR 5,200",2%
22,PANI,Pantai Indah Kapuk Dua Tbk PT,Jakarta,Real Estate,Real Estate Operations,IDR 84.39T,362.4x,-6.53,"IDR 5,400",-0.9%
23,HMSP,Hanjaya Mandala Sampoerna Tbk PT,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 77.35T,10x,1.09,IDR 665,2.3%
24,KLBF,Kalbe Farma,Jakarta,Healthcare,Pharmaceuticals,IDR 76.53T,25.1x,-3.89,"IDR 1,655",-0.9%
25,DNET,Indoritel Makmur,Jakarta,Technology,Telecommunications Services,IDR 70.49T,121.4x,-2.27,"IDR 4,970",-2.1%
26,MSIN,MNC Studios,Jakarta,Consumer Cyclicals,Media & Publishing,IDR 64.32T,198.4x,21.53,"IDR 5,300",-1.4%
27,MYOR,Mayora Indah,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 60.37T,16.3x,0.33,"IDR 2,700",-0.4%
28,MBMA,Merdeka Battery Materials PT,Jakarta,Basic Materials,Metals & Mining,IDR 59.94T,217.6x,0.33,IDR 555,-30.2%
29,MEGA,Bank Mega,Jakarta,Financials,Banking Services,IDR 59.59T,21.5x,-0.55,"IDR 5,075",0.5%
30,GOTO,GoTo Gojek Tokopedia PT,Jakarta,Technology,Software & IT Services,IDR 58.20T,-0.7x,0,IDR 53,-1.9%
31,NCKL,PT Trimegah Bangun Persada Tbk,Jakarta,Basic Materials,Metals & Mining,IDR 58.05T,10.4x,0.45,IDR 925,0.5%
32,INDF,Indofood,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 57.07T,8.8x,-0.3,"IDR 6,500",0.4%
33,MASA,Multistrada Arah Sarana,Jakarta,Consumer Cyclicals,Automobiles & Auto Parts,IDR 56.93T,65.7x,34.03,"IDR 6,200",0%
34,MDKA,Merdeka Copper Gold TBK PT,Jakarta,Basic Materials,Metals & Mining,IDR 56.62T,-74.4x,0.23,"IDR 2,320",-0.9%
35,BELI,Global Digital Niaga Tbk PT,Jakarta,Consumer Cyclicals,Diversified Retail,IDR 55.44T,-16x,-0.36,IDR 450,0%
36,MTEL,Dayamitra Telekomunikasi PT,Jakarta,Technology,Telecommunications Services,IDR 54.66T,27.1x,2.09,IDR 665,0%
37,GEMS,Golden Energy Mines,Jakarta,Energy,Coal,IDR 54.41T,7.5x,-0.18,"IDR 9,250",0.8%
38,ADMR,Adaro Minerals Indonesia Tbk PT,Jakarta,Basic Materials,Metals & Mining,IDR 51.92T,7.1x,0.17,"IDR 1,285",1.2%
39,PGEO,PT Pertamina Geothermal Energy,Jakarta,Utilities,Electrical Utilities & IPPs,IDR 51.25T,19.6x,-1.21,"IDR 1,230",-0.4%
40,SUPR,Solusi Tunas Pratama,Jakarta,Technology,Telecommunications Services,IDR 49.91T,43.9x,1.6,"IDR 43,875",0%
41,FILM,MD Pictures,Jakarta,Consumer Cyclicals,Media & Publishing,IDR 45.84T,408.5x,24.92,"IDR 4,820",1.5%
42,BNGA,Bank Cimb Niaga,Jakarta,Financials,Banking Services,IDR 45.75T,6.8x,0.44,"IDR 1,820",1.1%
43,INKP,Indah Kiat Pulp & Paper,Jakarta,Basic Materials,Paper & Forest Products,IDR 45.68T,6.9x,-0.15,"IDR 8,350",0.9%
44,TBIG,Tower Bersama,Jakarta,Technology,Telecommunications Services,IDR 43.19T,26.9x,4.17,"IDR 1,910",-0.3%
45,CMRY,Cisarua Mountain Dairy Tbk PT,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 41.66T,29.3x,1.4,"IDR 5,250",0%
46,MIKA,Mitra Keluarga Karyasehat,Jakarta,Healthcare,Healthcare Providers & Services,IDR 41.58T,39.3x,2.64,"IDR 2,990",0.3%
47,INCO,Vale Indonesia,Jakarta,Basic Materials,Metals & Mining,IDR 41T,24.7x,-0.39,"IDR 3,890",1.6%
48,TOWR,Sarana Menara Nusantara,Jakarta,Technology,Telecommunications Services,IDR 40.84T,12.5x,-8.45,IDR 820,-0.6%
49,JSMR,Jasa Marga,Jakarta,Industrials,Transport Infrastructure,IDR 39.37T,4.9x,0.03,"IDR 5,425",0.5%
50,PGAS,Perusahaan Gas Negara,Jakarta,Utilities,Natural Gas Utilities,IDR 38.91T,7.8x,1.15,"IDR 1,605",0%
51,ARTO,Bank Artos Indonesia,Jakarta,Financials,Banking Services,IDR 38.14T,472.9x,2.4,"IDR 2,780",-0.7%
52,TCPI,Transcoal Pacific,Jakarta,Industrials,Freight & Logistics Services,IDR 36.50T,190.4x,2.79,"IDR 7,300",0.3%
53,SILO,Siloam International,Jakarta,Healthcare,Healthcare Providers & Services,IDR 35.57T,35x,-1.6,"IDR 2,740",0.4%
54,ANTM,Aneka Tambang Persero,Jakarta,Basic Materials,Metals & Mining,IDR 35.45T,13x,-0.33,"IDR 1,475",6.5%
55,MEDC,Medco Energi,Jakarta,Energy,Oil & Gas,IDR 33.71T,5.3x,0.23,"IDR 1,345",0.7%
56,BNLI,Bank Permata,Jakarta,Financials,Banking Services,IDR 33.29T,12.6x,0.4,IDR 920,0%
57,BUMI,Bumi Resources,Jakarta,Energy,Coal,IDR 33.05T,151.3x,-1.27,IDR 89,11.2%
58,PTBA,Bukit Asam,Jakarta,Energy,Coal,IDR 31.32T,5.8x,-0.13,"IDR 2,720",0.7%
59,AKRA,Akr Corporindo,Jakarta,Energy,Oil & Gas,IDR 30T,10.9x,0.94,"IDR 1,520",0%
60,ITMG,Indo Tambangraya,Jakarta,Energy,Coal,IDR 29.89T,6x,-0.07,"IDR 26,450",0.9%
61,NISP,Bank Ocbc Nisp,Jakarta,Financials,Banking Services,IDR 29.83T,6.8x,0.37,"IDR 1,300",0.4%
62,EXCL,XL Axiata,Jakarta,Technology,Telecommunications Services,IDR 29.28T,18.3x,0.92,"IDR 2,240",0.9%
63,PNBN,Bank Pan Indonesia,Jakarta,Financials,Banking Services,IDR 29.14T,14x,-0.38,"IDR 1,210",1.7%
64,AVIA,Avia Avian PT Tbk,Jakarta,Basic Materials,Chemicals,IDR 29.04T,18x,1.13,IDR 474,-49%
65,GGRM,Gudang Garam,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 28.77T,9.7x,-0.23,"IDR 14,950",0.7%
66,SMGR,Semen Indonesia Persero,Jakarta,Basic Materials,Construction Materials,IDR 27.41T,15.2x,-0.49,"IDR 4,060",1.3%
67,SRAJ,Sejahteraraya,Jakarta,Healthcare,Healthcare Providers & Services,IDR 27.36T,"2,090x",17.46,"IDR 2,280",0%
68,CASA,Capital Financial Ind,Jakarta,Financials,Insurance,IDR 27.13T,329.8x,1.64,IDR 498,0%
69,MKPI,Metropolitan Kentjana,Jakarta,Real Estate,Real Estate Operations,IDR 25.51T,26.8x,1.36,"IDR 26,900","1,180.9%"
70,BDMN,Bank Danamon,Jakarta,Financials,Banking Services,IDR 25.31T,7.3x,0.66,"IDR 2,590",0.4%
71,BINA,Bank Ina Perdana,Jakarta,Financials,Banking Services,IDR 25.21T,156.2x,-5.68,"IDR 4,110",0%
72,SRTG,Saratoga Investama,Jakarta,Financials,Investment Banking & Investment Services,IDR 24.64T,15.3x,0.13,"IDR 1,820",4%
73,EMTK,Elang Mahkota,Jakarta,Consumer Cyclicals,Media & Publishing,IDR 24.55T,53.8x,-0.65,IDR 402,1.5%
74,BTPN,Bank Tabungan,Jakarta,Financials,Banking Services,IDR 24.49T,9.5x,-0.36,"IDR 2,300",0%
75,INTP,Indocement Tunggal,Jakarta,Basic Materials,Construction Materials,IDR 24.36T,14.4x,-0.56,"IDR 7,100",1.1%
76,MAPI,Mitra Adiperkasa,Jakarta,Consumer Cyclicals,Diversified Retail,IDR 24.23T,13.8x,-1.05,"IDR 1,465",0.3%
77,BSDE,Bumi Serpong Damai,Jakarta,Real Estate,Real Estate Operations,IDR 24.15T,9.7x,-0.59,"IDR 1,155",0.4%
78,CTRA,Ciputra Dev,Jakarta,Real Estate,Real Estate Operations,IDR 24T,11.4x,0.41,"IDR 1,295",0.4%
79,TKIM,Pabrik Kertas Tjiwi,Jakarta,Basic Materials,Paper & Forest Products,IDR 23.35T,4.6x,-0.43,"IDR 7,500",0.3%
80,MAPA,MAP Aktif Adiperkasa,Jakarta,Consumer Cyclicals,Specialty Retailers,IDR 23.09T,17.3x,-9.98,IDR 810,0.6%
81,BRMS,Bumi Resources Min,Jakarta,Basic Materials,Metals & Mining,IDR 21.98T,78.5x,6.77,IDR 155,3.3%
82,PWON,Pakuwon Jati,Jakarta,Real Estate,Real Estate Operations,IDR 21.96T,12x,-7.22,IDR 456,-93.8%
83,SIDO,Jamu dan Farmasi Sido,Jakarta,Healthcare,Pharmaceuticals,IDR 21.75T,19.7x,55.73,IDR 725,0.7%
84,BBHI,Bank Harda Internasional Tbk PT,Jakarta,Financials,Banking Services,IDR 19.56T,45.3x,0.96,IDR 900,-0.5%
85,HEAL,Medikaloka Hermina,Jakarta,Healthcare,Healthcare Providers & Services,IDR 19.43T,33.1x,0.49,"IDR 1,305",0.4%
86,FAPA,FAP Agri Tbk PT,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 19.24T,131.1x,-2.2,"IDR 5,300",0%
87,MCOL,Prima Andalan Mandiri Tbk PT,Jakarta,Energy,Coal,IDR 19.20T,7.4x,-0.16,"IDR 5,425",0.5%
88,IMPC,Impack Pratama Industri,Jakarta,Basic Materials,Chemicals,IDR 18.99T,20.9x,0.27,IDR 350,1.2%
89,ULTJ,Ultrajaya Milk,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 18.87T,15.5x,0.84,"IDR 1,815",-0.3%
90,JPFA,Japfa Comfeed Indonesia,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 18.55T,8x,0.02,"IDR 1,595",0%
91,CNMA,Nusantara Sejahtera Raya Tbk PT,Jakarta,Consumer Cyclicals,Hotels & Entertainment Services,IDR 18.50T,21.7x,,IDR 224,0.9%
92,CMNT,Cemindo Gemilang Tbk PT,Jakarta,Basic Materials,Construction Materials,IDR 18.50T,-58.1x,0.13,"IDR 1,050",-2.8%
93,BBTN,Bank Tabungan Negara,Jakarta,Financials,Banking Services,IDR 18.39T,5.2x,1.34,"IDR 1,310",0.8%
94,HRUM,Harum Energy,Jakarta,Energy,Coal,IDR 18.24T,29x,-0.29,"IDR 1,370",-0.7%
95,STTP,Siantar Top,Jakarta,Consumer Non-Cyclicals,Food & Drug Retailing,IDR 16.90T,14.5x,0.21,"IDR 12,900",486.4%
96,BSIM,Bank Sinarmas,Jakarta,Financials,Banking Services,IDR 16.86T,181.1x,-3.23,IDR 855,0%
97,FREN,Smartfren Telecom,Jakarta,Technology,Telecommunications Services,IDR 16.68T,660.4x,-8.33,IDR 35,9.4%
98,BNII,Bank Maybank Indonesia,Jakarta,Financials,Banking Services,IDR 16.31T,18x,-0.37,IDR 214,-0.9%
99,BBSI,Bank Bisnis,Jakarta,Financials,Banking Services,IDR 15.43T,113.3x,2.72,"IDR 4,260",1.4%
100,MIDI,Midi Utama Indonesia,Jakarta,Consumer Non-Cyclicals,Food & Drug Retailing,IDR 14.38T,24.5x,2.82,IDR 430,-0.9%
101,BFIN,BFI Finance,Jakarta,Financials,Banking Services,IDR 14.29T,9.7x,-0.48,IDR 950,-55.3%
102,ESSA,ESSA Industries Indonesia Tbk PT,Jakarta,Energy,Oil & Gas,IDR 13.95T,17.5x,-0.51,IDR 810,0.6%
103,TAPG,Triputra Agro Persada Tbk PT,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 13.70T,6.1x,0.26,IDR 690,0%
104,MPRO,Maha Properti Indonesia Tbk PT,Jakarta,Real Estate,Real Estate Operations,IDR 13.67T,-396.3x,-52.21,"IDR 1,375",-0.4%
105,GOOD,Garudafood Putra Putri,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 13.65T,21.9x,0.63,IDR 370,-0.5%
106,FASW,Fajar Surya Wisesa,Jakarta,Basic Materials,Containers & Packaging,IDR 13.63T,-15.4x,0.13,"IDR 5,500",0%
107,WIKA,Wijaya Karya,Jakarta,Industrials,Construction & Engineering,IDR 13.56T,-0.4x,0,IDR 340,-19%
108,CLEO,Sariguna Primatirta,Jakarta,Consumer Non-Cyclicals,Beverages,IDR 13.40T,32.2x,0.37,"IDR 1,120",0.9%
109,KPIG,Mnc Land,Jakarta,Real Estate,Real Estate Operations,IDR 13.07T,23.1x,1.29,IDR 134,-1.5%
110,BANK,Bank Net Indonesia Syariah Tbk PT,Jakarta,Financials,Banking Services,IDR 12.94T,-64.3x,-2.3,IDR 880,-0.6%
111,APIC,Pacific Strategic,Jakarta,Financials,Investment Banking & Investment Services,IDR 12.65T,101.8x,-3.87,"IDR 1,075",0%
112,MLBI,Multi Bintang Ind,Jakarta,Consumer Non-Cyclicals,Beverages,IDR 12.59T,12x,1.86,"IDR 5,975",-0.4%
113,TSPC,Tempo Scan Pacific,Jakarta,Healthcare,Pharmaceuticals,IDR 12.58T,9.7x,-8.3,"IDR 2,790",-0.4%
114,ACES,Aspirasi Hidup Indonesia Tbk PT,Jakarta,Consumer Cyclicals,Specialty Retailers,IDR 12.50T,15.1x,1.05,IDR 730,-0.7%
115,BUKA,Bukalapak.com PT,Jakarta,Technology,Software & IT Services,IDR 12.37T,-6.6x,-0.09,IDR 120,-85.9%
116,INPP,Indonesian Paradise,Jakarta,Real Estate,Real Estate Operations,IDR 11.85T,55.3x,0.23,"IDR 1,060",-0.9%
117,ADMF,Adira Dinamika,Jakarta,Financials,Banking Services,IDR 11.55T,6.1x,0.82,"IDR 11,550",-0.2%
118,AALI,Astra Agro Lestari,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 11.40T,9.6x,-1.27,"IDR 5,925",0.4%
119,BSSR,Baramulti Suksessarana,Jakarta,Energy,Coal,IDR 11.33T,4.5x,-0.11,"IDR 4,330",2.6%
120,SMSM,Selamat Sempurna,Jakarta,Consumer Cyclicals,Automobiles & Auto Parts,IDR 11.23T,11.6x,1.72,"IDR 1,950",0%
121,BSWD,Bank Of India Indonesia,Jakarta,Financials,Banking Services,IDR 11.07T,208x,2.25,"IDR 3,000",0%
122,PNLF,Panin Financial,Jakarta,Financials,Insurance,IDR 10.95T,8.2x,-0.21,IDR 342,0.6%
123,BBKP,Bank Bukopin,Jakarta,Financials,Banking Services,IDR 10.90T,-1.1x,-0.17,IDR 58,3.6%
124,RISE,Jaya Sukses Makmur,Jakarta,Consumer Cyclicals,Hotels & Entertainment Services,IDR 10.84T,"1,480x",-17.73,IDR 990,507.4%
125,LIFE,Asuransi Jiwa Sinarmas,Jakarta,Financials,Insurance,IDR 10.82T,90.5x,-1.41,"IDR 5,825",13.1%
126,ABMM,Abm Investama,Jakarta,Energy,Coal,IDR 10.82T,2.9x,-0.09,"IDR 3,930",2.1%
127,AUTO,Astra Otoparts,Jakarta,Consumer Cyclicals,Automobiles & Auto Parts,IDR 10.60T,5.2x,0.24,"IDR 2,200",0.9%
128,SMRA,Summarecon Agung,Jakarta,Real Estate,Real Estate Operations,IDR 10.57T,11.2x,0.36,IDR 640,0%
129,BJBR,Bank Pembangunan,Jakarta,Financials,Banking Services,IDR 10.52T,6.6x,-0.32,"IDR 1,000",0.5%
130,POWR,Cikarang Listrindo,Jakarta,Utilities,Electrical Utilities & IPPs,IDR 10.51T,14x,-0.31,IDR 665,0.8%
131,MORA,Mora Telematika Indonesia Tbk PT,Jakarta,Technology,Telecommunications Services,IDR 10.17T,18.5x,0.75,IDR 428,-0.5%
132,SMAR,Sinar Mas Agro Resources and Technology Tbk PT,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 9.88T,9.3x,-0.13,"IDR 3,440",1.2%
133,SSMS,Sawit Sumbermas Sarana,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 9.86T,18.1x,-0.37,"IDR 1,035",0%
134,BTPS,Bank Tabungan Pensiunan,Jakarta,Financials,Banking Services,IDR 9.32T,10.6x,-0.21,"IDR 1,210",2.1%
135,BMAS,Bank Maspion Indonesia,Jakarta,Financials,Banking Services,IDR 9.23T,102x,-1.91,IDR 510,3.2%
136,CITA,Cita Mineral,Jakarta,Basic Materials,Metals & Mining,IDR 9.19T,7.6x,0.22,"IDR 2,320",0.4%
137,PLIN,Plaza Indonesia Realty,Jakarta,Real Estate,Real Estate Operations,IDR 8.95T,14.7x,-2.06,"IDR 2,530",0%
138,TMAS,PT Temas Tbk,Jakarta,Industrials,Freight & Logistics Services,IDR 8.87T,13.3x,-0.33,IDR 156,2.6%
139,MFIN,Mandala Multifinance,Jakarta,Financials,Banking Services,IDR 8.67T,22x,-0.67,"IDR 3,270",-0.3%
140,PTRO,Petrosea,Jakarta,Basic Materials,Metals & Mining,IDR 8.65T,61.5x,-0.68,"IDR 8,725",1.2%
141,PRAY,Famon Awal Bros Sedaya Tbk PT,Jakarta,Healthcare,Healthcare Providers & Services,IDR 8.52T,34.2x,0.32,IDR 610,-32.2%
142,JRPT,Jaya Real Property,Jakarta,Real Estate,Real Estate Operations,IDR 8.52T,7.9x,0.36,IDR 660,-0.7%
143,STAA,Sumber Tani Agung Resources Tbk PT,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 8.50T,9.7x,0.37,IDR 780,0%
144,SOHO,Soho Global,Jakarta,Healthcare,Pharmaceuticals,IDR 8.38T,18.8x,0.46,IDR 660,-63.7%
145,BJTM,Bank Pembangunan Timur,Jakarta,Financials,Banking Services,IDR 8.33T,5.7x,0.95,IDR 555,0.9%
146,BBMD,Bank Mestika Dharma,Jakarta,Financials,Banking Services,IDR 8.26T,20.8x,-1.46,"IDR 2,050",-1.9%
147,DSNG,Dharma Satya,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 8.21T,8.3x,-0.74,IDR 775,1.3%
148,CMNP,Citra Marga,Jakarta,Industrials,Transport Infrastructure,IDR 8.16T,7.4x,0.42,"IDR 1,500",1%
149,SCMA,Surya Citra Media,Jakarta,Consumer Cyclicals,Media & Publishing,IDR 8.05T,13.7x,0.14,IDR 127,-0.8%
150,INDY,Indika Energy,Jakarta,Energy,Coal,IDR 7.88T,9.6x,-0.11,"IDR 1,515",2%
151,MTDL,Metrodata Electronics,Jakarta,Technology,Software & IT Services,IDR 7.86T,12x,0.96,IDR 640,-0.8%
152,TINS,Timah Persero,Jakarta,Basic Materials,Metals & Mining,IDR 7.82T,-248.2x,7.61,"IDR 1,050",2.4%
153,EDGE,Indointernet Tbk PT,Jakarta,Technology,Software & IT Services,IDR 7.70T,28.4x,1.99,"IDR 3,820",0.3%
154,DMAS,Puradelta Lestari Tbk Pt,Jakarta,Real Estate,Real Estate Operations,IDR 7.57T,5.3x,0.24,IDR 157,-25.2%
155,DUTI,Duta Pertiwi,Jakarta,Real Estate,Real Estate Operations,IDR 7.33T,8.4x,-0.73,"IDR 3,960",0%
156,IBST,Inti Bangun Sejahtera,Jakarta,Technology,Telecommunications Services,IDR 7.29T,-8x,0,"IDR 5,400",0%
157,ARCI,Archi Indonesia Tbk PT,Jakarta,Basic Materials,Metals & Mining,IDR 7.25T,132.6x,-2.42,IDR 292,0%
158,GGRP,Gunung Raja,Jakarta,Basic Materials,Metals & Mining,IDR 7.15T,9.8x,-1.35,IDR 600,1.7%
159,BKSL,Sentul City,Jakarta,Real Estate,Real Estate Operations,IDR 7.04T,11x,0.05,IDR 42,0%
160,DMND,Diamond Food,Jakarta,Consumer Non-Cyclicals,Food & Tobacco,IDR 7.01T,26.5x,-0.93,IDR 740,0%
161,ERAA,Erajaya Swasembada,Jakarta,Consumer Cyclicals,Specialty Retailers,IDR 6.85T,7.7x,-0.98,IDR 434,1.4%
162,HILL,PT Hillcon Tbk,Jakarta,Basic Materials,Metals & Mining,IDR 6.78T,32.3x,-0.88,"IDR 2,300",0%
163,EPMT,Enseval Putra,Jakarta,Healthcare,Pharmaceuticals,IDR 6.74T,9.5x,-1.41,"IDR 2,490",-54.7%
164,SDRA,Bank Woori Indonesia,Jakarta,Financials,Banking Services,IDR 6.73T,8.2x,-0.26,IDR 458,0.9%
165,SGER,Sumber Global,Jakarta,Energy,Coal,IDR 6.67T,12.6x,-0.47,IDR 428,296.3%
166,PSAB,J Resources,Jakarta,Basic Materials,Metals & Mining,IDR 6.40T,42.2x,0.48,IDR 242,-0.8%
