1,KYGa,Kerry Group,Ireland,Consumer Non-Cyclicals,Food & Tobacco,€15.12B,,-2.33,€88.35,0.2%
2,AIBG,AIB,Ireland,Financials,Banking Services,€12.48B,,0.05,€5.16,2.8%
3,GL9,Glanbia PLC,Ireland,Consumer Non-Cyclicals,Food & Tobacco,€4.20B,14.4x,0.47,€16.15,-1.8%
4,DHG,Dalata Hotel,Ireland,Consumer Cyclicals,Hotels & Entertainment Services,€942.61M,13.5x,-1.34,€4.20,2.2%
5,IR5B_u,Irish Continental,Ireland,Industrials,Passenger Transportation Services,€921.37M,15.6x,1.86,€5.60,-1.1%
6,PTSB,Permanent TSB,Ireland,Financials,Banking Services,€842.93M,13.4x,-0.17,€1.54,3%
7,GLV,Glenveagh Properties,Ireland,Consumer Cyclicals,Homebuilding & Construction Supplies,€787.55M,16.9x,2.96,€1.36,1%
8,UPR,Uniphar,Ireland,Healthcare,Pharmaceuticals,€724.86M,14.9x,-8.82,€2.72,2.4%
9,IRES,Irish Res Pr P,Ireland,Real Estate,Residential & Commercial REITs,€476.62M,-5.1x,0.3,€0.90,0.6%
10,FBH,FBD Holdings,Ireland,Financials,Insurance,€466.66M,7.2x,,€13,-1.1%
11,MLCM,Malin Corporation plc,Ireland,Healthcare,Pharmaceuticals,€110.50M,23.8x,,€5.85,0%
12,MCON,Mincon Group P,Ireland,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€97.74M,65.7x,-0.58,€0.46,0%
13,DLE,Datalex,Ireland,Technology,Software & IT Services,€51.48M,-6.3x,-0.29,€0.39,0%
14,DQ7A,Donegal Invest,Ireland,Consumer Non-Cyclicals,Food & Tobacco,€25.04M,18.6x,-1.19,€16.50,0%
15,CORRE,Corre Energy BV,Ireland,Energy,Renewable Energy,€20.26M,-3.8x,0.05,€0.24,-8%
