1,TEVA,Teva,Tel Aviv,Healthcare,Pharmaceuticals,₪77.12B,-45.6x,-0.53,₪68.07,4.4%
2,LUMI,Leumi,Tel Aviv,Financials,Banking Services,₪51.91B,6.1x,0.23,₪34.16,1.7%
3,POLI,Bank Hapoalim,Tel Aviv,Financials,Banking Services,₪48.33B,6.6x,1.09,₪36,0.9%
4,NICE,NICE Ltd,Tel Aviv,Technology,Software & IT Services,₪40.44B,30x,0.97,₪637,3.7%
5,MZTF,Mizrahi Tefahot,Tel Aviv,Financials,Banking Services,₪35.88B,7.4x,3.74,₪139.30,-0.2%
6,AZRG,Azrieli Group,Tel Aviv,Real Estate,Real Estate Operations,₪29.60B,12.9x,0.49,₪244.30,1.2%
7,NVMI,Nova,Tel Aviv,Technology,Semiconductors & Semiconductor Equipment,₪25.15B,43.9x,3.31,₪865.40,3.1%
8,DSCT,Discount,Tel Aviv,Financials,Banking Services,₪24.47B,6.2x,1.2,₪19.83,-0.9%
9,ICL,ICL Israel Chemicals,Tel Aviv,Basic Materials,Chemicals,₪20.09B,11.5x,-0.14,₪15.45,0.3%
10,CAMT,Camtek,Tel Aviv,Technology,Semiconductors & Semiconductor Equipment,₪16.60B,46.8x,2.16,₪365,6.1%
11,TSEM,Tower,Tel Aviv,Technology,Semiconductors & Semiconductor Equipment,₪16.53B,9x,0.11,₪148.90,3.9%
12,FIBI,First Intl Bank,Tel Aviv,Financials,Banking Services,₪15.27B,7.2x,1.05,₪151.20,1.1%
13,MLSR,Melisron,Tel Aviv,Real Estate,Real Estate Operations,₪13.13B,11.8x,-0.69,₪275.80,2%
14,BEZQ,Bezeq,Tel Aviv,Technology,Telecommunications Services,₪11.59B,10.4x,4.16,₪4.20,1%
15,NWMDp,Newmed Energy LP,Tel Aviv,Energy,Oil & Gas,₪11.02B,6.9x,,₪9.40,1.4%
16,BIG,BIG,Tel Aviv,Real Estate,Real Estate Operations,₪9.54B,11x,-0.36,₪390.10,0.8%
17,PHOE,Phoenix Holdings,Tel Aviv,Financials,Insurance,₪9.41B,9.1x,0.09,₪37.41,1.1%
18,SPEN,Shapir Engineering Industry,Tel Aviv,Basic Materials,Construction Materials,₪7.62B,54.5x,-0.91,₪21.39,1.8%
19,AMOT,Amot Investments,Tel Aviv,Real Estate,Real Estate Operations,₪7.58B,11.2x,-0.35,₪16.11,0.8%
20,DLEKG,Delek Group,Tel Aviv,Energy,Oil & Gas,₪7.52B,5.7x,-0.16,₪404.60,2%
21,ENRG,Energix,Tel Aviv,Utilities,Electrical Utilities & IPPs,₪7.27B,32.7x,-0.93,₪13.27,-1.3%
22,HARL,Harel,Tel Aviv,Financials,Insurance,₪7.26B,9.9x,,₪35.40,1.1%
23,ENLT,Enlight Energy,Tel Aviv,Utilities,Electrical Utilities & IPPs,₪7.10B,33.5x,-2,₪59.99,-0.7%
