1,ENEI,Enel,Milan,Utilities,Electrical Utilities & IPPs,€65.91B,13.5x,0.12,€6.49,-0.3%
2,ISP,Intesa Sanpaolo,Milan,Financials,Banking Services,€62.48B,7.7x,0.2,€3.49,0.6%
3,CRDI,UniCredit,Milan,Financials,Banking Services,€55.11B,5.9x,0.15,€35.05,1.2%
4,STLAM,Stellantis NV,Milan,Consumer Cyclicals,Automobiles & Auto Parts,€54.90B,3.3x,-0.13,€14.10,1.6%
5,ENI,Eni SpA,Milan,Energy,Oil & Gas,€45.46B,11.9x,-0.21,€14.33,-0.2%
6,GASI,Assicurazioni Generali,Milan,Financials,Insurance,€34.95B,9.9x,-0.61,€22.68,1%
7,PRY,Prysmian,Milan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€17.60B,31.5x,-1.24,€60.64,1.4%
8,PST,Poste Italiane,Milan,Industrials,Freight & Logistics Services,€15.61B,8.7x,1.96,€12.06,1.3%
9,TRN,Terna,Milan,Utilities,Electrical Utilities & IPPs,€15.42B,15.1x,0.87,€7.68,0.4%
10,SRG,Snam,Milan,Energy,Oil & Gas Related Equipment and Services,€14.78B,13.8x,0.24,€4.41,0.5%
11,MONC,Moncler SpA,Milan,Consumer Cyclicals,Textiles & Apparel,€14.33B,22.1x,1.18,€52.96,0.9%
12,TENR,Tenaris,Milan,Energy,Oil & Gas Related Equipment and Services,€14.08B,5.9x,-0.23,€12.70,-0.5%
13,LDOF,Leonardo,Milan,Industrials,Aerospace & Defense,€12.96B,13.1x,0.82,€22.52,3.2%
14,MDBI,Mediobanca,Milan,Financials,Banking Services,€11.70B,9.2x,0.34,€14.09,0.7%
15,RECI,Recordati,Milan,Healthcare,Pharmaceuticals,€10.24B,26.5x,-68.28,€49.96,0.3%
16,INWT,Inwit,Milan,Technology,Telecommunications Services,€9.77B,28x,2.01,€10.48,1.2%
17,CPRI,Campari,Milan,Consumer Non-Cyclicals,Beverages,€9.63B,28.1x,-4.04,€8.01,0.9%
18,BAMI,Banco Bpm,Milan,Financials,Banking Services,€8.75B,7x,,€5.82,0.3%
19,FBK,FinecoBank,Milan,Financials,Banking Services,€8.75B,14x,,€14.31,0.2%
20,BMED,Banca Mediolanum,Milan,Financials,Banking Services,€7.70B,8.4x,0.19,€10.40,0.8%
21,NEXII,Nexi,Milan,Industrials,Professional & Commercial Services,€7.43B,-7.1x,,€5.87,0.9%
22,EDNn,Edison RSP,Milan,Utilities,Multiline Utilities,€7.34B,13.3x,,€1.55,0.7%
23,EMII,Bper Banca,Milan,Financials,Banking Services,€6.76B,4.4x,0.04,€4.78,1.7%
24,UNPI,Unipol Gruppo,Milan,Financials,Insurance,€6.46B,5.4x,0.05,€9.01,0.9%
25,BMPS,BCA MPS,Milan,Financials,Banking Services,€6.46B,2.5x,0.01,€5.13,-0.4%
26,AMPF,Amplifon,Milan,Healthcare,Healthcare Equipment & Supplies,€6.41B,39.4x,-5.64,€28.38,0%
27,A2,A2A,Milan,Utilities,Electrical Utilities & IPPs,€6.29B,7.2x,0.05,€2.01,1%
28,BZU,Buzzi Unicem,Milan,Basic Materials,Construction Materials,€6.19B,6.5x,0.33,€33.92,1.1%
29,BCU,Brunello Cucinelli,Milan,Consumer Cyclicals,Textiles & Apparel,€5.74B,49.8x,1.17,€84.60,0.7%
30,PIRC,Pirelli & C,Milan,Consumer Cyclicals,Automobiles & Auto Parts,€5.30B,11.4x,1.42,€5.30,0.4%
31,DIAS,Diasorin,Milan,Healthcare,Healthcare Equipment & Supplies,€5.30B,33x,-5.23,€99.44,-0.4%
32,TLITn,Telecom Italia RSP,Milan,Technology,Telecommunications Services,€4.93B,-3.3x,,€0.25,4.1%
33,TLIT,Telecom Italia,Milan,Technology,Telecommunications Services,€4.93B,-3.3x,,€0.23,4.6%
34,REY,Reply,Milan,Technology,Software & IT Services,€4.90B,23.3x,2.63,€131.50,1.2%
35,HRA,Hera,Milan,Utilities,Multiline Utilities,€4.84B,11.9x,2.16,€3.36,0.6%
36,SPMIr,Saipem Pref,Milan,Energy,Oil & Gas Related Equipment and Services,€4.74B,15.4x,0.04,€101,0%
37,SPMI,Saipem,Milan,Energy,Oil & Gas Related Equipment and Services,€4.74B,15.4x,0.04,€1.99,0%
38,TPRO,Technoprobe,Milan,Technology,Semiconductors & Semiconductor Equipment,€4.67B,45.9x,-2.36,€7.17,0.7%
39,BGN,Banca Generali,Milan,Financials,Banking Services,€4.43B,12.1x,,€38.82,1.1%
40,DLG,De Longhi,Milan,Consumer Cyclicals,Household Goods,€4.09B,16.3x,,€27.18,0%
41,IG,Italgas,Milan,Utilities,Natural Gas Utilities,€4.03B,8.7x,1.29,€4.97,0.6%
42,ITPG,Interpump,Milan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€3.98B,16.8x,-0.82,€37.22,0.5%
43,ACE,ACEA,Milan,Utilities,Multiline Utilities,€3.55B,11x,0.31,€16.69,0.1%
44,ERG,ERG,Milan,Utilities,Electrical Utilities & IPPs,€3.43B,15x,0.04,€23.42,0.9%
45,BRBI,Freni Brembo,Milan,Consumer Cyclicals,Automobiles & Auto Parts,€3.29B,11.1x,-2.04,€10.18,2.1%
46,EMBI,Credito Emiliano,Milan,Financials,Banking Services,€3.24B,5.5x,,€9.61,0.8%
47,SOLS,Sol,Milan,Basic Materials,Chemicals,€3.17B,21.6x,2.36,€34.95,1%
48,AZMT,Azimut Holding,Milan,Financials,Investment Banking & Investment Services,€3.01B,5.5x,0.17,€21.26,1%
49,BPSI,Banca Popolare Sondrio,Milan,Financials,Banking Services,€2.95B,5.7x,0.12,€6.55,2.7%
50,LTMC,Lottomatica,Milan,Consumer Cyclicals,Hotels & Entertainment Services,€2.83B,50.9x,-1.69,€11.23,0.7%
51,IREE,Iren,Milan,Utilities,Multiline Utilities,€2.38B,9.4x,,€1.85,-1.1%
52,MTCM,Maire,Milan,Industrials,Construction & Engineering,€2.36B,14.4x,0.21,€7.21,-0.1%
53,IVG,Iveco NV,Milan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€2.34B,10.1x,-0.52,€8.73,0.1%
54,WBDn,Webuild SpA Pref,Milan,Industrials,Construction & Engineering,€2.31B,13.7x,,€9.95,0%
55,WBD,Webuild,Milan,Industrials,Construction & Engineering,€2.31B,13.7x,0.02,€2.31,0.4%
56,DANI,Danieli & C,Milan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€2.14B,10x,,€32.95,-0.6%
57,DANIn,Danieli & C RSP,Milan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€2.14B,10x,,€24.85,-1.4%
58,ENAV,Enav,Milan,Industrials,Transport Infrastructure,€2.10B,17.1x,0.45,€3.87,0.8%
59,DNR,Industrie De Nora,Milan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",€1.98B,8.9x,0.06,€9.96,0.5%
60,CRLI,Carel Industries,Milan,Technology,Electronic Equipment & Parts,€1.87B,29.8x,-1.67,€16.60,2.2%
61,TGYM,Technogym,Milan,Consumer Cyclicals,Leisure Products,€1.85B,24x,1.63,€9.28,1.1%
