1,7203,Toyota Motor,Tokyo,Consumer Cyclicals,Automobiles & Auto Parts,¥36.8T,7.2x,0.1,"¥2,738.50",3.1%
2,8306,Mitsubishi UFJ Financial,Tokyo,Financials,Banking Services,¥18.12T,13.5x,0.41,"¥1,565.50",4.2%
3,6501,Hitachi,Tokyo,Consumer Non-Cyclicals,Consumer Goods Conglomerates,¥16.39T,22.6x,6.23,"¥3,545",4.4%
4,6758,Sony,Tokyo,Technology,"Computers, Phones & Household Electronics",¥16.06T,16.1x,4.96,"¥13,200",2.5%
5,6861,Keyence,Tokyo,Technology,Electronic Equipment & Parts,¥15.96T,41.3x,14.77,"¥65,730",2%
6,8035,Tokyo Electron,Tokyo,Technology,Semiconductors & Semiconductor Equipment,¥13.38T,30x,-7.36,"¥28,735",4%
7,6098,Recruit Holdings,Tokyo,Industrials,Professional & Commercial Services,¥13.06T,35.6x,1.16,"¥8,510",2.7%
8,9983,Fast Retailing,Tokyo,Consumer Cyclicals,Specialty Retailers,¥12.98T,34.1x,0.93,"¥42,280",2.6%
9,9432,Nippon Telegraph & Telephone Corp,Tokyo,Technology,Telecommunications Services,¥12.72T,10.7x,-7.37,¥150.80,1%
10,8316,Sumitomo Mitsui Financial,Tokyo,Financials,Banking Services,¥12.69T,12.9x,0.94,"¥10,080",3.9%
11,4063,Shin-Etsu Chemical,Tokyo,Basic Materials,Chemicals,¥12.39T,23.8x,-0.98,"¥6,215",2.4%
12,8058,Mitsubishi Corp.,Tokyo,Industrials,Diversified Industrial Goods Wholesale,¥12.13T,12.2x,2.02,"¥3,000",1.9%
13,9984,SoftBank Group Corp.,Tokyo,Technology,Telecommunications Services,¥12T,210.4x,-2.02,"¥8,503",3.9%
14,4568,Daiichi Sankyo,Tokyo,Healthcare,Pharmaceuticals,¥11.26T,48.1x,0.82,"¥5,918",2.9%
15,4519,Chugai Pharmaceutical,Tokyo,Healthcare,Pharmaceuticals,¥11.12T,30.5x,3.31,"¥6,765",2.7%
16,8766,"Tokio Marine Holdings, Inc.",Tokyo,Financials,Insurance,¥10.87T,13.9x,0.12,"¥5,571",3.3%
17,8001,Itochu Corp.,Tokyo,Industrials,Diversified Industrial Goods Wholesale,¥10.35T,12.9x,4.51,"¥7,178",1.5%
18,9433,KDDI Corp.,Tokyo,Technology,Telecommunications Services,¥9.64T,15.1x,-40.15,"¥4,606",0.6%
19,7974,Nintendo,Tokyo,Consumer Cyclicals,Leisure Products,¥9.32T,23.5x,-1.1,"¥7,979",1%
20,8031,Mitsui,Tokyo,Industrials,Diversified Industrial Goods Wholesale,¥9.32T,8.4x,7.19,"¥3,123",3%
21,9434,SoftBank Corp,Tokyo,Technology,Telecommunications Services,¥9.11T,17.8x,-1.94,"¥1,921",1.4%
22,8411,Mizuho Financial,Tokyo,Financials,Banking Services,¥7.98T,10.7x,0.77,"¥3,143",3.4%
