1,JOPH,Jor Phosphate Mn,Amman,Basic Materials,Chemicals,JOD 2.79B,6.4x,-0.28,JOD 11.25,-0.4%
2,ARBK,Arab Bank,Amman,Financials,Banking Services,JOD 2.73B,4.4x,0.12,JOD 4.27,0%
3,APOT,Arab Potash Co,Amman,Basic Materials,Chemicals,JOD 2.26B,10.7x,-0.18,JOD 27.50,1.1%
4,THBK,Housing Bk Trd Fin,Amman,Financials,Banking Services,JOD 1.07B,7.7x,3.11,JOD 3.40,0%
5,JOIB,Jor Islamic Bank,Amman,Financials,Banking Services,JOD 808M,12.7x,2.34,JOD 4.03,0.2%
6,JTEL,Jordan Telecom,Amman,Technology,Telecommunications Services,JOD 547.50M,11.4x,7.4,JOD 2.93,0.3%
7,CAPL,Capital Bank,Amman,Financials,Banking Services,JOD 505.03M,6.7x,2.89,JOD 1.90,-1%
8,JOPT,Jor Petrolm Ref,Amman,Energy,Oil & Gas,JOD 495M,5.9x,0.14,JOD 4.94,0.4%
9,BOJX,Bank Of Jordan,Amman,Financials,Banking Services,JOD 432M,9.9x,6.94,JOD 2.16,0.5%
10,JOKB,Jor Kuwait Bank,Amman,Financials,Banking Services,JOD 427.50M,6.4x,0.1,JOD 2.80,-1.8%
11,UBSI,Bank Al-Etihad,Amman,Financials,Banking Services,JOD 356M,8.1x,0.61,JOD 1.78,0%
12,CABK,Cairo Amman Bank,Amman,Financials,Banking Services,JOD 228M,7.3x,-0.64,JOD 1.14,0%
13,SIBK,Safwa Islamic Bank,Amman,Financials,Banking Services,JOD 224.40M,12.7x,0.87,JOD 1.89,1.1%
14,AHLI,Jordan Ahli Bank,Amman,Financials,Banking Services,JOD 204.67M,10.2x,0.88,JOD 1.02,-1%
15,JOEP,Jor Electreic Pwr,Amman,Utilities,Electrical Utilities & IPPs,JOD 199.12M,16.3x,1.47,JOD 2.16,0.5%
16,AJIB,Arab Jor/Inv/Bank,Amman,Financials,Banking Services,JOD 192M,11.4x,-0.95,JOD 1.28,0%
17,MANE,Afaq Energy,Amman,Energy,Oil & Gas,JOD 177.10M,9.7x,-0.32,JOD 1.61,0.6%
18,JDFS,Jo Duty Fre,Amman,Industrials,Transport Infrastructure,JOD 159.75M,20.1x,-2.09,JOD 7.10,-3.4%
19,SNRA,Siniora Fd Indst,Amman,Consumer Non-Cyclicals,Food & Tobacco,JOD 154.34M,112.4x,-1.51,JOD 4.72,0%
20,INVB,Investbank,Amman,Financials,Banking Services,JOD 145M,5.6x,0.42,JOD 1.45,0%
21,IREL,Irbid Elect,Amman,Utilities,Electrical Utilities & IPPs,JOD 140.07M,29.1x,-0.4,JOD 6.68,-0.3%
22,NCCO,Northern Ce,Amman,Basic Materials,Construction Materials,JOD 113.30M,43.8x,-0.93,JOD 2.06,0%
23,JCBK,Jcbank,Amman,Financials,Banking Services,JOD 108M,8.9x,,JOD 0.90,0%
24,AIEI,Arab Int Inv Edu,Amman,Academic & Educational Services,Miscellaneous Educational Service Providers,JOD 97.61M,17.7x,0.25,JOD 2.41,0%
25,MDTR,Mediterranean Tourism Investment Company PSC,Amman,Consumer Cyclicals,Hotels & Entertainment Services,JOD 88.20M,206.4x,-5.48,JOD 1.96,0%
26,ABCO,Arab Banking Corp,Amman,Financials,Banking Services,JOD 74.80M,17.4x,-0.38,JOD 0.68,1.5%
27,ZARA,Zara Investments,Amman,Consumer Cyclicals,Hotels & Entertainment Services,JOD 60.90M,-30x,0.24,JOD 0.42,0%
28,AIFE,Al Isra for Education and Investment Co PSC,Amman,Academic & Educational Services,"School, College & University",JOD 58.50M,18.8x,-0.52,JOD 3.90,0%
29,AEIV,Arab East Invst.,Amman,Financials,Investment Banking & Investment Services,JOD 55.46M,-107.3x,1.9,JOD 1.18,-4.8%
30,PEDC,Petra Education,Amman,Academic & Educational Services,Miscellaneous Educational Service Providers,JOD 55M,17.6x,0.85,JOD 2.77,4.9%
31,TAJM,Taj Tourist Proj,Amman,Real Estate,Real Estate Operations,JOD 52.08M,24.4x,-1.54,JOD 0.57,0%
32,DADI,Dar Aldawa Dv/Iv,Amman,Healthcare,Pharmaceuticals,JOD 45.15M,14.7x,0.56,JOD 1.30,0%
33,ZEIC,Zarka Education and Investment,Amman,Academic & Educational Services,Miscellaneous Educational Service Providers,JOD 42.97M,35.9x,1.45,JOD 2.48,0%
34,LEAS,Comprehensive Leasing,Amman,Financials,Banking Services,JOD 40.80M,10.4x,,JOD 2.85,4.8%
35,MBED,Arab Pesticides,Amman,Basic Materials,Chemicals,JOD 39.10M,8x,0.73,JOD 2.35,-0.8%
36,CICO,Consulting Group,Amman,Healthcare,Healthcare Providers & Services,JOD 38.40M,32x,0.33,JOD 1.92,0%
37,BIND,Bindar,Amman,Financials,Banking Services,JOD 36.80M,4.7x,0.15,JOD 1.46,0%
38,AAIN,Al Nisr Al Arabi Insurance,Amman,Financials,Insurance,JOD 36.60M,5.6x,-0.38,JOD 3.66,0%
39,JOIN,Jordan Insurance Co PSC,Amman,Financials,Insurance,JOD 32.70M,16.3x,0.04,JOD 1.09,-0.9%
40,MEET,Methaq,Amman,Real Estate,Real Estate Operations,JOD 30.40M,74.4x,-1.3,JOD 3.20,0%
41,JOWM,Jor Worsted Mill,Amman,Consumer Cyclicals,Textiles & Apparel,JOD 30.15M,13.4x,,JOD 2.01,-0.5%
42,SHIP,Shipping Line,Amman,Industrials,Freight & Logistics Services,JOD 30M,9.5x,-0.83,JOD 2,0%
43,ABUS,Comprehensive Multiple Transport,Amman,Industrials,Passenger Transportation Services,JOD 29.10M,-71.8x,-1.09,JOD 1.93,-0.5%
44,JLGC,Jor Loan Grnt.Co,Amman,Financials,Banking Services,JOD 29.08M,13.3x,0.26,JOD 1,0%
45,GENI,General Investment,Amman,Consumer Non-Cyclicals,Beverages,JOD 29M,13.2x,-4.51,JOD 2.90,0%
46,RMCC,Ready Mix Concrt,Amman,Basic Materials,Construction Materials,JOD 29M,5.8x,0.07,JOD 1.16,-0.9%
47,PIEC,Philadelphia Intl Education,Amman,Academic & Educational Services,Miscellaneous Educational Service Providers,JOD 27.90M,8.9x,0.02,JOD 1.86,0%
48,REDV,Real Estate Dv,Amman,Real Estate,Real Estate Operations,JOD 27.29M,-183.3x,,JOD 0.55,0%
49,TIIC,Islamic Insur Co,Amman,Financials,Insurance,JOD 26.40M,15.1x,0.56,JOD 1.60,0%
50,AIHO,Arab Intl Hotel,Amman,Consumer Cyclicals,Hotels & Entertainment Services,JOD 25.53M,-41x,,JOD 0.78,0%
51,MEIN,Middle East Ins,Amman,Financials,Insurance,JOD 25.14M,18.7x,-0.98,JOD 1.14,0%
52,JOIT,Jor Inv Trust,Amman,Financials,Investment Banking & Investment Services,JOD 24.82M,101.1x,0.62,JOD 0.91,0%
53,HPIC,Hayat Phat,Amman,Healthcare,Pharmaceuticals,JOD 23.75M,8.4x,0.33,JOD 2.50,0.8%
54,JOTF,Jordan Trade Facilities Company PSC,Amman,Financials,Banking Services,JOD 23.27M,3.5x,0.07,JOD 1.41,0%
55,AIPC,Al Sharq Inv,Amman,Consumer Cyclicals,Hotels & Entertainment Services,JOD 21.60M,21.4x,38.8,JOD 1.35,0%
56,FRST,First Jordan,Amman,Real Estate,Real Estate Operations,JOD 21M,-21.5x,0.12,JOD 0.28,-3.4%
57,DERA,Deera,Amman,Real Estate,Real Estate Operations,JOD 20.40M,-51x,-0.58,JOD 0.51,0%
58,FINS,First Insurance,Amman,Financials,Insurance,JOD 20.16M,6.2x,0.01,JOD 0.72,0%
59,SITT,Salam Int Trn Td,Amman,Industrials,Freight & Logistics Services,JOD 19.26M,11.5x,,JOD 1,-3.8%
