1,KSPI,Kaspi.kz AO,KASE,Technology,Financial Technology (Fintech) & Infrastructure,KZT 10.28T,11.4x,0.38,"KZT 63,500",0.2%
2,KMGZ,NK KazMunayGaz AO,KASE,Energy,Oil & Gas,KZT 8.29T,8.4x,-0.45,"KZT 13,560",-0.2%
3,KZAP,NAK Kazatomprom AO,KASE,Energy,Uranium,KZT 4.71T,13.3x,-1.05,"KZT 18,200",0.3%
4,KCEL,Kcell AO,KASE,Technology,Telecommunications Services,KZT 642B,28.3x,-0.58,"KZT 3,239",0%
5,ASBN,ForteBank AO,KASE,Financials,Banking Services,KZT 465.54B,3.7x,0.31,KZT 5.01,0.4%
6,KZTK,Kazakhtelekom AO,KASE,Technology,Telecommunications Services,KZT 423.69B,4.7x,-0.2,"KZT 39,440",2.4%
7,KZTK_p,Kazakhtelekom Pref,KASE,Technology,Telecommunications Services,KZT 423.69B,4.7x,-0.2,"KZT 35,999.95",-0.1%
8,KZTKd,Kazakhtelekom AO,KASE,Technology,Telecommunications Services,KZT 413.75B,4.5x,-0.2,"KZT 2,243",0%
9,KEGC,Kazakhstanskaya kompaniya po upravleniyu elektrich,KASE,Utilities,Electrical Utilities & IPPs,KZT 407.43B,7.7x,0.14,"KZT 1,479",0.1%
10,CCBN_p,Bank TsentrKredit AO,KASE,Financials,Banking Services,KZT 368.20B,2.4x,-0.77,"KZT 1,740.63",1.7%
11,CCBN,Bank TsentrKredit,KASE,Financials,Banking Services,KZT 368.20B,2.4x,-0.77,"KZT 1,994.99",0%
12,KZTO,KazTransOil AO,KASE,Energy,Oil & Gas Related Equipment and Services,KZT 319.05B,9.2x,0.1,KZT 829.50,0.8%
13,AIRA,Air Astana AO,KASE,Industrials,Freight & Logistics Services,KZT 298.38B,11.1x,-0.25,KZT 838,-0.3%
14,RAHT,Rakhat AO,KASE,Consumer Non-Cyclicals,Food & Tobacco,KZT 60.84B,7x,1.64,"KZT 16,899",0.6%
15,HSBK,Halyk Bank AO,KASE,Financials,Banking Services,KZT 58.61B,0.1x,0.53,KZT 215.68,0.8%
16,HSBKdEUSW,Halyk Bank AO,KASE,Financials,Banking Services,KZT 58.61B,0.1x,0.53,KZT 215.68,0.8%
17,BSUL,Bayan Sulu AO,KASE,Consumer Non-Cyclicals,Food & Tobacco,KZT 19.72B,9.3x,-0.15,KZT 441.52,0%
18,ULBS,Ulmus Besshoky AO,KASE,Basic Materials,Metals & Mining,KZT 18.13B,,0.54,"KZT 102,675.64",0%
19,AKRL,Ai Karaaul AO,KASE,Basic Materials,Metals & Mining,KZT 18.02B,,3.61,"KZT 120,128",0%
20,BAST,BAST AO,KASE,Basic Materials,Metals & Mining,KZT 16.54B,-3.9x,0.03,"KZT 8,805",0.5%
21,CSEC,Centras Global Markets IUIT,KASE,Financials,Collective Investments,KZT 9.40B,,,"KZT 1,756",0%
22,KMGD,KM Gold AO,KASE,Basic Materials,Metals & Mining,KZT 3.50B,-6x,,KZT 105,-3.9%
23,AKZM,Aktyubinskiy zavod metal,KASE,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",KZT 1.33B,-6.9x,0.04,"KZT 6,200",-0.9%
24,MATN,Maten Petroleum AO,KASE,Energy,Oil & Gas,,,-0.56,"KZT 6,150",0%
25,FFIN_or,Fixed Income Freedom Finance,KASE,Financials,Investment Banking & Investment Services,,,,"KZT 74,767",-2.9%
