1,KFH,Kuwait Finance,Kuwait City,Financials,Banking Services,KWD 11.90T,"19,890x",,KWD 0.72,1%
2,BOUK,Boubyan Bank K.S.C,Kuwait City,Financials,Banking Services,KWD 2.46T,"29,300x",0.78,KWD 0.59,1.2%
3,ZAIN,Mobile Telecom,Kuwait City,Technology,Telecommunications Services,KWD 1.96T,"11,620x",-0.45,KWD 0.45,2%
4,MABK,Mabanee,Kuwait City,Real Estate,Real Estate Operations,KWD 1.19T,"18,150x",3.76,KWD 0.85,0.4%
5,GBKK,Gulf Bank Of Kuwait,Kuwait City,Financials,Banking Services,KWD 1.14T,"17,650x",-2.35,KWD 0.30,0.3%
6,CBKK,Commercial Bank Of Kuwait,Kuwait City,Financials,Banking Services,KWD 919.77B,"8,840x",0.7,KWD 0.51,0.2%
7,ABKK,Al-Ahli Bank Of Kuwait,Kuwait City,Financials,Banking Services,KWD 718.33B,"15,260x",0.6,KWD 0.29,-1.4%
8,BURG,Burgan Bank,Kuwait City,Financials,Banking Services,KWD 662.32B,"16,640x",1.2,KWD 0.18,0.5%
9,STC,Kuwait Telecm Co,Kuwait City,Technology,Telecommunications Services,KWD 524.34B,"15,440x",-7.15,KWD 0.52,1.5%
10,NIND,National Industries,Kuwait City,Consumer Non-Cyclicals,Consumer Goods Conglomerates,KWD 519.33B,"12,170x",0.03,KWD 0.22,0.9%
11,OORE,National Mobile Telecom,Kuwait City,Technology,Telecommunications Services,KWD 516.20B,"15,370x",-0.26,KWD 1.03,0.8%
12,GINS,Gulf Insurance,Kuwait City,Financials,Insurance,KWD 459.68B,"22,190x",-0.32,KWD 1.62,0%
13,KPRO,Kuwait Projects,Kuwait City,Financials,Banking Services,KWD 455.09B,"20,000x",0.43,KWD 0.10,0.3%
14,TAMI,Al-Tamdeen Investment,Kuwait City,Financials,Investment Banking & Investment Services,KWD 366.48B,"31,300x",1.48,KWD 1.10,9.5%
15,CABL,Gulf Cable&Electrical,Kuwait City,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",KWD 357.48B,"18,660x",-21.26,KWD 1.72,0%
16,HUMN,Human Soft Holding,Kuwait City,Academic & Educational Services,Miscellaneous Educational Service Providers,KWD 337.99B,"8,080x",-2.16,KWD 2.52,0.8%
17,BPCC,Boubyan Petrochemical,Kuwait City,Basic Materials,Chemicals,KWD 316.44B,"14,120x",-0.35,KWD 0.59,1.5%
18,MEZZ,Mezzan Holding Co,Kuwait City,Consumer Non-Cyclicals,Food & Tobacco,KWD 286.71B,"20,510x",0.04,KWD 0.92,4.2%
19,KIBK,Kuwait Int Bank,Kuwait City,Financials,Banking Services,KWD 283.95B,"13,850x",0.37,KWD 0.18,1.1%
20,GIHK,Gulf Investment House,Kuwait City,Financials,Investment Banking & Investment Services,KWD 273.58B,"113,830x",0.3,KWD 0.68,1.3%
21,IFAH,Ifa Hotels & Resorts,Kuwait City,Consumer Cyclicals,Hotels & Entertainment Services,KWD 269.26B,"12,630x",0.02,KWD 1.17,2.2%
22,TIJK,Commercial RE,Kuwait City,Real Estate,Real Estate Operations,KWD 261.26B,"16,220x",0.35,KWD 0.15,0.7%
23,SREK,Salhiah RE,Kuwait City,Real Estate,Real Estate Operations,KWD 243.11B,"17,630x",-1.48,KWD 0.42,0.7%
24,KREK,Kuwait Real Estate Co,Kuwait City,Real Estate,Real Estate Operations,KWD 235.53B,"20,250x",1.1,KWD 0.24,2.1%
25,AGHC,Arabi Holding Group,Kuwait City,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",KWD 215.34B,"-12,970x",0.61,KWD 0.41,1.7%
26,ALAF,ALAFCO Avaiation Lease and Finance,Kuwait City,Financials,Banking Services,KWD 215.17B,"-37,670x",-0.42,KWD 0.23,-0.4%
27,JAZK,Jazeera Airways,Kuwait City,Industrials,Passenger Transportation Services,KWD 189.42B,"71,750x",-0.9,KWD 0.86,-0.7%
28,NINV,National Investments Co,Kuwait City,Financials,Investment Holding Companies,KWD 185.71B,"33,290x",0.12,KWD 0.23,3.1%
29,AINS,Al-Ahleia Insurance,Kuwait City,Financials,Insurance,KWD 166.86B,"7,550x",0.25,KWD 0.77,0%
30,SHIP,Heavy Engineering&Ship,Kuwait City,Energy,Oil & Gas Related Equipment and Services,KWD 160.23B,"19,760x",0.59,KWD 0.89,1.8%
31,NREK,National Real Estate,Kuwait City,Real Estate,Real Estate Operations,KWD 150.30B,"-4,680x",0.01,KWD 0.07,-0.8%
32,TAMK,Tamdeen RE,Kuwait City,Real Estate,Real Estate Operations,KWD 144.14B,"10,560x",2.87,KWD 0.36,0.6%
33,ARZA,Arzan Financial,Kuwait City,Financials,Investment Banking & Investment Services,KWD 142.50B,"21,130x",0.31,KWD 0.17,0%
34,NOOR,Noor Financial Inv,Kuwait City,Financials,Investment Banking & Investment Services,KWD 133.93B,"3,370x",0.09,KWD 0.26,1.2%
35,INTG,Integrated Holding,Kuwait City,Industrials,Professional & Commercial Services,KWD 132.57B,"29,110x",0.43,KWD 0.52,-1.1%
36,KCEM,Kuwait Cement,Kuwait City,Basic Materials,Construction Materials,KWD 125.48B,"35,200x",39.33,KWD 0.18,-0.6%
37,IFIN,Int Financial Advisors,Kuwait City,Financials,Investment Banking & Investment Services,KWD 122.95B,"4,940x",0,KWD 0.27,3.1%
38,KCIN,Kuwait National Cinema,Kuwait City,Consumer Cyclicals,Hotels & Entertainment Services,KWD 121.22B,"9,630x",0.24,KWD 1.31,0.8%
39,CGCK,Combined Group,Kuwait City,Industrials,Construction & Engineering,KWD 115.50B,"11,530x",-4.67,KWD 0.68,-1%
40,KWRE,Kuwait Reinsurance,Kuwait City,Financials,Insurance,KWD 108.24B,"8,420x",0.18,KWD 0.38,0%
41,FACI,Commercial Facilities,Kuwait City,Financials,Banking Services,KWD 100.28B,"9,000x",0.13,KWD 0.20,4.2%
42,KINS,Kuwait Insurance,Kuwait City,Financials,Insurance,KWD 99.42B,"8,410x",-0.12,KWD 0.54,0.2%
43,AAYA,Aayan Leasing,Kuwait City,Financials,Banking Services,KWD 98.28B,"8,220x",1.37,KWD 0.15,0.7%
44,IPGK,Independent Petroleum,Kuwait City,Energy,Oil & Gas,KWD 91.48B,"11,000x",1.91,KWD 0.51,4.8%
45,KINV,Kuwait Investment,Kuwait City,Financials,Investment Banking & Investment Services,KWD 88.67B,"10,060x",0.02,KWD 0.16,1.3%
46,PCEM,Portland Cement,Kuwait City,Basic Materials,Construction Materials,KWD 83.68B,"14,650x",-3.11,KWD 0.83,-1.8%
47,NAPS,National Petroleum Svcs,Kuwait City,Energy,Oil & Gas Related Equipment and Services,KWD 78.05B,"9,390x",0.76,KWD 0.86,4.7%
48,ALKK,Alkout Industrial,Kuwait City,Basic Materials,Chemicals,KWD 75.68B,"8,620x",-0.62,KWD 0.75,0%
49,NIBM,National Industries Co,Kuwait City,Basic Materials,Construction Materials,KWD 65.51B,"12,130x",0.28,KWD 0.18,0%
50,ATCK,Advanced Technology,Kuwait City,Healthcare,Healthcare Equipment & Supplies,KWD 62.40B,"-83,200x",0.75,KWD 0.42,0%
