1,SOLB,Lebanese B,Beirut,Real Estate,Real Estate Operations,$12.99B,19.5x,,$74.05,2.1%
2,SOLA,Lebanese A,Beirut,Real Estate,Real Estate Operations,$12.99B,"-2,607.4x",,$82,10.1%
3,HOLC,Holcim Liban,Beirut,Basic Materials,Construction Materials,$1.18B,121.1x,0.15,$60.50,0%
4,AUPRJ,Bank Audi Prf s,Beirut,Financials,Banking Services,$910.42M,-74.9x,,$42,0%
5,AUPRI,Bank Audi I Pref,Beirut,Financials,Banking Services,$910.42M,-74.9x,-1.26,$21.45,0%
6,AUDI,Bank Audi,Beirut,Financials,Banking Services,$910.42M,-349.6x,-1.26,$1.55,0%
7,AUSR,Bank Audi DRC,Beirut,Financials,Banking Services,$910.42M,-349.6x,-1.31,$1.54,0%
8,BOB,Bank Of Beirut,Beirut,Financials,Banking Services,$910.36M,,,$15,0%
9,BOBPH,Bank Of Beirut H Preferred,Beirut,Financials,Banking Services,$910.36M,,,$25,0%
10,BOBPK,Bank of Beirut Pref,Beirut,Financials,Banking Services,$910.36M,,,$25,0%
11,BOBPI,Bank of BeirutL Pref,Beirut,Financials,Banking Services,$910.36M,,,$15,0%
12,BLBD,BLOM Bank DRC,Beirut,Financials,Banking Services,$626.20M,42.8x,,$3,0%
13,BLOM,BLOM Bank SAL,Beirut,Financials,Banking Services,$599.33M,42.7x,,$2.90,0%
14,BYB09,Byblos Bank 9 Preferred,Beirut,Financials,Banking Services,$376.79M,-18.3x,,$29.99,0%
15,BYB,Byblos Bank,Beirut,Financials,Banking Services,$354.29M,-18.3x,,$0.63,-4.5%
16,BYB08,Byblos Bank 8 Preferred,Beirut,Financials,Banking Services,$354.29M,371.4x,,$25,0%
17,BYBDR,Byblos Bank GDR,Beirut,Financials,Banking Services,$354.29M,-18.3x,,$14,0%
18,CBN,Societe Libanaise Ciments,Beirut,Basic Materials,Construction Materials,$315M,120.2x,0.19,$35,0%
19,BLCPD,BLC Bank,Beirut,Financials,Banking Services,$179.15M,-27.6x,,$3,0%
20,BLCPE,Blc Bank Prf,Beirut,Financials,Banking Services,$179.15M,-27.6x,,$59.50,0%
21,BLC,BLC Bank,Beirut,Financials,Banking Services,$179.15M,-27.6x,,$0.93,0%
22,BEMO,Banque BEMO,Beirut,Financials,Banking Services,$95.44M,86.8x,,$1.25,0%
