1,MBBM,Malayan Banking,Kuala Lumpur,Financials,Banking Services,MYR 122.84B,12.9x,0.77,MYR 10.18,0%
2,PUBM,Public Bank,Kuala Lumpur,Financials,Banking Services,MYR 82.88B,12.6x,5.23,MYR 4.27,0%
3,CIMB,CIMB Group,Kuala Lumpur,Financials,Banking Services,MYR 81.32B,11.2x,0.4,MYR 7.60,0.9%
4,TENA,Tenaga Nasional,Kuala Lumpur,Utilities,Electrical Utilities & IPPs,MYR 80.57B,32.2x,-1.06,MYR 13.86,0.1%
5,IHHH,IHH Healthcare,Kuala Lumpur,Healthcare,Healthcare Providers & Services,MYR 55.49B,23.9x,-6.56,MYR 6.30,0%
6,CELC,CelcomDigi Bhd,Kuala Lumpur,Technology,Telecommunications Services,MYR 44.23B,27.5x,0.77,MYR 3.77,-0.8%
7,PCGB,Petronas Chemicals,Kuala Lumpur,Basic Materials,Chemicals,MYR 43.20B,23.6x,-0.39,MYR 5.40,1.9%
8,PMET,Press Metal Bhd,Kuala Lumpur,Basic Materials,Metals & Mining,MYR 41.61B,31x,5.58,MYR 5.05,2%
9,HLBB,Hong Leong Bank,Kuala Lumpur,Financials,Banking Services,MYR 39.97B,9.9x,2.27,MYR 19.50,-0.3%
10,YTLS,YTL Corp,Kuala Lumpur,Utilities,Multiline Utilities,MYR 38.72B,17.8x,0.09,MYR 3.50,1.2%
11,MISC,MISC,Kuala Lumpur,Industrials,Transport Infrastructure,MYR 38.43B,16.9x,1.62,MYR 8.61,-0.7%
12,PGAS,Petronas Gas,Kuala Lumpur,Utilities,Natural Gas Utilities,MYR 35.78B,19.3x,1.64,MYR 18.08,0.4%
13,YTLP,YTL Power Int,Kuala Lumpur,Utilities,Multiline Utilities,MYR 35.41B,10.1x,0.06,MYR 4.37,-0.7%
14,SDGU,SD Guthrie Bhd,Kuala Lumpur,Consumer Non-Cyclicals,Food & Tobacco,MYR 31.60B,15.8x,1.75,MYR 4.57,0.7%
15,MXSC,Maxis,Kuala Lumpur,Technology,Telecommunications Services,MYR 27.65B,27x,-1.97,MYR 3.53,0.6%
16,TLMM,Telekom Malaysia Bhd,Kuala Lumpur,Technology,Telecommunications Services,MYR 26.40B,13.4x,0.19,MYR 6.88,-0.2%
17,RHBC,RHB Bank,Kuala Lumpur,Financials,Banking Services,MYR 24.85B,8.8x,-1.96,MYR 5.70,0%
18,NESM,Nestle,Kuala Lumpur,Consumer Non-Cyclicals,Food & Tobacco,MYR 24.79B,43.6x,-5.33,MYR 105.70,-0.4%
19,IOIB,IOI Corp,Kuala Lumpur,Consumer Non-Cyclicals,Food & Tobacco,MYR 23.76B,29.7x,-0.57,MYR 3.83,0%
20,SWAY_ta,Sunway,Kuala Lumpur,Industrials,Construction & Engineering,MYR 23.69B,36.6x,2.03,MYR 2.81,1.1%
21,SWAYq,Sunway Bhd,Kuala Lumpur,Industrials,Construction & Engineering,MYR 23.69B,36.6x,3.08,MYR 3.80,1.3%
22,SWAY,Sunway,Kuala Lumpur,Industrials,Construction & Engineering,MYR 23.69B,35.1x,3.08,MYR 4.19,0.5%
23,KLKK,Kuala Lumpur Kepong,Kuala Lumpur,Basic Materials,Chemicals,MYR 23.13B,41.9x,-0.63,MYR 21.10,0.6%
24,AXIA,Axiata,Kuala Lumpur,Technology,Telecommunications Services,MYR 21.76B,-10.8x,1.28,MYR 2.37,1.3%
25,GAMU,Gamuda,Kuala Lumpur,Industrials,Construction & Engineering,MYR 20.92B,22.8x,-0.44,MYR 7.50,0.1%
26,PEPT,PPB,Kuala Lumpur,Consumer Non-Cyclicals,Food & Tobacco,MYR 20.80B,15.4x,-0.39,MYR 14.62,1.3%
27,MRDI,Mr D I Y,Kuala Lumpur,Consumer Cyclicals,Specialty Retailers,MYR 19.76B,34.1x,2.21,MYR 2.11,1%
28,HLCB,Hong Leong Financial,Kuala Lumpur,Financials,Banking Services,MYR 19.46B,6.6x,2.55,MYR 17.16,-0.5%
29,PETR,Petronas Dagangan,Kuala Lumpur,Energy,Oil & Gas,MYR 18.74B,21.6x,-2.1,MYR 18.86,-0.6%
30,SIME,Sime Darby,Kuala Lumpur,Consumer Non-Cyclicals,Consumer Goods Conglomerates,MYR 17.93B,4.7x,0.04,MYR 2.63,0%
31,GENT,Genting,Kuala Lumpur,Consumer Cyclicals,Hotels & Entertainment Services,MYR 17.14B,12.1x,0,MYR 4.45,0.4%
32,MAHB,Malaysia Airport,Kuala Lumpur,Industrials,Transport Infrastructure,MYR 16.89B,27.4x,0.25,MYR 10.12,0.2%
33,QRES,QL Resources,Kuala Lumpur,Consumer Non-Cyclicals,Food & Tobacco,MYR 16.28B,37.2x,1.4,MYR 6.69,0.2%
34,AMMB,AMMB,Kuala Lumpur,Financials,Banking Services,MYR 15.37B,8.2x,0.85,MYR 4.65,-0.2%
35,WPHB,Westports,Kuala Lumpur,Industrials,Transport Infrastructure,MYR 14.90B,18.2x,3.07,MYR 4.37,1.4%
36,GENM,Genting Malaysia,Kuala Lumpur,Consumer Cyclicals,Hotels & Entertainment Services,MYR 14.34B,27.5x,0.12,MYR 2.53,-0.4%
37,DIAL,Dialog,Kuala Lumpur,Energy,Oil & Gas Related Equipment and Services,MYR 13.99B,0.2x,1.97,MYR 2.48,-0.4%
38,KLCC,KLCC Property,Kuala Lumpur,Real Estate,Residential & Commercial REITs,MYR 13.74B,14.6x,0.86,MYR 7.61,0%
39,INAR,Inari Amertron,Kuala Lumpur,Technology,Semiconductors & Semiconductor Equipment,MYR 13.36B,42.7x,-4.47,MYR 3.54,1.7%
40,IOIP,IOI Properties,Kuala Lumpur,Real Estate,Real Estate Operations,MYR 11.62B,15.5x,-0.3,MYR 2.11,1.9%
41,IJMS,IJM Corp,Kuala Lumpur,Industrials,Construction & Engineering,MYR 11.18B,18.6x,0.07,MYR 3.19,0.3%
42,CHIU,Chin Hin Bhd,Kuala Lumpur,Consumer Cyclicals,Homebuilding & Construction Supplies,MYR 10.97B,80.8x,1.7,MYR 3.10,1%
43,FRAS,Fraser Neave,Kuala Lumpur,Consumer Non-Cyclicals,Beverages,MYR 10.71B,17.9x,0.93,MYR 29.20,0.1%
44,UTPS,United Plantations,Kuala Lumpur,Consumer Non-Cyclicals,Food & Tobacco,MYR 10.64B,14.1x,0.69,MYR 25.64,0.2%
45,HAPS,Hap Seng Consolidated,Kuala Lumpur,Consumer Non-Cyclicals,Consumer Goods Conglomerates,MYR 10.21B,11.5x,2.33,MYR 4.10,0%
46,SIPR,Sime Darby Property,Kuala Lumpur,Real Estate,Real Estate Operations,MYR 9.45B,20.1x,0.47,MYR 1.39,6.1%
47,HTHB,Hartalega,Kuala Lumpur,Healthcare,Healthcare Equipment & Supplies,MYR 9.28B,96.4x,0.76,MYR 2.72,3%
48,TCOM,TIME Dotcom,Kuala Lumpur,Technology,Telecommunications Services,MYR 9.06B,3.5x,0.07,MYR 4.90,0.2%
49,KPJH,KPJ Healthcare,Kuala Lumpur,Healthcare,Healthcare Providers & Services,MYR 8.29B,29.2x,0.58,MYR 1.90,0.5%
50,YINS,Yinson,Kuala Lumpur,Energy,Oil & Gas Related Equipment and Services,MYR 7.85B,9.6x,0.18,MYR 2.64,5.6%
51,TPGC,Top Glove Corp,Kuala Lumpur,Healthcare,Healthcare Equipment & Supplies,MYR 7.69B,-14.8x,-11.92,MYR 0.96,3.8%
52,BMYS,Bursa Malaysia,Kuala Lumpur,Financials,Investment Banking & Investment Services,MYR 7.68B,27.9x,1.47,MYR 9.49,0.4%
53,BTKW,Batu Kawan,Kuala Lumpur,Basic Materials,Chemicals,MYR 7.68B,23.2x,-0.37,MYR 19.56,0.3%
