1,BOV,Bank of Valletta,Malta,Financials,Banking Services,€963.35M,4.8x,0.14,€1.65,0.6%
2,MIA,Malta International Airport,Malta,Industrials,Transport Infrastructure,€832.10M,18.2x,-9.37,€6.15,1.7%
3,HSB,HSBC Bank Malta,Malta,Financials,Banking Services,€598.11M,6.3x,0.13,€1.66,-1.8%
4,MLTAC,GO PLC,Malta,Technology,Telecommunications Services,€303.93M,20.8x,,€3,0%
5,IHI,International Hotel Investments,Malta,Consumer Cyclicals,Hotels & Entertainment Services,€277.06M,-26.5x,0.27,€0.45,0%
6,SFC,Simonds Farsons Cisk,Malta,Consumer Non-Cyclicals,Beverages,€246.60M,16.2x,-12.56,€6.85,0%
7,PGLC,PG,Malta,Consumer Non-Cyclicals,Food & Drug Retailing,€206.28M,15x,1,€1.91,0%
8,APSA,Aps Bank,Malta,Financials,Banking Services,€187.53M,11.6x,-0.66,€0.49,0%
9,RSOF,RS2 Software PLC,Malta,Technology,Software & IT Services,€152.88M,-375x,0.4,€0.70,-6.7%
10,RS2P_p,RS2 Software,Malta,Technology,Software & IT Services,€152.88M,-433.7x,0.39,€0.75,0%
11,MMSA,Mapfre Middlesea,Malta,Financials,Insurance,€121.44M,9.6x,0.13,€1.32,0%
12,LOM,Lombard Bank Malta,Malta,Financials,Banking Services,€117.47M,8.4x,-0.25,€0.76,-3.8%
13,FIM,FIM Bank plc,Malta,Financials,Banking Services,€95.70M,"-3,448.3x",-33.78,€0.18,0.5%
14,MLTI,Malita Investments PLC,Malta,Real Estate,Real Estate Operations,€73.46M,3x,0.02,€0.50,1.2%
15,BMIT,BMIT Tech,Malta,Industrials,Professional & Commercial Services,€72.48M,15.6x,-0.82,€0.36,7.9%
16,TIML,Tigne Mall,Malta,Real Estate,Real Estate Operations,€55.84M,14.6x,-2.18,€0.99,0%
17,MID,MIDI,Malta,Real Estate,Real Estate Operations,€53.54M,-35.7x,-0.97,€0.25,8.7%
18,TRID,Trident Estates,Malta,Real Estate,Real Estate Operations,€47.88M,45.6x,-0.55,€1.14,-1.7%
19,MDS,Medserv PLC,Malta,Industrials,Freight & Logistics Services,€42.69M,38.2x,0.48,€0.42,-6.7%
20,MPC,Malta Properties Company PLC,Malta,Industrials,Construction & Engineering,€37.48M,15.4x,0,€0.37,5.7%
21,MTPT,Malta Post plc,Malta,Industrials,Freight & Logistics Services,€34.11M,11x,0.01,€0.44,2.3%
22,MZ,M Z PLC,Malta,Industrials,Freight & Logistics Services,€25.96M,14.2x,0.47,€0.59,0%
23,LSR,LifeStar Holding plc,Malta,Financials,Insurance,€24.10M,200x,0.3,€1,17.6%
24,PLAZA,Plaza Centres,Malta,Real Estate,Real Estate Operations,€16.06M,14.6x,0.54,€0.63,12.5%
25,GHM,Grand Harbour Marina,Malta,Consumer Cyclicals,Hotels & Entertainment Services,€12.40M,4.3x,0.05,€0.62,0%
26,STSM,Santumas,Malta,Real Estate,Real Estate Operations,€9.51M,14.3x,,€1.30,0%
27,MSC,Main Street Complex,Malta,Real Estate,Real Estate Operations,€6.59M,17.9x,5.02,€0.34,0%
28,LQS,Loqus Holdings,Malta,Technology,Software & IT Services,€6.16M,-21.4x,0.18,€0.19,93%
