1,AEIBy,African Export Import Bank DRC,Mauritius,Financials,Banking Services,MUR 277.29B,,,MUR 125.72,0%
2,MCBG,MCB Group,Mauritius,Financials,Banking Services,MUR 96.13B,6.2x,0.38,MUR 390,0%
3,MCBGp,Mcb,Mauritius,Financials,Banking Services,MUR 96.13B,6.2x,0.38,MUR 10.10,0%
4,CTEL,Crytel Mauritius,Mauritius,Basic Materials,Metals & Mining,MUR 29.32B,33.4x,,MUR 260.31,0%
5,IBLL,IBL,Mauritius,Financials,Investment Holding Companies,MUR 27.41B,9.8x,0.13,MUR 40.30,0%
6,CIEL,CIEL Ltd,Mauritius,Consumer Non-Cyclicals,Consumer Goods Conglomerates,MUR 12.94B,4x,0.1,MUR 7.66,0%
7,SBMH,SBM Holdings,Mauritius,Financials,Banking Services,MUR 12.39B,2.9x,0.16,MUR 4.80,0%
8,SHEL,Vivo Energy Mauritius Ltd,Mauritius,Energy,Oil & Gas,MUR 10.26B,18x,-1.86,MUR 350,0%
9,EMTL,Emtel,Mauritius,,,MUR 10.02B,0.9x,,MUR 22,0%
10,ASCE,Ascencia,Mauritius,Real Estate,Real Estate Operations,MUR 8.77B,8x,2.65,MUR 18,0%
11,ROGE,Rogers & Co,Mauritius,Industrials,Freight & Logistics Services,MUR 8.33B,4.3x,0.22,MUR 33.05,0%
12,MBL,Phoenix Beverages,Mauritius,Consumer Non-Cyclicals,Beverages,MUR 8.18B,7.3x,0.07,MUR 497.25,0%
13,ENLG,ENL,Mauritius,Consumer Cyclicals,Specialty Retailers,MUR 7.39B,3.8x,0.1,MUR 20.10,0%
14,CIM,Cim Financial,Mauritius,Financials,Banking Services,MUR 7.21B,7x,0.22,MUR 10.60,0%
15,NRL,Lux Island Resorts Ltd,Mauritius,Consumer Cyclicals,Hotels & Entertainment Services,MUR 7.16B,6x,0.18,MUR 52.25,0%
16,SUN,Sun Resorts,Mauritius,Consumer Cyclicals,Hotels & Entertainment Services,MUR 7.11B,4x,0.1,MUR 40.75,0%
17,NMHL,New Mauritius Hotels,Mauritius,Consumer Cyclicals,Hotels & Entertainment Services,MUR 6.64B,2.9x,0.21,MUR 12.10,0%
18,NMHLp,New Mauritius Hotels,Mauritius,Consumer Cyclicals,Hotels & Entertainment Services,MUR 6.64B,2.9x,,MUR 10.80,0%
19,MSE,Medine,Mauritius,Real Estate,Real Estate Operations,MUR 6.04B,5.1x,0.05,MUR 57.50,0%
20,MASC,C Care,Mauritius,Healthcare,Healthcare Providers & Services,MUR 5.64B,18.9x,,MUR 9.90,0%
21,TERA,Terra Mauricia,Mauritius,Consumer Non-Cyclicals,Food & Tobacco,MUR 4.49B,6.5x,-2.11,MUR 19.75,0%
22,KLOS,Kolos Cement,Mauritius,Basic Materials,Construction Materials,MUR 4.32B,13.6x,0.09,MUR 160,0%
23,GCL,Gamma Civic,Mauritius,Industrials,Construction & Engineering,MUR 4.13B,8.1x,0.42,MUR 31,0%
24,PAD,Promotion and Development,Mauritius,Real Estate,Real Estate Operations,MUR 3.78B,6.2x,0.26,MUR 97,0%
25,ALTG,Alteo,Mauritius,Consumer Non-Cyclicals,Food & Tobacco,MUR 3.42B,0.6x,0,MUR 10.75,0%
26,ANGM,Swan Life,Mauritius,Financials,Insurance,MUR 3.42B,5.7x,-10.65,"MUR 1,300",0%
27,SWAN,Swan Insurance Co.,Mauritius,Financials,Insurance,MUR 3.38B,4.5x,0.47,MUR 409,0%
28,MUAL,Mauritius Union Assurance CY,Mauritius,Financials,Insurance,MUR 3.05B,14.1x,-0.45,MUR 55,0%
29,UBP,United Basalt Products,Mauritius,Basic Materials,Construction Materials,MUR 2.21B,14.1x,0.07,MUR 83.25,0%
30,CHSL,Constance Hotel,Mauritius,Consumer Cyclicals,Hotels & Entertainment Services,MUR 2.19B,9.1x,-0.27,MUR 20,0%
31,BMHL,BMH,Mauritius,Consumer Cyclicals,Hotels & Entertainment Services,MUR 2.04B,5.8x,0.05,MUR 26,0%
32,COVI,Compagnie Des Villages De Vacances De L’isle De Fr,Mauritius,Real Estate,Real Estate Operations,MUR 2B,9.1x,-0.18,MUR 29.50,0%
33,EUDC,Excelsior United Development Companies,Mauritius,Consumer Non-Cyclicals,Beverages,MUR 1.94B,10.4x,1.67,MUR 16,0%
34,SARE,Sanlam Africa,Mauritius,Financials,Investment Banking & Investment Services,MUR 1.93B,,,MUR 47.18,-23.1%
35,PHIN,Phoenix Invest,Mauritius,Consumer Non-Cyclicals,Beverages,MUR 1.89B,5.5x,0.05,MUR 332,0%
36,LOTO,Lottotech,Mauritius,Consumer Cyclicals,Hotels & Entertainment Services,MUR 1.78B,14.6x,-0.46,MUR 5.24,0%
37,LFLp,Livestock Feed Pref Ltd,Mauritius,Consumer Non-Cyclicals,Food & Tobacco,MUR 1.67B,6.7x,-0.99,MUR 27.40,0%
38,LFL,Livestock Feed,Mauritius,Consumer Non-Cyclicals,Food & Tobacco,MUR 1.67B,6.7x,-0.99,MUR 17.25,0%
