1,CHLN,China Mobile DRC,Mexico,Technology,Telecommunications Services,MXN $ 3.78T,10.5x,15.46,MXN $ 545,0%
2,WALMEX,Wal Mart de Mexico,Mexico,Consumer Cyclicals,Diversified Retail,MXN $ 1.10T,20.3x,2.41,MXN $ 63.15,0.6%
3,AMXB,America Movil M,Mexico,Technology,Telecommunications Services,MXN $ 991.22B,30.5x,0.39,MXN $ 16.06,-0.6%
4,GMEXICOB,Grupo Mexico,Mexico,Basic Materials,Metals & Mining,MXN $ 847.55B,13x,,MXN $ 108.51,3.5%
5,FEMSAUBD,Fomento Economico UBD,Mexico,Consumer Non-Cyclicals,Food & Drug Retailing,MXN $ 743.92B,20.2x,-0.34,MXN $ 210.56,-0.9%
6,FEMSAUB,Fomento Economico UB,Mexico,Consumer Non-Cyclicals,Food & Drug Retailing,MXN $ 534.89B,28.1x,,MXN $ 152,0%
7,GFNORTEO,Grupo Financiero Banorte,Mexico,Financials,Banking Services,MXN $ 411.96B,7.4x,0.5,MXN $ 143.59,1.5%
8,AC,Arca Continental,Mexico,Consumer Non-Cyclicals,Beverages,MXN $ 320.17B,17.5x,1.69,MXN $ 188.76,0.3%
9,BIMBOA,Bimbo,Mexico,Consumer Non-Cyclicals,Food & Tobacco,MXN $ 302.90B,23.3x,-0.33,MXN $ 69.53,-1%
10,GFINBURO,Grupo Financiero Inbursa,Mexico,Financials,Banking Services,MXN $ 287.87B,9.5x,0.33,MXN $ 47.33,2.8%
11,GCARSOA1,Grupo Carso,Mexico,Consumer Non-Cyclicals,Consumer Goods Conglomerates,MXN $ 273.17B,19.6x,-0.64,MXN $ 120.13,2.7%
12,ELEKTRA,Grupo Elektra,Mexico,Financials,Banking Services,MXN $ 208.17B,125x,-1.98,MXN $ 944.95,0%
13,CEMEXCPO,Cemex,Mexico,Basic Materials,Construction Materials,MXN $ 183.89B,56.5x,-0.6,MXN $ 12.75,5.6%
14,LIVEPOLC1,El Puerto De Liverpool C1,Mexico,Consumer Cyclicals,Diversified Retail,MXN $ 180.54B,8.3x,0.34,MXN $ 134.37,-0.1%
