1,ASML,ASML Holding,Amsterdam,Technology,Semiconductors & Semiconductor Equipment,€326.51B,48.5x,-5.1,€832,4.1%
2,SHEL,Shell,Amsterdam,Energy,Oil & Gas,€209.26B,12.8x,-0.38,€33.06,1.2%
3,ULVR,Unilever,Amsterdam,Consumer Non-Cyclicals,Personal & Household Products & Services,€138.92B,21.1x,-1.07,€55.84,1%
4,PRX,Prosus,Amsterdam,Technology,Software & IT Services,€78.73B,18.7x,-0.41,€33.03,1.8%
5,INGA,ING Groep,Amsterdam,Financials,Banking Services,€50.42B,10x,-0.34,€15.73,2.5%
6,HEIN,Heineken,Amsterdam,Consumer Non-Cyclicals,Beverages,€44.65B,42.4x,-0.73,€79.90,0.2%
7,UMG,Universal Music NV,Amsterdam,Consumer Cyclicals,Media & Publishing,€40.51B,25.9x,0.86,€22.20,0.2%
8,ADYEN,Adyen,Amsterdam,Technology,Financial Technology (Fintech) & Infrastructure,€39.31B,56.5x,2.07,"€1,275",12%
9,WLSNc,Wolters Kluwer,Amsterdam,Industrials,Professional & Commercial Services,€36.06B,35.4x,15.26,€151.85,0.4%
10,DSFIR,DSM Firmenich,Amsterdam,Consumer Non-Cyclicals,Consumer Goods Conglomerates,€30.85B,-164.6x,1.62,€114.20,-1.8%
11,ASMI,ASM,Amsterdam,Technology,Semiconductors & Semiconductor Equipment,€29.75B,53.9x,-4.72,€606.20,4.2%
12,AD,Ahold Delhaize,Amsterdam,Consumer Non-Cyclicals,Food & Drug Retailing,€28.03B,15.4x,-0.72,€30.12,1%
13,PHG,Philips,Amsterdam,Healthcare,Healthcare Equipment & Supplies,€24.47B,-57.2x,-0.56,€26.16,0.7%
14,CVC,CVC Capital Partners,Amsterdam,Financials,Investment Banking & Investment Services,€19.14B,46.8x,,€18.61,3.3%
15,HEIO,Heineken,Amsterdam,Consumer Non-Cyclicals,Beverages,€19.12B,35.5x,-0.6,€67.60,-0.4%
16,MT,ArcelorMittal,Amsterdam,Basic Materials,Metals & Mining,€15.79B,-30.4x,0.25,€20.11,2%
17,KPN,Koninklijke KPN,Amsterdam,Technology,Telecommunications Services,€13.91B,17.7x,2.86,€3.57,-0.5%
18,ABNd,ABN AMRO,Amsterdam,Financials,Banking Services,€12.60B,5.1x,0.57,€15.15,2.2%
19,NN,NN Group NV,Amsterdam,Financials,Insurance,€12.24B,11.1x,-0.45,€44.60,-2.2%
20,HLAN,Hal Trust,Amsterdam,Financials,Investment Holding Companies,€10.28B,10.2x,0.2,€113.40,0.9%
21,JDEP,Jde Peets,Amsterdam,Consumer Non-Cyclicals,Food & Tobacco,€10.26B,19x,1.13,€21.08,0.1%
22,BESI,BE Semiconductor,Amsterdam,Technology,Semiconductors & Semiconductor Equipment,€9.62B,56.9x,-7.32,€120,3.4%
23,ASRNL,ASR Nederland,Amsterdam,Financials,Insurance,€9.60B,7.8x,0.06,€45.62,2.6%
24,AEGN,Aegon,Amsterdam,Financials,Insurance,€9.36B,-48x,-0.56,€5.75,1.6%
25,AKZO,Akzo Nobel,Amsterdam,Basic Materials,Chemicals,€9.16B,15.5x,0.16,€53.50,0.7%
26,IMCD,IMCD NV,Amsterdam,Basic Materials,Chemicals,€8B,28.5x,-10.49,€140.40,1.7%
27,PSH,Pershing Square,Amsterdam,Financials,Collective Investments,€7.86B,3.6x,,€42.37,3.2%
28,INPST,Inpost,Amsterdam,Industrials,Freight & Logistics Services,€7.75B,,0.72,€15.63,0.8%
