1,DANGCEM,Dangote Cement,Lagos,Basic Materials,Construction Materials,NGN 8.91T,19.4x,1.01,NGN 591.10,0%
2,BUAFOODS,BUA Foods,Lagos,Consumer Non-Cyclicals,Food & Tobacco,NGN 6.84T,46.3x,,NGN 379.90,0%
3,MTNN,MTN Nigeria,Lagos,Technology,Telecommunications Services,NGN 4.19T,-7.7x,0.02,NGN 199.80,0%
4,BUACEMENT,BUA Cement,Lagos,Basic Materials,Construction Materials,NGN 3.72T,121x,-1.78,NGN 109.80,0%
5,TRANSPOWER,Transcorp Power,Lagos,Utilities,Electrical Utilities & IPPs,NGN 2.79T,27x,,NGN 372.40,0%
6,GEREGU,Geregu Power,Lagos,Utilities,Electrical Utilities & IPPs,NGN 2.50T,89.3x,0.45,"NGN 1,000",0%
7,ZENITHB,Zenith Bank,Lagos,Financials,Banking Services,NGN 1.17T,1.3x,0.01,NGN 37.85,2.3%
8,GTCO,Guaranty Trust Holding,Lagos,Financials,Banking Services,NGN 969.39B,1.4x,0,NGN 45.55,0.1%
9,TRANSCOHOT,Transcorp Hotels,Lagos,Consumer Cyclicals,Hotels & Entertainment Services,NGN 893.66B,86.4x,0.49,NGN 96.90,0%
10,UBA,UBA,Lagos,Financials,Banking Services,NGN 762.65B,1.1x,0,NGN 22.50,2.5%
11,FBNH,FBN Holdings,Lagos,Financials,Banking Services,NGN 750.21B,1.5x,0.02,NGN 21.10,-2.3%
12,IBTC,STANBIC IBTC Bank,Lagos,Financials,Banking Services,NGN 691.90B,4.5x,0.07,NGN 53.40,0%
13,ACCESSCORP,Access Holdings,Lagos,Financials,Banking Services,NGN 666.24B,1x,0,NGN 19.10,-1.3%
14,NESTLE,Nestle Nigeria,Lagos,Consumer Non-Cyclicals,Food & Tobacco,NGN 647.20B,-3.1x,0.01,NGN 805,0%
15,WAPCO,Lafarge Africa,Lagos,Basic Materials,Construction Materials,NGN 600.02B,13.4x,-1.01,NGN 37,0%
16,ETI,ETI,Lagos,Financials,Banking Services,NGN 511.53B,1.1x,-0.12,NGN 20.50,-4.7%
17,DANGSUG,Dangote Sugar,Lagos,Consumer Non-Cyclicals,Food & Tobacco,NGN 507.74B,-2.7x,0,NGN 42.50,-3.5%
18,PRESCO,Presco,Lagos,Consumer Non-Cyclicals,Food & Tobacco,NGN 470B,8.2x,0.03,NGN 477,0%
19,TRANSCO,Transcorp,Lagos,Utilities,Electrical Utilities & IPPs,NGN 445.10B,11.6x,0.06,NGN 10.90,-0.5%
20,OANDO,Oando Plc,Lagos,Energy,Oil & Gas,NGN 405.26B,5.1x,0.03,NGN 32.60,-9.9%
21,OKOMUOI,Okomu Oil Palm,Lagos,Consumer Non-Cyclicals,Food & Tobacco,NGN 360.48B,14.5x,0.23,NGN 345.30,0%
22,FIDELIT,Fidelitybk,Lagos,Financials,Banking Services,NGN 352B,2.8x,0.03,NGN 10.05,0%
23,NB,Nigerian Breweries,Lagos,Consumer Non-Cyclicals,Beverages,NGN 298.01B,-1.9x,0.02,NGN 29,-2%
24,UCAP,United Capital,Lagos,Financials,Investment Banking & Investment Services,NGN 282.60B,19.4x,0.43,NGN 15.80,2.6%
25,NOTORE,Notore Chemical Industries,Lagos,Basic Materials,Chemicals,NGN 251.89B,-0.5x,0,NGN 62.50,0%
26,JBERGER,Julius Berger,Lagos,Industrials,Construction & Engineering,NGN 197.60B,11.6x,0.1,NGN 130,0%
27,TOTAL,Total Nig,Lagos,Energy,Oil & Gas,NGN 175.67B,7.1x,0.12,NGN 511.90,8.8%
28,FLOURMI,Flour Mills of Nigeria,Lagos,Consumer Non-Cyclicals,Food & Tobacco,NGN 170.58B,9.3x,0.32,NGN 44.80,0%
29,FCMB,Fcmb,Lagos,Financials,Banking Services,NGN 150.50B,1.3x,0.01,NGN 7.60,0%
30,GUINNES,Guinness Nigeria,Lagos,Consumer Non-Cyclicals,Beverages,NGN 132.74B,-2.4x,0.01,NGN 63.50,0%
31,WEMABAN,Wema Bank,Lagos,Financials,Banking Services,NGN 127.51B,2x,0.02,NGN 6.15,-0.8%
32,INTBREW,International Breweries,Lagos,Consumer Non-Cyclicals,Beverages,NGN 122.22B,-0.9x,0,NGN 4.55,-1.1%
33,STERLINGNG,Sterling Bank,Lagos,Financials,Banking Services,NGN 112.57B,4.2x,0.18,NGN 4,0%
