1,EQNR,Equinor,Oslo,Energy,Oil & Gas,NOK 820.88B,8.4x,-0.14,NOK 297.15,0.4%
2,DNB,DnB,Oslo,Financials,Banking Services,NOK 320.34B,8.6x,1,NOK 220.60,-0.1%
3,KOG,Kongsberg,Oslo,Industrials,Aerospace & Defense,NOK 191.47B,42.6x,1.22,"NOK 1,090",-1%
4,TEL,Telenor,Oslo,Technology,Telecommunications Services,NOK 174B,19.9x,-0.22,NOK 127,-1.2%
5,AKRBP,Aker BP,Oslo,Energy,Oil & Gas,NOK 163.29B,8.3x,0.3,NOK 260.80,0.8%
6,NHY,Norsk Hydro,Oslo,Basic Materials,Metals & Mining,NOK 115.19B,608x,-6.02,NOK 57.40,0%
7,MOWI,Mowi,Oslo,Consumer Non-Cyclicals,Food & Tobacco,NOK 98.98B,25.3x,-0.4,NOK 191.20,0.3%
8,GJFG,Gjensidige Forsikring,Oslo,Financials,Insurance,NOK 92.59B,22.8x,-3.89,NOK 183.50,-0.2%
9,ORK,Orkla,Oslo,Consumer Non-Cyclicals,Food & Tobacco,NOK 90.41B,15x,1.05,NOK 91.30,0.8%
10,VAR,Var Energi,Oslo,Energy,Oil & Gas,NOK 88.22B,13x,-0.82,NOK 35.33,-0%
11,SALM,SalMar,Oslo,Consumer Non-Cyclicals,Food & Tobacco,NOK 84.33B,36.8x,-1.03,NOK 638,-0.5%
12,YAR,Yara International,Oslo,Basic Materials,Chemicals,NOK 77.36B,27.5x,-0.37,NOK 302.30,0.8%
13,SCHA,Schibsted A,Oslo,Consumer Cyclicals,Media & Publishing,NOK 71.14B,3x,0,NOK 304.60,-0.1%
14,SCHB,Schibsted ASA B,Oslo,Consumer Cyclicals,Media & Publishing,NOK 67.22B,3.1x,0,NOK 288.20,0.4%
15,FRO,Frontline,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 59.06B,8.6x,-2.66,NOK 261.70,2.2%
16,SUBC,Subsea 7,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 58.18B,53x,0.18,NOK 195.60,1.1%
17,STB,Storebrand,Oslo,Financials,Investment Banking & Investment Services,NOK 47.34B,10.7x,0.14,NOK 108,0.2%
18,TOM,Tomra Systems,Oslo,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",NOK 46.79B,951.2x,-1.75,NOK 157.40,-0.7%
19,WAWI,Wallenius Wilhelmsen,Oslo,Industrials,Freight & Logistics Services,NOK 46.54B,5x,0.15,NOK 110.80,2.2%
20,AKER,Aker,Oslo,Energy,Oil & Gas,NOK 45.10B,6.1x,0.02,NOK 610,0.5%
21,AUTO,AutoStore Holdings,Oslo,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",NOK 44.33B,,,NOK 11.42,-13.5%
22,HAFNI,Hafnia,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 42.07B,5.2x,-0.22,NOK 82.30,0.2%
23,SRBNK,Sparebank 1 SR Bank ASA,Oslo,Financials,Banking Services,NOK 35.71B,7.7x,0.31,NOK 135,0.3%
24,BAKKA,P/f Bakkafrost,Oslo,Consumer Non-Cyclicals,Food & Tobacco,NOK 34.40B,24.5x,-0.67,NOK 578.50,-1.3%
25,SDRL,Seadrill Ltd,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 32.12B,6.9x,2.9,NOK 478,0%
26,LSG,Leroy Seafood,Oslo,Consumer Non-Cyclicals,Food & Tobacco,NOK 29.30B,-130x,1.17,NOK 49.30,0.6%
27,NOD,Nordic Semiconductor,Oslo,Technology,Semiconductors & Semiconductor Equipment,NOK 27.12B,-48.6x,0.27,NOK 141.50,2.5%
28,TGS,TGS NOPEC,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 24.51B,57x,-1.53,NOK 124.20,0.1%
29,HAUTO,Hoegh Autoliners,Oslo,Industrials,Freight & Logistics Services,NOK 24.40B,3.7x,0.06,NOK 130.90,2.3%
30,CADLR,Cadeler,Oslo,Industrials,Construction & Engineering,NOK 24.10B,-122.9x,1.44,NOK 69,0.4%
31,OLT,Olav Thon Eien,Oslo,Real Estate,Real Estate Operations,NOK 23.54B,-22x,0.08,NOK 228,-0.9%
32,ENTRA,Entra ASA,Oslo,Real Estate,Real Estate Operations,NOK 23.53B,-4.9x,0.49,NOK 129.20,-2%
33,AKSOA,Aker Solutions OL,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 22.98B,1.9x,0.02,NOK 47.94,-0%
34,MING,Sparebank 1 SMN,Oslo,Financials,Banking Services,NOK 22.74B,8.7x,0.24,NOK 158.06,0.7%
35,SNI,Stolt-Nielsen,Oslo,Industrials,Freight & Logistics Services,NOK 22.56B,5.3x,0.13,NOK 421,0%
36,BWLPG,BW LPG,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 22.08B,4.3x,0.06,NOK 167.50,-2.8%
37,BRGB,Borregaard,Oslo,Basic Materials,Chemicals,NOK 18.91B,23.6x,-1.63,NOK 190.20,1%
38,AUSS,Austevoll,Oslo,Consumer Non-Cyclicals,Food & Tobacco,NOK 18.34B,764.7x,-7.59,NOK 90.50,-0.1%
39,BORR,Borr Drilling,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 18.29B,22.5x,0.31,NOK 70.60,0.9%
40,PROT,Protector Forsikring,Oslo,Financials,Insurance,NOK 18.01B,13.1x,-0.5,NOK 218,-0.5%
41,DOFG,Dof ASA,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 17.55B,4.2x,0,NOK 98.55,-0.8%
42,WWI,Wilh Wilhelmsen Holding A,Oslo,Industrials,Freight & Logistics Services,NOK 17.54B,3.3x,0.1,NOK 396.50,-0.7%
43,SPOLS,Sparebank 1,Oslo,Financials,Banking Services,NOK 17.31B,10x,,NOK 149,1.8%
44,WWIB,Wilh Wilhelmsen Holding B,Oslo,Industrials,Freight & Logistics Services,NOK 17.24B,3.4x,0.1,NOK 391,0.5%
45,VEI,Veidekke,Oslo,Industrials,Construction & Engineering,NOK 16.69B,13.2x,0.68,NOK 123,4.1%
46,ATEA,Atea,Oslo,Technology,Software & IT Services,NOK 15.77B,20.7x,-1.64,NOK 141.80,-0.8%
47,FLNG,FLEX LNG,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 15.43B,12.1x,-1.19,NOK 283.20,1.6%
48,SVEG,Sparebanken Vest,Oslo,Financials,Banking Services,NOK 15.09B,7.4x,0.3,NOK 137.60,0%
49,AFGA,Af Gruppen,Oslo,Industrials,Construction & Engineering,NOK 14.56B,27x,-0.75,NOK 134.80,3.7%
50,SCATC,Scatec Solar OL,Oslo,Utilities,Electrical Utilities & IPPs,NOK 14B,20.6x,0.07,NOK 88,0.1%
51,BNOR,Bluenord,Oslo,Energy,Oil & Gas,NOK 13.64B,43.3x,-0.47,NOK 516,-0.2%
52,ELK,Elkem,Oslo,Basic Materials,Chemicals,NOK 13.19B,-26.3x,0.23,NOK 20.74,1.2%
53,ODF,Odfjell,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 12.88B,4.9x,0.19,NOK 161.40,0.7%
54,ODLO,Odfjell Drilling,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 12.81B,5.1x,0.02,NOK 53.30,-0.7%
55,ODFB,Odfjell B,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 11.93B,5.3x,0.19,NOK 151.50,2%
56,AGAS,Avance Gas Holding Ltd,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 11.76B,4x,0.03,NOK 154.40,-10.6%
57,BONHR,Bonheur,Oslo,Energy,Renewable Energy,NOK 11.48B,11x,-1.49,NOK 269.50,-0.5%
58,DNO,Dno,Oslo,Energy,Oil & Gas,NOK 11.43B,-20.6x,0.16,NOK 11.74,8.8%
59,EPR,Europris ASA,Oslo,Consumer Cyclicals,Diversified Retail,NOK 10.96B,12.1x,-2.52,NOK 67.20,0.1%
60,ELO,Elopak ASA,Oslo,Basic Materials,Containers & Packaging,NOK 10.88B,11.4x,0.18,NOK 40,-1.1%
61,NONG,Sparebank 1 Nord-Norge,Oslo,Financials,Banking Services,NOK 10.84B,8.8x,,NOK 107.48,0.4%
62,OET,Okeanis Eco Tankers,Oslo,Energy,Oil & Gas Related Equipment and Services,NOK 10.67B,8.2x,-0.27,NOK 332,3.3%
63,CRAYN,Crayon,Oslo,Technology,Software & IT Services,NOK 10.67B,-894.8x,-9.37,NOK 120.60,1%
