1,BKMB,Bank Muscat,Oman,Financials,Banking Services,OMR 1.90B,9.7x,3.24,OMR 0.25,0.8%
2,OTEL,Oman Telecom,Oman,Technology,Telecommunications Services,OMR 747M,12x,-0.33,OMR 1,-0.4%
3,BKSB,Bank Sohar,Oman,Financials,Banking Services,OMR 741.77M,8.3x,-2.15,OMR 0.13,1.5%
4,OQGN,OQ Gas Networks,Oman,Energy,Oil & Gas Related Equipment and Services,OMR 610.62M,12.2x,,OMR 0.14,0%
5,BKDB,Bank Dhofar,Oman,Financials,Banking Services,OMR 479.42M,14.6x,0.67,OMR 0.16,0%
6,NBOB,National Bank Of Oman,Oman,Financials,Banking Services,OMR 447.14M,9.5x,1.58,OMR 0.28,1.9%
7,ABOB,Ahli Bank,Oman,Financials,Banking Services,OMR 364.20M,14.1x,-0.86,OMR 0.16,3.3%
8,OCAI,Oman Cables Industry,Oman,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",OMR 260.13M,12.7x,0.42,OMR 2.90,-3%
9,OAB,Oman Arab Bank,Oman,Financials,Banking Services,OMR 247.07M,25.1x,0.55,OMR 0.15,1.4%
10,BKNZ,Bank Nizwa,Oman,Financials,Banking Services,OMR 230.41M,12.9x,0.9,OMR 0.10,0%
11,ABRJ,Abraj Energy Services,Oman,Energy,Oil & Gas Related Equipment and Services,OMR 228.75M,10.9x,0.16,OMR 0.30,0.7%
12,OMVS,Oman Develop Invest,Oman,Financials,Insurance,OMR 223.90M,7.6x,-0.19,OMR 0.34,0%
13,ORDS,Omani Qatari Telecommunications,Oman,Technology,Telecommunications Services,OMR 188.12M,19.3x,-0.53,OMR 0.29,2.1%
14,LIVA,Liva SAOG,Oman,,,OMR 133.46M,-14.6x,0.03,OMR 0.34,-4.3%
15,OCOI,Oman Cement,Oman,Basic Materials,Construction Materials,OMR 132.35M,16.7x,0.57,OMR 0.40,0%
16,SSPW,Sembcorp Salalah,Oman,Utilities,Electrical Utilities & IPPs,OMR 99.28M,4.7x,0.67,OMR 0.10,1%
17,DIDI,Dhofar Int Dev&Inv,Oman,Financials,Investment Holding Companies,OMR 92.90M,9.9x,-1.12,OMR 0.23,-1.7%
18,PHPC,Phoenix Power Co SAOG,Oman,Utilities,Electrical Utilities & IPPs,OMR 86.29M,3.9x,0.51,OMR 0.06,0%
19,SOMS,Shell Oman Marketing,Oman,Energy,Oil & Gas,OMR 81.60M,25.5x,-1.37,OMR 0.82,0%
20,RNSS,Renaissance Svcs,Oman,Industrials,Professional & Commercial Services,OMR 81.16M,6.7x,0.49,OMR 0.38,0%
21,NFCI,National Finance,Oman,Financials,Banking Services,OMR 80.32M,7.4x,0.41,OMR 0.14,-6.7%
22,OFMI,Oman Flour Mills,Oman,Consumer Non-Cyclicals,Food & Tobacco,OMR 75.60M,16.5x,0.1,OMR 0.48,-7.5%
23,MHAS,Almaha Petroleum Products,Oman,Energy,Oil & Gas,OMR 70.38M,11x,-3.01,OMR 1.02,-3.8%
24,SMNP,SMN Power Holding,Oman,Utilities,Multiline Utilities,OMR 62.89M,-2.2x,0.01,OMR 0.31,-1.6%
25,ORCI,Oman Refreshment,Oman,Consumer Non-Cyclicals,Beverages,OMR 55M,8.7x,,OMR 1.10,0%
26,SUWP,Al Suwadi Power,Oman,Utilities,Electrical Utilities & IPPs,OMR 54.29M,3.6x,0.27,OMR 0.08,0%
27,OOMS,Oman Oil Marketing,Oman,Energy,Oil & Gas,OMR 51.86M,14.6x,-0.41,OMR 0.80,0%
28,AOFS,Al Omaniya Financial,Oman,Financials,Banking Services,OMR 51.10M,14.7x,1.37,OMR 0.16,-3%
29,SPSI,Salalah Port Svcs,Oman,Industrials,Transport Infrastructure,OMR 50.35M,25.5x,-0.48,OMR 0.28,0%
30,BATP,Al Batinah Power,Oman,Utilities,Electrical Utilities & IPPs,OMR 49.94M,3.7x,0.53,OMR 0.07,0%
31,SPFI,A Saffa Foods,Oman,Consumer Non-Cyclicals,Food & Tobacco,OMR 48.96M,11.3x,0.12,OMR 0.41,2%
32,GECS,Galfar Engineering&Con,Oman,Industrials,Construction & Engineering,OMR 40.98M,,,OMR 0.14,0%
33,BWPC,Acwa Power Barka,Oman,Utilities,Multiline Utilities,OMR 40.80M,-63.8x,-2.07,OMR 0.25,6.3%
34,AACT,Al Anwar Ceramic Tiles,Oman,Consumer Cyclicals,Homebuilding & Construction Supplies,OMR 39.38M,35.8x,-0.61,OMR 0.18,2.3%
35,OETI,Oman Education Training,Oman,Academic & Educational Services,Miscellaneous Educational Service Providers,OMR 38.08M,5.2x,0.04,OMR 0.54,0%
