1,OGDC,Oil and Gas Development Co,Karachi,Energy,Oil & Gas,PKR 567.85B,2.4x,0.08,PKR 132,-0.2%
2,MGAS,Mari Petroleum Company,Karachi,Energy,Oil & Gas,PKR 456.24B,5.9x,0.13,"PKR 3,419.01",0.3%
3,AMZN,Meezan Bank,Karachi,Financials,Banking Services,PKR 439.75B,4.2x,0.06,PKR 245.85,1.8%
4,MLKP,Nestle Pakistan,Karachi,Consumer Non-Cyclicals,Food & Tobacco,PKR 306.20B,19.7x,-1.35,"PKR 6,752",-0.7%
5,UBL,United Bank,Karachi,Financials,Banking Services,PKR 305.62B,5.2x,0.19,PKR 249.30,-0%
6,PPL,Pakistan Petroleum,Karachi,Energy,Oil & Gas,PKR 304.75B,2.7x,0.08,PKR 112.39,-0%
7,COLG,Colgate-Palmolive Pakistan,Karachi,Consumer Non-Cyclicals,Personal & Household Products & Services,PKR 273.12B,15.8x,0.24,"PKR 1,128",0.7%
8,MCB,MCB Bank,Karachi,Financials,Banking Services,PKR 259.23B,3.7x,-0.47,PKR 219,-1.5%
9,LUKC,Lucky Cement,Karachi,Basic Materials,Construction Materials,PKR 249.64B,4.1x,0.11,PKR 851.20,0.4%
10,PAKT,Pakistan Tobacco Company,Karachi,Consumer Non-Cyclicals,Food & Tobacco,PKR 241.95B,8.8x,0.51,PKR 947,0.4%
11,SCBP,Standard Chartered Bank Pakistan,Karachi,Financials,Banking Services,PKR 225.52B,5.1x,0.05,PKR 60,1.3%
12,ENGR,Engro Fertilizers,Karachi,Basic Materials,Chemicals,PKR 217.65B,10.2x,0.29,PKR 163,-0.5%
13,FAUF,Fauji Fertilizer Company,Karachi,Basic Materials,Chemicals,PKR 216.15B,3.4x,0.05,PKR 169.61,-0%
14,HBL,Habib Bank,Karachi,Financials,Banking Services,PKR 201.69B,3.4x,0.06,PKR 137.80,-0.1%
15,HPWR,Hub Power Company,Karachi,Utilities,Electrical Utilities & IPPs,PKR 191.98B,2.6x,0.03,PKR 147.70,0.7%
16,EGCH,Engro Corporation,Karachi,Basic Materials,Chemicals,PKR 177.90B,8.1x,0.58,PKR 332,-0.3%
17,PKOL,Pakistan Oilfields,Karachi,Energy,Oil & Gas,PKR 169.63B,4.6x,-0.8,PKR 598,0.4%
18,BEST,Bestway Cement,Karachi,Basic Materials,Construction Materials,PKR 142.62B,10.4x,0.66,PKR 239,0.4%
19,INDM,Indus Motor Company,Karachi,Consumer Cyclicals,Automobiles & Auto Parts,PKR 134.02B,10.1x,0.09,"PKR 1,705.11",-0.3%
20,ABL,Allied Bank,Karachi,Financials,Banking Services,PKR 129.62B,2.9x,0.03,PKR 113.20,0.6%
21,SYSE,Systems Ltd,Karachi,Technology,Software & IT Services,PKR 125.02B,19.5x,-0.6,PKR 428,-0.1%
22,KELE,K-Electric,Karachi,Utilities,Electrical Utilities & IPPs,PKR 114.88B,-4.3x,,PKR 4.16,3%
23,MILM,Millat Tractors,Karachi,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",PKR 111.05B,12.4x,0.06,PKR 579,-1.4%
24,BKEQ,Bank Al-Habib,Karachi,Financials,Banking Services,PKR 109.75B,3.1x,0.05,PKR 99.43,0.4%
25,FATF,Fatima Fertilizer Company,Karachi,Basic Materials,Chemicals,PKR 109.16B,4x,0.04,PKR 51.51,-0.9%
26,IBFL,Ibrahim Fibres,Karachi,Consumer Cyclicals,Textiles & Apparel,PKR 108.68B,-89.1x,0.67,PKR 350,0%
27,UPFL,Unilever Pakistan Foods,Karachi,Consumer Non-Cyclicals,Food & Tobacco,PKR 106.39B,10x,0.16,"PKR 16,701.10",-5.1%
28,ISML,Ismail Industries,Karachi,Consumer Non-Cyclicals,Food & Tobacco,PKR 102.15B,14.6x,0.29,"PKR 1,539.47",0%
29,INTR,Interloop,Karachi,Consumer Cyclicals,Textiles & Apparel,PKR 99.20B,4.9x,2.15,PKR 71.07,0.4%
30,PIAHb,PIA Holding b,Karachi,Industrials,Passenger Transportation Services,PKR 97.90B,-0.8x,,PKR 883.73,-8.8%
