1,PALTEL,Palestine Telecom,Ramallah,Technology,Telecommunications Services,JOD 573.89M,14.8x,-0.4,JOD 4.40,2.3%
2,BOP,Bank Of Palestine,Ramallah,Financials,Banking Services,JOD 242.05M,134.6x,-1.46,JOD 1.07,0%
3,APIC,Arab Palestinian Invest Comp,Ramallah,Consumer Non-Cyclicals,Food & Tobacco,JOD 195.86M,19x,-0.57,JOD 1.59,-0.9%
4,OOREDOO,Wataniya Palestine Mobile,Ramallah,Technology,Telecommunications Services,JOD 157.88M,16.2x,-1.3,JOD 0.54,0%
5,PADICO,Palestine Development&Inv,Ramallah,Financials,Investment Banking & Investment Services,JOD 136.88M,-13.1x,0.07,JOD 0.72,0%
6,ARKAAN,Arkaan RE,Ramallah,Real Estate,Real Estate Operations,JOD 129.57M,-25.5x,,JOD 0.98,-0.7%
7,PEC,Palestine Electric,Ramallah,Utilities,Electrical Utilities & IPPs,JOD 120.90M,10.3x,,JOD 2.01,0%
8,BPC,Birzeit Pharma,Ramallah,Healthcare,Pharmaceuticals,JOD 105.71M,52x,-0.91,JOD 2.73,0%
9,TNB,National Bank PL,Ramallah,Financials,Banking Services,JOD 96.23M,10.9x,-0.35,JOD 0.85,0%
10,QUDS,Al Quds Bank,Ramallah,Financials,Banking Services,JOD 89.87M,18.5x,-0.28,JOD 0.82,0%
11,AIB,Arab Islamic Bank,Ramallah,Financials,Banking Services,JOD 88.90M,32.6x,-0.4,JOD 0.88,0%
12,SANAD,Sanad Construction,Ramallah,Basic Materials,Construction Materials,JOD 85.78M,-15.9x,0,JOD 1.56,0%
13,ISBK,Palestine Islamic Bank,Ramallah,Financials,Banking Services,JOD 82.95M,48.8x,-0.53,JOD 0.84,1.7%
14,PIBC,Palestine Investment Bank PLC,Ramallah,Financials,Banking Services,JOD 58.42M,19.8x,-0.86,JOD 0.73,-1%
15,VOIC,Vegetable Oil In,Ramallah,Consumer Non-Cyclicals,Food & Tobacco,JOD 56.96M,7.4x,-0.78,JOD 7.12,0%
16,JPH,Jerusalem Pharma,Ramallah,Healthcare,Pharmaceuticals,JOD 46.33M,11.4x,-0.53,JOD 2.57,0%
17,AZIZA,Palestine Poultry Co Ltd,Ramallah,Consumer Non-Cyclicals,Food & Tobacco,JOD 41.40M,12.4x,0.33,JOD 3.08,0%
18,NIC,National Insur,Ramallah,Financials,Insurance,JOD 38.15M,46.9x,-0.71,JOD 2.06,0%
19,TRUST,Trust International Insurance Public Shareholding,Ramallah,Financials,Insurance,JOD 35.08M,15.5x,0.29,JOD 2.13,0%
20,PIIC,Palestine Industrial Inv,Ramallah,Consumer Non-Cyclicals,Food & Tobacco,JOD 34.88M,9.4x,-0.46,JOD 1.86,0%
21,SAFABANK,Safa Bank,Ramallah,Financials,Banking Services,JOD 24.74M,98.4x,,JOD 0.48,0%
22,TIC,Al Takaful Insurance,Ramallah,Financials,Insurance,JOD 23.39M,16.2x,-0.57,JOD 2.13,0%
23,PICO,Palestine Insurance,Ramallah,Financials,Insurance,JOD 21.63M,-96.9x,0.82,JOD 2.40,0%
24,PHARMACARE,Pharmacare PLC,Ramallah,Healthcare,Pharmaceuticals,JOD 21.39M,6.2x,,JOD 2.38,0%
25,PSE,Palestine Securities Exchange,Ramallah,Financials,Investment Banking & Investment Services,JOD 21.28M,48.9x,-1.23,JOD 2.13,0%
26,BJP,Beit Jala Pharmaceutical Manufacturing,Ramallah,Healthcare,Pharmaceuticals,JOD 19.60M,10.5x,-1.59,JOD 2.80,0%
27,PRICO,Palestine RE Investment,Ramallah,Real Estate,Real Estate Operations,JOD 19.13M,-1.7x,0,JOD 0.30,0%
28,TPIC,Tamkeen Palestinian Insurance,Ramallah,Financials,Insurance,JOD 18.56M,25.9x,-0.48,JOD 1.42,0%
29,RSR,The Ramallah Summer Resort PLC,Ramallah,Consumer Cyclicals,Hotels & Entertainment Services,JOD 18.49M,58.1x,-2.01,JOD 4.30,0%
30,MIC,Al Mashriq Insurance,Ramallah,Financials,Insurance,JOD 18.18M,29.4x,-0.45,JOD 2.02,0%
31,GUI,Global United Insurance Co,Ramallah,Financials,Insurance,JOD 18.03M,14.8x,0.15,JOD 1.50,0%
32,ABRAJ,Al Wataniah,Ramallah,Real Estate,Real Estate Operations,JOD 16.22M,22.6x,-0.43,JOD 1.47,0%
33,JCC,Jerusalem Cigarette,Ramallah,Consumer Non-Cyclicals,Food & Tobacco,JOD 15.80M,24x,-0.31,JOD 1.80,0%
34,AHC,The Arab Hotels Co,Ramallah,Consumer Cyclicals,Hotels & Entertainment Services,JOD 12.56M,-6.6x,0.14,JOD 0.80,0%
35,GMC,Golden Wheat,Ramallah,Consumer Non-Cyclicals,Food & Tobacco,JOD 12M,-53.3x,0.46,JOD 0.80,0%
36,NSC,Nablus Surgical,Ramallah,Healthcare,Healthcare Providers & Services,JOD 11.53M,135.6x,-1.45,JOD 3.39,0%
37,NAPCO,National Aluminum Profiles,Ramallah,Basic Materials,Metals & Mining,JOD 10.89M,-5.7x,0.15,JOD 0.99,0%
38,APC,Arab Company For Paints,Ramallah,Basic Materials,Chemicals,JOD 10.88M,71.1x,-1.17,JOD 7.25,0%
39,WASSEL,Palestinian Distribution,Ramallah,Industrials,Freight & Logistics Services,JOD 9.86M,59.4x,-0.77,JOD 0.76,0%
40,UCI,Union Con & Inv,Ramallah,Consumer Cyclicals,Homebuilding & Construction Supplies,JOD 9.53M,19.1x,-0.25,JOD 0.30,-2.3%
41,PID,Palestine Investment Develop,Ramallah,Real Estate,Real Estate Operations,JOD 9.29M,-36.9x,0.19,JOD 1.92,0%
42,ARAB,Arab Investors,Ramallah,Financials,Investment Banking & Investment Services,JOD 8.20M,11.6x,0.04,JOD 0.82,0%
43,AIG,Ahliea Insurance,Ramallah,Financials,Insurance,JOD 7.65M,10.5x,0.04,JOD 0.14,0%
44,AMLAK,Amlak RE Investment and,Ramallah,,,JOD 7.09M,,,JOD 3.54,0%
45,AQARIYA,Al Aqariya Trading Investment,Ramallah,Real Estate,Real Estate Operations,JOD 6.56M,30.5x,-0.43,JOD 0.82,0%
46,NCI,National Car Ind,Ramallah,Basic Materials,Containers & Packaging,JOD 5.74M,7.5x,0.06,JOD 1.15,0%
47,JREI,Jerusalem RE Invest,Ramallah,Real Estate,Real Estate Operations,JOD 1.99M,-16.5x,0.04,JOD 0.20,0%
48,LADAEN,Pal Plastic Ind,Ramallah,Basic Materials,Containers & Packaging,JOD 1.47M,24.4x,0.79,JOD 2.10,0%
49,ELECTRODE,Al Shark Electrode,Ramallah,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",JOD 1.39M,,,JOD 1.85,0%
