1,CVERDEC1,Cerro Verde,Lima,Basic Materials,Metals & Mining,PEN 50.41B,15.2x,1.47,PEN 143.96,0%
2,CREDITC1,Banco de Credito del Peru,Lima,Financials,Banking Services,PEN 42.16B,9.2x,-0.88,PEN 3.25,-1.5%
3,BACKUAC1,Union de Cervecerias Peruanas Backus y Johnston,Lima,Consumer Non-Cyclicals,Beverages,PEN 28.48B,15.7x,,PEN 200,1%
4,BACKUSI1,Backus Johnsto,Lima,Consumer Non-Cyclicals,Beverages,PEN 28.48B,15.7x,,PEN 21.15,-0.2%
5,BACKUBC1,Union de Cervecerias Peruanas Backus y Johnston,Lima,Consumer Non-Cyclicals,Beverages,PEN 27.62B,7.5x,,PEN 220,0%
6,INVFALC1,Inverfal Peru,Lima,Financials,Investment Banking & Investment Services,PEN 21.13B,114.1x,-0.47,PEN 0.10,-86.3%
7,SHPC1,Shougang Hierro Peru,Lima,Basic Materials,Metals & Mining,PEN 20.07B,7.3x,0.15,PEN 45,0%
8,BUENAVC1,Buenaventura,Lima,Basic Materials,Metals & Mining,PEN 14.86B,42.2x,21.26,PEN 58.50,-2.5%
9,BUENAVI1,Compania de Minas Buenaventura,Lima,Basic Materials,Metals & Mining,PEN 13.79B,38.8x,20.95,PEN 14.46,0%
10,MINSURI1,Minsur,Lima,Basic Materials,Metals & Mining,PEN 12.97B,8.6x,0.56,PEN 4.50,-0.4%
11,ENDISPC1,BVL:ENDISPC1,Lima,Utilities,Electrical Utilities & IPPs,PEN 12.47B,,-0.86,PEN 4.11,
12,INRETC1,Inretail Peru,Lima,Consumer Non-Cyclicals,Food & Drug Retailing,PEN 12.04B,12.7x,0.43,PEN 112.55,-0.5%
13,BBVAC1,BBVA Banco,Lima,Financials,Banking Services,PEN 11.56B,6.9x,-0.45,PEN 1.30,0%
14,INTERBC1,Banco Internacional del Peru,Lima,Financials,Banking Services,PEN 9.44B,15.5x,-0.38,PEN 1.50,0%
15,LUSURC1,Luz Del Sur,Lima,Utilities,Electrical Utilities & IPPs,PEN 7.43B,10.5x,-2.48,PEN 15.25,-1.5%
16,SCOTIAC1,Scotiabank Peru,Lima,Financials,Banking Services,PEN 7.40B,17x,-0.25,PEN 9,-10%
17,ORYGENC1,Orygen Peru,Lima,Utilities,Electrical Utilities & IPPs,PEN 7.27B,8.4x,-15.61,PEN 2.32,0.9%
