1,SM,SM Investments,Philippines,Consumer Non-Cyclicals,Food & Drug Retailing,₱1.13T,14x,0.82,₱921,0.1%
2,HVN,Golden Haven,Philippines,Industrials,Construction & Engineering,₱972.62B,683.3x,55.42,"₱1,510",0.7%
3,SMPH,SM Prime,Philippines,Real Estate,Real Estate Operations,₱888.04B,20.8x,0.75,₱30.70,2.3%
4,ICT,International Container,Philippines,Industrials,Transport Infrastructure,₱821.66B,23.9x,-2.32,₱404.60,8.2%
5,BDO,BDO Unibank,Philippines,Financials,Banking Services,₱748.08B,9.6x,0.72,₱142.10,2.2%
6,BPI,Bank of the Philippine Islands,Philippines,Financials,Banking Services,₱637.92B,10.3x,0.41,₱121.20,2.8%
7,ALI,Ayala Land,Philippines,Real Estate,Real Estate Operations,₱487.14B,18.8x,0.87,₱33.10,3.4%
8,MER,Manila Electric,Philippines,Utilities,Electrical Utilities & IPPs,₱471.13B,11x,0.36,₱418,4.4%
9,APB2R,Ayala Corp Prf,Philippines,Real Estate,Real Estate Operations,₱385.35B,9.6x,0.26,₱485,1%
10,ACPB1,Ayala Pref,Philippines,Real Estate,Real Estate Operations,₱385.35B,9.6x,0.21,₱498.20,0%
11,ACPAR,Ayala Corp Prf,Philippines,Real Estate,Real Estate Operations,₱384.42B,9.6x,0.26,"₱2,486",-0.6%
12,AC,Ayala,Philippines,Real Estate,Real Estate Operations,₱384.42B,9.6x,0.26,₱620.50,1.4%
13,TEL,PLDT,Philippines,Technology,Telecommunications Services,₱342.02B,12.9x,0.08,"₱1,592",1.7%
14,GLO,Globe Telecom,Philippines,Technology,Telecommunications Services,₱330.63B,14.2x,-0.76,"₱2,290",0.4%
15,GLOPP,Globe Telecom Pref,Philippines,Technology,Telecommunications Services,₱329.19B,14.4x,-0.17,₱505.50,0%
16,MBT,Metropolitan Bank,Philippines,Financials,Banking Services,₱314.06B,7x,0.38,₱69.85,3.8%
17,FB,San Miguel Pure Foods,Philippines,Consumer Non-Cyclicals,Food & Tobacco,₱298.42B,12.6x,1.51,₱50.50,1%
18,EMI,Emperador,Philippines,Consumer Non-Cyclicals,Beverages,₱295.85B,37.9x,-1.63,₱18.80,0%
19,JFCPA,Jollibee Foods Prf,Philippines,Consumer Cyclicals,Hotels & Entertainment Services,₱281.79B,28.7x,1.06,₱970.50,0%
20,JFC,Jollibee Foods,Philippines,Consumer Cyclicals,Hotels & Entertainment Services,₱281.79B,28.7x,1.06,₱251.80,3.2%
21,JFCPB,Jollibee Foods Prf,Philippines,Consumer Cyclicals,Hotels & Entertainment Services,₱281.79B,28.7x,1.06,₱945,0%
22,AP,Aboitiz Power,Philippines,Utilities,Electrical Utilities & IPPs,₱259.41B,8x,0.71,₱36,2.3%
23,SMC2H,San Miguel Pref 2,Philippines,Consumer Non-Cyclicals,Consumer Goods Conglomerates,₱238.15B,-15.6x,-2.29,₱75,0%
24,ACENB,Acen Corp Prf s,Philippines,Utilities,Electrical Utilities & IPPs,₱234.89B,29.6x,-0.55,"₱1,080",1.9%
25,ACEN,AC Energy Philippines Inc,Philippines,Utilities,Electrical Utilities & IPPs,₱232.51B,29.6x,-0.55,₱5.92,3%
26,SMC2F,San Miguel Pref F,Philippines,Consumer Non-Cyclicals,Consumer Goods Conglomerates,₱232.07B,-14.2x,-2.29,₱72.40,0%
27,SMC2I,San Miguel Pref 3,Philippines,Consumer Non-Cyclicals,Consumer Goods Conglomerates,₱232.07B,-14.2x,,₱72,0%
28,SMC,San Miguel,Philippines,Consumer Non-Cyclicals,Consumer Goods Conglomerates,₱232.07B,-14.2x,-2.29,₱97.15,0.2%
29,SMC2K,San Miguel Prf,Philippines,Consumer Non-Cyclicals,Consumer Goods Conglomerates,₱231.95B,-14.2x,-2.29,₱68,0.1%
30,SMC2J,San Miguel Prf,Philippines,Consumer Non-Cyclicals,Consumer Goods Conglomerates,₱231.95B,-14.2x,-2.29,₱70,2.2%
31,URC,Universal Robina,Philippines,Consumer Non-Cyclicals,Food & Tobacco,₱200.86B,16.6x,-1.04,₱92.50,-1.6%
32,AEV,Aboitiz Equity,Philippines,Utilities,Electrical Utilities & IPPs,₱189.66B,7.8x,4.52,₱34.15,1.9%
33,JGS,JG Summit,Philippines,Consumer Non-Cyclicals,Consumer Goods Conglomerates,₱184.26B,7.5x,0.04,₱24.40,1%
34,MONDE,Monde Nissin,Philippines,Consumer Non-Cyclicals,Food & Tobacco,₱172.50B,"-1,498.3x",-53.48,₱9.71,1.2%
35,DMC,DMCI,Philippines,Consumer Non-Cyclicals,Consumer Goods Conglomerates,₱147.65B,7.3x,-0.31,₱11.12,0.2%
36,SCC,Semirara Mining,Philippines,Energy,Coal,₱138.14B,6.5x,-0.18,₱32.45,1.1%
37,PAL,PAL,Philippines,Industrials,Passenger Transportation Services,₱135.87B,8.2x,-0.22,₱5.06,-2.1%
38,GTCAP,GT Capital,Philippines,Consumer Cyclicals,Automobiles & Auto Parts,₱135.20B,4.6x,0.1,₱626,4.2%
39,GTPPB,GT Capital Pref B,Philippines,Consumer Cyclicals,Automobiles & Auto Parts,₱134.55B,4.6x,0.1,₱939.50,0%
40,GTPPA,GT Capital Pref A,Philippines,Consumer Cyclicals,Automobiles & Auto Parts,₱129.82B,4.3x,0.1,₱990,0%
41,CNPF,Century Pacific Food,Philippines,Consumer Non-Cyclicals,Food & Tobacco,₱129.29B,21.6x,1.34,₱36.50,2%
42,PTC,Philtrust Bank,Philippines,Financials,Banking Services,₱118.80B,104.2x,1.49,₱118.80,0%
43,UBP,Union Bank,Philippines,Financials,Banking Services,₱111.76B,10.1x,-0.31,₱33.70,2.7%
44,CBC,China Banking,Philippines,Financials,Banking Services,₱106.85B,4.7x,0.34,₱39.70,-0.7%
45,LTG,LT Group,Philippines,Financials,Banking Services,₱106.22B,4.2x,2.44,₱9.82,0.5%
46,SEVN,Philippine Seven,Philippines,Consumer Non-Cyclicals,Food & Drug Retailing,₱99.54B,26.9x,0.61,₱65.80,-1.8%
47,CNVRG,Converge Information Communications Technology Sol,Philippines,Technology,Telecommunications Services,₱98.83B,8.7x,0.38,₱14.26,4.9%
48,AREIT,"AREIT,",Philippines,Real Estate,Residential & Commercial REITs,₱92.14B,14.9x,0.48,₱38.70,-0.5%
49,PLUS,DigiPlus Interactive,Philippines,Consumer Cyclicals,Hotels & Entertainment Services,₱89.70B,10.9x,0.05,₱20.35,2.3%
50,BLOOM,Bloomberry Resorts,Philippines,Consumer Cyclicals,Hotels & Entertainment Services,₱84.38B,11.8x,0.5,₱7.37,-1.5%
51,AGI,Alliance Global,Philippines,Consumer Non-Cyclicals,Consumer Goods Conglomerates,₱80.27B,4.1x,0.31,₱8.99,2%
52,MWC,Manila Water,Philippines,Utilities,Water & Related Utilities,₱76.49B,10.3x,,₱25.90,-0.2%
53,PGOLD,Puregold Price Club,Philippines,Consumer Non-Cyclicals,Food & Drug Retailing,₱76.08B,8.3x,-0.96,₱26.55,1.9%
54,WLCON,Wilcon Depot,Philippines,Consumer Cyclicals,Specialty Retailers,₱74.12B,23.4x,-1.39,₱18.10,1.7%
55,RLC,Robinsons Land,Philippines,Real Estate,Real Estate Operations,₱71.87B,5.3x,0.19,₱14.86,2.5%
56,GSMI,Ginebra San Miguel,Philippines,Consumer Non-Cyclicals,Beverages,₱68.72B,10.3x,0.77,₱240,1.4%
57,FGEN,First Gen,Philippines,Utilities,Electrical Utilities & IPPs,₱61B,3.6x,0.57,₱16.96,-0.2%
58,RCR,RL Commercial REIT,Philippines,Real Estate,Residential & Commercial REITs,₱60.93B,5.3x,0.02,₱5.77,1.6%
