1,CEZ,CEZ as,Warsaw,Utilities,Electrical Utilities & IPPs,PLN 81.57B,17x,-0.29,PLN 153.50,0.7%
2,SPL1,Santander Bank Polska,Warsaw,Financials,Banking Services,PLN 50.63B,10.4x,0.26,PLN 495.50,-0%
3,ALEP,Allegro,Warsaw,Consumer Cyclicals,Diversified Retail,PLN 40.29B,136.4x,0.87,PLN 38.20,1.9%
4,INGP,ING Bank Śląski SA,Warsaw,Financials,Banking Services,PLN 35.26B,8x,0.09,PLN 271,1.3%
5,DNP,Dino Polska,Warsaw,Consumer Non-Cyclicals,Food & Drug Retailing,PLN 33.61B,23.5x,1.27,PLN 342.80,0.2%
6,LPPP,LPP SA,Warsaw,Consumer Cyclicals,Specialty Retailers,PLN 26.48B,14.9x,0.03,"PLN 14,270",-2.5%
7,MBK,mBank,Warsaw,Financials,Banking Services,PLN 25.56B,43.9x,0.28,PLN 601.40,2.3%
8,CDR,CD PROJEKT,Warsaw,Technology,Software & IT Services,PLN 17.41B,34.2x,0.66,PLN 174.30,1.5%
9,BNP1,BNP Paribas Polska,Warsaw,Financials,Banking Services,PLN 15.15B,13.3x,0.18,PLN 102.50,1%
10,BDXP,BUDIMEX SA,Warsaw,Industrials,Construction & Engineering,PLN 15.08B,20.2x,0.69,PLN 590.50,-0.6%
11,ALRR,Alior Bank SA,Warsaw,Financials,Banking Services,PLN 12.98B,5.6x,0.05,PLN 99.42,1.3%
12,BHW,Bank Handlowy w Warszawie,Warsaw,Financials,Banking Services,PLN 12.17B,5.7x,0.43,PLN 93.20,0.5%
13,OPL,Orange Polska,Warsaw,Technology,Telecommunications Services,PLN 10.72B,14x,-1.21,PLN 8.17,0.2%
14,MILP,Bank Millennium SA,Warsaw,Financials,Banking Services,PLN 10.49B,18.2x,0.07,PLN 8.65,1.5%
15,PCOP,Pepco Group,Warsaw,Consumer Cyclicals,Diversified Retail,PLN 10.44B,35.8x,-0.38,PLN 18.13,-0.6%
16,CCCP,CCC SA,Warsaw,Consumer Cyclicals,Specialty Retailers,PLN 9.10B,65.3x,0.45,PLN 132.10,-2.3%
17,KRU,Kruk SA,Warsaw,Financials,Banking Services,PLN 8.37B,7.7x,0.22,PLN 433.40,0.8%
18,CPS,Cyfrowy Polsat SA,Warsaw,Technology,Telecommunications Services,PLN 8.14B,17.8x,-0.44,PLN 12.73,-1.3%
19,BFT,Benefit Systems SA,Warsaw,Industrials,Professional & Commercial Services,PLN 7.84B,16.1x,0.09,"PLN 2,650",0%
20,KTY,Grupa KĘTY SA,Warsaw,Basic Materials,Metals & Mining,PLN 7.64B,13.3x,3.04,PLN 784.50,-0.3%
21,XTB,X Trade Brokers,Warsaw,Financials,Investment Banking & Investment Services,PLN 7.47B,9x,0.49,PLN 63.56,-1.4%
