1,EDP,EDP,Lisbon,Utilities,Electrical Utilities & IPPs,€15.34B,12.3x,0.24,€3.68,-0.8%
2,GALP,Galp Energia,Lisbon,Energy,Oil & Gas,€14.71B,10.8x,3.12,€19.09,1.6%
3,EDPR,EDP Renovaveis,Lisbon,Utilities,Electrical Utilities & IPPs,€14.54B,32.8x,-19.1,€14.07,-0.6%
4,JMT,Jeronimo Martins,Lisbon,Consumer Non-Cyclicals,Food & Drug Retailing,€10.30B,15.9x,-2.78,€16.50,1.4%
5,BCP,Banco Comercial,Lisbon,Financials,Banking Services,€5.95B,6.8x,0.09,€0.39,1.5%
6,NVGR,The Navigator,Lisbon,Basic Materials,Paper & Forest Products,€2.58B,8.7x,-0.44,€3.62,0.4%
7,YSO,Sonae,Lisbon,Consumer Non-Cyclicals,Food & Drug Retailing,€1.79B,4.9x,0.16,€0.93,-0.5%
8,NOS,Nos SGPS SA,Lisbon,Technology,Telecommunications Services,€1.78B,7.1x,0.59,€3.49,0%
9,RENE,REN,Lisbon,Utilities,Electrical Utilities & IPPs,€1.56B,11.6x,2.56,€2.35,-0.2%
10,GVOLT,Greenvolt Energias Renovaveis,Lisbon,Utilities,Electrical Utilities & IPPs,€1.36B,227.6x,-0.87,€8.30,-0.6%
11,CORA,Corticeira Amorim,Lisbon,Basic Materials,Paper & Forest Products,€1.17B,15.8x,-0.58,€8.80,-0.2%
12,MOTA,Mota Engil,Lisbon,Industrials,Construction & Engineering,€1.05B,9.4x,0.08,€3.50,1.3%
13,ALSS,Altri,Lisbon,Basic Materials,Paper & Forest Products,€978.07M,12.8x,-0.41,€4.75,0.8%
14,SEM,Semapa,Lisbon,Basic Materials,Paper & Forest Products,€963.74M,3.6x,0.23,€14.20,0.7%
15,SNC,Sonaecom,Lisbon,Technology,Software & IT Services,€770.54M,17.6x,,€2.52,0%
16,CTT,CTT Correios de Portugal SA,Lisbon,Industrials,Freight & Logistics Services,€576.04M,10.8x,0.57,€4.20,0.5%
