1,ROSNP,Omv Petrom S.A,Bucharest,Energy,Oil & Gas,RON 47.29B,8.3x,-0.59,RON 0.76,0.3%
2,ROTLV,Banca Transilv,Bucharest,Financials,Banking Services,RON 25.15B,8x,0.74,RON 27.50,-0.4%
3,SNG,Romgaz,Bucharest,Energy,Oil & Gas,RON 22.28B,4.1x,0.34,RON 5.78,0.3%
4,ROBRD,BRD Groupe,Bucharest,Financials,Banking Services,RON 14.39B,9.2x,1.29,RON 20.65,-0.7%
5,ROSNN,S N Nuclearele,Bucharest,Utilities,Electrical Utilities & IPPs,RON 13.88B,5.7x,-0.56,RON 46,-2.1%
6,DIGI,Digi Communications,Bucharest,Technology,Telecommunications Services,RON 5.87B,13.3x,0.25,RON 61.60,1.3%
7,ROEL,Electrica,Bucharest,Utilities,Electrical Utilities & IPPs,RON 5.31B,5.7x,0.01,RON 15.64,-1.6%
8,TGN,Societatea Nationala de Transport Gaze Naturale Tr,Bucharest,Energy,Oil & Gas Related Equipment and Services,RON 4.46B,14.1x,0.32,RON 23.65,0.6%
9,ROCRC,Chimcomplex SA Borzesti,Bucharest,Basic Materials,Chemicals,RON 3.92B,117.9x,-1.5,RON 12.90,-2.3%
10,ROTEL,Compania Nationala de Transport al Energiei Electr,Bucharest,Utilities,Electrical Utilities & IPPs,RON 3.42B,15.5x,-0.25,RON 46.70,-0.6%
11,ROSCD,Zentiva Bucure,Bucharest,Healthcare,Pharmaceuticals,RON 3.12B,13.7x,0.2,RON 4.48,-0.4%
12,ROM,Med Life,Bucharest,Healthcare,Healthcare Providers & Services,RON 3.04B,280x,,RON 5.73,0%
13,ROONE,One United Properties,Bucharest,Industrials,Construction & Engineering,RON 2.31B,8.1x,-1.25,RON 0.61,1.3%
14,RORRC,Rompetrol Rafi,Bucharest,Energy,Oil & Gas,RON 2.07B,-1.6x,0.01,RON 0.08,-4.3%
15,ATB,Antibiotice Ia,Bucharest,Healthcare,Pharmaceuticals,RON 1.99B,20.2x,0.41,RON 2.96,-1%
16,ROAQ,Aquila Part Prod Com SRL,Bucharest,Industrials,Freight & Logistics Services,RON 1.58B,15.9x,-1.79,RON 1.32,1.1%
17,ROSFG,Sphera Franchise,Bucharest,Consumer Cyclicals,Hotels & Entertainment Services,RON 1.53B,17.8x,0.32,RON 39.50,-0.3%
18,ARS,Aerostar Bacau,Bucharest,Industrials,Aerospace & Defense,RON 1.45B,16.7x,-1.32,RON 9.54,-0.6%
19,ROLION,Lion Capital,Bucharest,Financials,Collective Investments,RON 1.38B,3.3x,0.02,RON 2.71,0.4%
20,FP,Fondul Proprietatea,Bucharest,Financials,Collective Investments,RON 1.38B,-2.1x,,RON 0.40,0.1%
21,ROEVER,Evergent Investments,Bucharest,Financials,Investment Holding Companies,RON 1.28B,6.2x,,RON 1.42,1.4%
22,SIF4,Societatea de Investitii Financiare Muntenia,Bucharest,Financials,Investment Banking & Investment Services,RON 1.23B,6.3x,,RON 1.62,-0.9%
23,TRP,Teraplast Bist,Bucharest,Consumer Cyclicals,Homebuilding & Construction Supplies,RON 1.10B,-247x,1.95,RON 0.50,1.6%
24,CMVX,Comvex SA,Bucharest,Industrials,Transport Infrastructure,RON 1.10B,5.7x,0.07,RON 94,0%
25,SOCP,Socep Constant,Bucharest,Industrials,Transport Infrastructure,RON 1.08B,10.7x,3.71,RON 1.69,-0.3%
26,ALR,Alro Slatina,Bucharest,Basic Materials,Metals & Mining,RON 1.08B,-2.8x,0.01,RON 1.51,-1.3%
27,INFINITY,Infinity Capital Investments,Bucharest,Financials,Investment Banking & Investment Services,RON 964.25M,6x,-0.43,RON 2.03,2.5%
28,ROBIO,Biofarm Bucure,Bucharest,Healthcare,Pharmaceuticals,RON 786.32M,12.1x,-0.57,RON 0.80,-1%
29,ROTRANSI,Societatea de Investitii Financiare Transilvania,Bucharest,Financials,Collective Investments,RON 770.45M,3x,,RON 0.36,0%
30,COTE,Conpet Sa Ploi,Bucharest,Energy,Oil & Gas Related Equipment and Services,RON 730.70M,12.7x,-1.78,RON 84.40,0%
31,ROWINE,IM Vinaria Purcari,Bucharest,Consumer Non-Cyclicals,Beverages,RON 609.40M,10.5x,-0.89,RON 15.20,0%
32,IMP,Impact Develop,Bucharest,Real Estate,Real Estate Operations,RON 536.84M,21.5x,-0.31,RON 0.23,-0.9%
33,ROBVB,Bursa De Valor,Bucharest,Financials,Investment Banking & Investment Services,RON 508.89M,17.3x,0.04,RON 63.30,-0.3%
34,CBC,Carbochim,Bucharest,Consumer Cyclicals,Homebuilding & Construction Supplies,RON 482.69M,108.3x,-1.14,RON 98,-4.9%
35,CEON,Cemacon Zalau,Bucharest,Basic Materials,Construction Materials,RON 406.86M,43.5x,-0.49,RON 0.44,0%
36,OIL,Oil Terminal C,Bucharest,Industrials,Transport Infrastructure,RON 365.66M,7.7x,-0.16,RON 0.12,-0.8%
37,PBK,Patria Bank,Bucharest,Financials,Banking Services,RON 265.58M,9.1x,0.24,RON 0.08,-0.6%
38,IARV,IAR SA,Bucharest,Industrials,Aerospace & Defense,RON 248.59M,-31.9x,0.28,RON 13.60,-0.7%
39,EFO,Turism Hotelur,Bucharest,Consumer Cyclicals,Hotels & Entertainment Services,RON 239.62M,8x,0.02,RON 0.42,2%
40,RCHI,Grand Hotel Bucharest,Bucharest,Consumer Cyclicals,Hotels & Entertainment Services,RON 236.73M,50.8x,1.13,RON 0.28,24.6%
41,VNC,Vrancart Adjud,Bucharest,Basic Materials,Containers & Packaging,RON 233.39M,-68.5x,0.86,RON 0.14,0%
42,ROPPL,Promateris,Bucharest,Basic Materials,Chemicals,RON 213.80M,-58.7x,0.02,RON 7.45,0.7%
43,VAC,Prodvinalco,Bucharest,Consumer Non-Cyclicals,Beverages,RON 212.59M,12.1x,,RON 6.75,0%
44,PREH,Prefab Bucures,Bucharest,Basic Materials,Construction Materials,RON 181.51M,196.8x,-2.21,RON 3.74,-0.5%
45,ROPTR,Rompetrol Well,Bucharest,Energy,Oil & Gas Related Equipment and Services,RON 179.15M,16x,0.17,RON 0.64,0.3%
46,FOJE,Foraj Sonde,Bucharest,Energy,Oil & Gas Related Equipment and Services,RON 155.17M,8.4x,-0.8,RON 13.70,-1.4%
