1,VTBR,Bank VTB PAO,Moscow,Financials,Banking Services,"RUB 1,257.25T",1.3x,,RUB 97.07,0.2%
2,GAZP,Gazprom PAO,Moscow,Energy,Oil & Gas,RUB 4.68T,-4.7x,0.03,RUB 128.55,0.3%
3,LKOH,Lukoil,Moscow,Energy,Oil & Gas,RUB 4.15T,6.1x,,"RUB 6,409",-0%
4,ROSN,Rosneft,Moscow,Energy,Oil & Gas,RUB 3.34T,3x,,RUB 505.45,0.4%
5,SIBN,Gazprom Neft,Moscow,Energy,Oil & Gas,RUB 3.15T,4.9x,-0.34,RUB 668.70,-0.5%
6,SBER,Sberbank Rossii,Moscow,Financials,Banking Services,RUB 2.99T,4x,,RUB 281.42,0.1%
7,SBER_p,Sberbank Rossii Pref,Moscow,Financials,Banking Services,RUB 2.99T,4x,,RUB 279.95,0%
8,NVTK,NOVATEK,Moscow,Energy,Oil & Gas,RUB 2.97T,7x,,"RUB 1,016",-0.2%
9,GMKN,Norilskiy Nikel,Moscow,Basic Materials,Metals & Mining,RUB 2.56T,9.1x,-0.16,RUB 123.50,0.5%
10,PHOR,PhosAgro ao,Moscow,Basic Materials,Chemicals,RUB 1.03T,7.2x,7.23,"RUB 5,416",0.3%
11,SNGS,Surgut,Moscow,Energy,Oil & Gas,RUB 928.70B,0.8x,0,RUB 26.04,-0.5%
12,SNGS_p,Surgut-pref,Moscow,Energy,Oil & Gas,RUB 928.70B,0.8x,0,RUB 46.39,0.1%
13,TATN_p,Tatneft Pref,Moscow,Energy,Oil & Gas,RUB 915.43B,4.8x,,RUB 597.90,-0.4%
14,TATN,Tatneft-3,Moscow,Energy,Oil & Gas,RUB 915.43B,4.8x,4.02,RUB 610,-0.6%
15,PLZL,Polyus,Moscow,Basic Materials,Metals & Mining,RUB 792.58B,9.6x,0.25,"RUB 12,301.50",-0.5%
16,AKRN,Akron,Moscow,Basic Materials,Chemicals,RUB 672.23B,21.6x,-0.34,"RUB 15,296",0.8%
17,VSMO,Korporatsiya VSMPO AVISMA PAO,Moscow,Basic Materials,Metals & Mining,RUB 658.34B,30x,,"RUB 28,400",-0.1%
18,IRKT,Yakovlev PAO,Moscow,Industrials,Aerospace & Defense,RUB 612.12B,38.4x,,RUB 53,0.9%
19,PIKK,PIK,Moscow,Consumer Cyclicals,Homebuilding & Construction Supplies,RUB 519.21B,5.8x,,RUB 784.90,2.1%
20,ENPG,En Plus,Moscow,Basic Materials,Metals & Mining,RUB 516.31B,,-0.17,RUB 365.30,-0%
21,ALRS,ALROSA ao,Moscow,Basic Materials,Metals & Mining,RUB 482.09B,5.2x,-0.34,RUB 60.96,0.6%
22,MTSS,MTS,Moscow,Technology,Telecommunications Services,RUB 463.57B,4.6x,0.07,RUB 222.55,-0.3%
23,TCSG,TKS Holding MKPAO,Moscow,Financials,Investment Holding Companies,RUB 457.90B,,0.05,"RUB 2,573",0.1%
24,BANE_p,ANK Bashneft Pref,Moscow,Energy,Oil & Gas,RUB 457.27B,2.7x,,"RUB 1,534",-0.4%
25,BANE,ANK Bashneft,Moscow,Energy,Oil & Gas,RUB 457.27B,2.7x,,"RUB 2,694.50",0.5%
26,RUAL,OK Rusal MKPAO,Moscow,Basic Materials,Metals & Mining,RUB 413.40B,20.9x,,RUB 34.42,-0.9%
27,NLMK,NLMK PAO,Moscow,Basic Materials,Metals & Mining,RUB 354.68B,12.4x,,RUB 160.30,0.2%
28,HYDR,FGK Rusgidro PAO,Moscow,Utilities,Electrical Utilities & IPPs,RUB 354.03B,11.1x,-0.61,RUB 0.59,1%
29,MAGN,MMK,Moscow,Basic Materials,Metals & Mining,RUB 351.99B,4.7x,0.07,RUB 49.51,1.4%
30,UNAC,Ob’’yedinennaya Aviastroitel’naya Korporatsiya PAO,Moscow,Industrials,Aerospace & Defense,RUB 331.46B,-11.2x,0.31,RUB 0.76,-1.9%
31,MGNT,Magnit,Moscow,Consumer Non-Cyclicals,Food & Drug Retailing,RUB 301.28B,8.3x,0.05,"RUB 5,500.50",0.7%
32,IRAO,Inter rao ees,Moscow,Utilities,Electrical Utilities & IPPs,RUB 249.96B,2x,0.09,RUB 3.73,0.5%
33,RTKM_p,Rostelekom Pref,Moscow,Technology,Telecommunications Services,RUB 222.76B,7.9x,,RUB 74.70,2.4%
34,RTKM,Rostelecom,Moscow,Technology,Telecommunications Services,RUB 222.76B,10.4x,,RUB 82.57,2.6%
35,TRNF_p,AK Transneft Pref,Moscow,Energy,Oil & Gas Related Equipment and Services,RUB 199.30B,4x,,"RUB 1,369",0.3%
36,MOEX,Moskovskaya Birzha OAO,Moscow,Financials,Investment Banking & Investment Services,RUB 192.61B,7.8x,0.14,RUB 226.63,-0.3%
37,ROSB,AKB Rosbank,Moscow,Financials,Banking Services,RUB 172.52B,34.3x,,RUB 109.60,1.1%
38,RASP,Raspadskaya,Moscow,Energy,Coal,RUB 169.50B,4.9x,0,RUB 254.15,-1.6%
39,CBOM,Moskovskiy Kreditnyi Bank OAO,Moscow,Financials,Banking Services,RUB 168.58B,4x,,RUB 6.71,-0.2%
40,NMTP,NMTP,Moscow,Industrials,Transport Infrastructure,RUB 162.74B,1.7x,,RUB 8.82,-0.1%
41,AGRODR,Ros Agro PLC,Moscow,Consumer Non-Cyclicals,Food & Tobacco,RUB 157.83B,,0.09,"RUB 1,221",0.1%
42,SMLT,Gk Samolet,Moscow,Real Estate,Real Estate Operations,RUB 157.81B,,0.2,"RUB 2,603.50",1.1%
43,AFKS,AFK Sistema,Moscow,Financials,Investment Holding Companies,RUB 144.72B,-8x,0.03,RUB 20.04,0.6%
44,NKNC_p,Nizhnekamskneftekhim Pref,Moscow,Consumer Cyclicals,Automobiles & Auto Parts,RUB 142.86B,9.7x,,RUB 69.98,0.7%
45,NKNC,Nizhnekamskneftekhim,Moscow,Consumer Cyclicals,Automobiles & Auto Parts,RUB 142.86B,9.7x,,RUB 87.75,0.2%
46,POLY,Solidcore Resources plc PK,Moscow,Basic Materials,Metals & Mining,RUB 129.44B,,0.01,RUB 226.40,0.7%
47,SGZH,Segezha Group,Moscow,Basic Materials,Paper & Forest Products,RUB 127.86B,,,RUB 2.23,-0.5%
48,KZOS,Organicheskiy Sintez,Moscow,Basic Materials,Chemicals,RUB 124.96B,7.6x,,RUB 95.20,2%
49,KZOS_p,Organicheskiy Sintez Pref,Moscow,Basic Materials,Chemicals,RUB 124.96B,6.6x,,RUB 22.92,-1%
