1,2222,Saudi Aramco,Saudi Arabia,Energy,Oil & Gas,SAR 6.81T,15.4x,-1.08,SAR 28.20,0.2%
2,1120,Al Rajhi,Saudi Arabia,Financials,Banking Services,SAR 335.20B,20.2x,28.57,SAR 83.80,-0.2%
3,2082,ACWA Power,Saudi Arabia,Utilities,Multiline Utilities,SAR 284.82B,146.9x,11.13,SAR 397,2.1%
4,2010,SABIC,Saudi Arabia,Basic Materials,Chemicals,SAR 223.80B,-102.9x,-1.52,SAR 74.60,0.1%
5,1180,Saudi National Bank,Saudi Arabia,Financials,Banking Services,SAR 208.08B,10.7x,2.53,SAR 34.85,-0.1%
6,7010,STC,Saudi Arabia,Technology,Telecommunications Services,SAR 194.49B,,1.18,SAR 39.10,-0.4%
7,1211,Ma’aden,Saudi Arabia,Basic Materials,Metals & Mining,SAR 152.02B,71x,-0.96,SAR 41.20,0.7%
8,4013,Dr Sulaiman,Saudi Arabia,Healthcare,Healthcare Providers & Services,SAR 100.80B,45x,2.45,SAR 298.60,3.7%
9,1150,Alinma,Saudi Arabia,Financials,Banking Services,SAR 78.63B,15.1x,0.38,SAR 31.50,0.2%
10,1060,Saudi Awwal,Saudi Arabia,Financials,Banking Services,SAR 77.05B,10.1x,0.36,SAR 37.45,0.8%
11,7203,Al ELM Information Security,Saudi Arabia,Technology,Software & IT Services,SAR 76.61B,50.9x,1.76,SAR 986.80,0.1%
12,1010,RIBL,Saudi Arabia,Financials,Banking Services,SAR 74.58B,9.1x,1.49,SAR 24.88,0.2%
13,5110,Saudi Electric.,Saudi Arabia,Utilities,Electrical Utilities & IPPs,SAR 70.58B,17.5x,-1.17,SAR 16.98,0.5%
14,2280,Almarai,Saudi Arabia,Consumer Non-Cyclicals,Food & Tobacco,SAR 57.40B,26x,3.32,SAR 57.60,1.6%
15,2020,SABIC AgriNutrients,Saudi Arabia,Basic Materials,Chemicals,SAR 55.32B,15.5x,-0.36,SAR 116.40,0.3%
16,1140,ALBILAD,Saudi Arabia,Financials,Banking Services,SAR 48.63B,19x,1.37,SAR 38.80,0.3%
17,1050,BSFR,Saudi Arabia,Financials,Banking Services,SAR 41.35B,10.1x,0.68,SAR 34.45,0.6%
18,1080,ARNB,Saudi Arabia,Financials,Banking Services,SAR 40.36B,,0.48,SAR 20.20,0.3%
19,7020,Etihad Etisalat,Saudi Arabia,Technology,Telecommunications Services,SAR 40.27B,15.6x,0.46,SAR 52.50,-0.4%
20,8210,Bupa Arabia,Saudi Arabia,Financials,Insurance,SAR 35.41B,30.9x,3.97,SAR 236.20,1.5%
21,7202,Arabian Internet and Communications,Saudi Arabia,Technology,Software & IT Services,SAR 35.10B,25.8x,1.32,SAR 294,-0.3%
22,4280,Kingdom,Saudi Arabia,Financials,Investment Holding Companies,SAR 31.31B,24.4x,-2,SAR 8.40,-0.8%
23,4250,Jabal Omar,Saudi Arabia,Real Estate,Real Estate Operations,SAR 29.67B,187.2x,5.01,SAR 25.75,3.2%
24,1111,Saudi Tadawul Holding,Saudi Arabia,Financials,Investment Banking & Investment Services,SAR 28.08B,47.2x,0.74,SAR 233,-0.4%
25,8010,Tawuniya,Saudi Arabia,Financials,Insurance,SAR 25.03B,26.4x,0.35,SAR 166.80,0.2%
26,4263,SAL Saudi Logistics,Saudi Arabia,Industrials,Freight & Logistics Services,SAR 23.50B,,0.62,SAR 294,0.1%
27,6015,Americana Restaurants,Saudi Arabia,Consumer Cyclicals,Hotels & Entertainment Services,SAR 23.07B,36.4x,-1.01,SAR 2.79,0.4%
28,2382,ADES Holding Company SJSC,Saudi Arabia,Energy,Oil & Gas Related Equipment and Services,SAR 22.78B,32.7x,1.53,SAR 21.30,2.4%
29,2223,Saudi Aramco Base Oil,Saudi Arabia,Energy,Oil & Gas,SAR 22.04B,18.5x,-0.4,SAR 129.60,-0.8%
30,4002,Mouwasat,Saudi Arabia,Healthcare,Healthcare Providers & Services,SAR 21.84B,33x,4.85,SAR 109,-0.2%
31,2050,Savola Group,Saudi Arabia,Consumer Non-Cyclicals,Food & Tobacco,SAR 21.75B,25.1x,2.52,SAR 40.85,-0.9%
32,4030,Bahri,Saudi Arabia,Energy,Oil & Gas Related Equipment and Services,SAR 21.74B,12x,-8.85,SAR 29.35,0.2%
33,2290,YANSAB,Saudi Arabia,Basic Materials,Chemicals,SAR 21.63B,119.3x,0.87,SAR 38.45,-0.7%
34,2310,Sahara International Petrochemical,Saudi Arabia,Basic Materials,Chemicals,SAR 20.01B,28.9x,-0.44,SAR 27.60,0%
35,4210,SRMG,Saudi Arabia,Consumer Cyclicals,Media & Publishing,SAR 19.63B,47x,-1.75,SAR 245,-1.6%
36,4100,MCDC,Saudi Arabia,Real Estate,Real Estate Operations,SAR 19.45B,,0.75,SAR 116.60,0%
37,1020,BJAZ,Saudi Arabia,Financials,Banking Services,SAR 17.18B,17.5x,1.15,SAR 16.78,0%
38,4164,Nahdi Medical,Saudi Arabia,Consumer Non-Cyclicals,Food & Drug Retailing,SAR 16.69B,19.1x,-6.38,SAR 128.40,0%
39,4004,Dallah Health,Saudi Arabia,Healthcare,Healthcare Providers & Services,SAR 16.22B,36.7x,1.58,SAR 166.40,0.5%
40,1030,saib,Saudi Arabia,Financials,Banking Services,SAR 15.77B,9.4x,1.16,SAR 12.62,0.5%
41,4190,Jarir,Saudi Arabia,Consumer Cyclicals,Specialty Retailers,SAR 15.31B,16x,9.88,SAR 12.76,0.2%
42,4300,Dar Al Arkan,Saudi Arabia,Real Estate,Real Estate Operations,SAR 15.14B,22.8x,0.32,SAR 14,2.3%
43,4142,Riyadh Cables Company CJSC,Saudi Arabia,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SAR 14.45B,24.1x,0.58,SAR 101.80,5.5%
44,2083,Power and Water Utility,Saudi Arabia,Utilities,Multiline Utilities,SAR 14.45B,40.1x,-0.84,SAR 57.80,0%
45,4072,MBC CJSC,Saudi Arabia,Consumer Cyclicals,Media & Publishing,SAR 14B,,-1.11,SAR 44.20,5%
46,2250,SIIG,Saudi Arabia,Basic Materials,Chemicals,SAR 13.99B,43.1x,0.22,SAR 18.54,-1%
47,1212,Astra Indust,Saudi Arabia,Industrials,Diversified Industrial Goods Wholesale,SAR 13.95B,25.1x,0.59,SAR 174,5.8%
48,2380,Petro Rabigh,Saudi Arabia,Energy,Oil & Gas,SAR 13.15B,,0.04,SAR 7.90,0.2%
49,2350,Saudi Kayan,Saudi Arabia,Basic Materials,Chemicals,SAR 12.15B,-6.4x,-0.23,SAR 8.11,0.1%
50,4200,Aldrees,Saudi Arabia,Energy,Oil & Gas,SAR 12.04B,41.1x,3.78,SAR 120.60,4.7%
51,4090,Taiba,Saudi Arabia,Real Estate,Real Estate Operations,SAR 11.76B,,-2.68,SAR 45.10,2.5%
52,4015,Jamjoom Pharmaceuticals Factory,Saudi Arabia,Healthcare,Pharmaceuticals,SAR 11.62B,35x,0.78,SAR 167.60,1%
53,2270,SADAFCO,Saudi Arabia,Consumer Non-Cyclicals,Food & Tobacco,SAR 11.55B,23.4x,0.24,SAR 361,1.9%
54,1830,Leejam Sports,Saudi Arabia,Consumer Cyclicals,Hotels & Entertainment Services,SAR 10.85B,28x,1.03,SAR 207.60,0.8%
55,2381,Arabian Drilling,Saudi Arabia,Energy,Oil & Gas Related Equipment and Services,SAR 10.50B,,-0.85,SAR 118.20,0.2%
56,4071,Arabian Contracting Services,Saudi Arabia,Consumer Cyclicals,Media & Publishing,SAR 10.32B,35.2x,3.3,SAR 212,2.7%
57,4001,A.Othaim Market,Saudi Arabia,Consumer Non-Cyclicals,Food & Drug Retailing,SAR 10.30B,25.8x,-0.38,SAR 11.44,0.4%
58,4321,Arabian Centres,Saudi Arabia,Real Estate,Real Estate Operations,SAR 9.93B,7.1x,0.93,SAR 21.10,0.9%
59,2330,Advanced,Saudi Arabia,Basic Materials,Chemicals,SAR 9.90B,194.2x,-3.3,SAR 38.30,-1.3%
60,4031,Saudi Ground Services Co,Saudi Arabia,Industrials,Transport Infrastructure,SAR 9.59B,35.7x,0.07,SAR 51.10,-0.4%
61,7030,ZAIN KSA,Saudi Arabia,Technology,Telecommunications Services,SAR 9.53B,50.9x,-0.58,SAR 10.60,0.6%
62,2230,Saudi chemical,Saudi Arabia,Consumer Non-Cyclicals,Food & Drug Retailing,SAR 9.46B,33.2x,0.18,SAR 11.20,0.5%
63,6004,CATRION Catering Holding,Saudi Arabia,Industrials,Transport Infrastructure,SAR 9.20B,30.2x,4.65,SAR 112.20,-0.2%
64,4220,Emaar EC,Saudi Arabia,Real Estate,Real Estate Operations,SAR 9.15B,-21.1x,-0.34,SAR 8.05,-0.2%
65,4005,Care,Saudi Arabia,Healthcare,Healthcare Providers & Services,SAR 8.87B,30.9x,0.73,SAR 197.80,-0.1%
66,6010,NADEC,Saudi Arabia,Consumer Non-Cyclicals,Food & Tobacco,SAR 8.45B,18.4x,-30.09,SAR 27.95,0%
67,2080,GASCO,Saudi Arabia,Utilities,Natural Gas Utilities,SAR 8.37B,36.3x,4.08,SAR 111,-0.5%
68,4020,SRECO,Saudi Arabia,Real Estate,Real Estate Operations,SAR 8.15B,131.8x,-1.92,SAR 21.74,8.2%
69,4161,Bindawood,Saudi Arabia,Consumer Non-Cyclicals,Food & Drug Retailing,SAR 8.07B,28x,0.16,SAR 7.16,1.3%
70,8230,AlRajhi Takaful,Saudi Arabia,Financials,Insurance,SAR 7.97B,51.3x,0.25,SAR 199.40,-0.3%
71,4291,National Company Learning,Saudi Arabia,Academic & Educational Services,Professional & Business Education,SAR 7.75B,64x,2.5,SAR 179,-0.6%
72,4260,Budget Saudi,Saudi Arabia,Industrials,Passenger Transportation Services,SAR 7.54B,24.4x,6.8,SAR 96.10,3%
73,2060,TASNEE,Saudi Arabia,Basic Materials,Chemicals,SAR 7.47B,,-2.36,SAR 11.14,0.2%
74,1303,Electrical Industries,Saudi Arabia,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SAR 7.41B,25.6x,0.21,SAR 6.63,3.1%
75,4163,Al Dawaa Medical Services,Saudi Arabia,Consumer Non-Cyclicals,Food & Drug Retailing,SAR 7.25B,20.2x,1.18,SAR 89,4.3%
76,4007,Al Hammadi Co,Saudi Arabia,Healthcare,Healthcare Providers & Services,SAR 7.25B,22.4x,2.09,SAR 45.25,1.6%
77,4009,Middle East Healthcare,Saudi Arabia,Healthcare,Healthcare Providers & Services,SAR 6.76B,37.1x,0.55,SAR 73.30,3.8%
78,4003,Extra,Saudi Arabia,Consumer Cyclicals,Specialty Retailers,SAR 6.75B,15.3x,0.66,SAR 88.60,0.6%
79,4322,Retal Urban Dev,Saudi Arabia,Real Estate,Real Estate Operations,SAR 6.56B,29x,-1.89,SAR 13.14,0.2%
80,1810,SEERA,Saudi Arabia,Consumer Cyclicals,Hotels & Entertainment Services,SAR 6.42B,29.1x,0.1,SAR 24.10,1.2%
81,9544,Future Care Trading,Saudi Arabia,Healthcare,Healthcare Providers & Services,SAR 6.39B,492.3x,3.03,SAR 12.70,-0.6%
82,3030,Saudi cement,Saudi Arabia,Basic Materials,Construction Materials,SAR 6.36B,16.9x,-1.05,SAR 41.25,-0.8%
83,2081,Alkhorayef Water and Power Technologies Co,Saudi Arabia,Utilities,Water & Related Utilities,SAR 6.29B,31.6x,0.58,SAR 183.60,2.1%
84,3020,YSCC,Saudi Arabia,Basic Materials,Construction Materials,SAR 6.12B,20.8x,-0.68,SAR 30.20,-1.5%
85,4162,Almunajem Foods,Saudi Arabia,Consumer Non-Cyclicals,Food & Drug Retailing,SAR 5.76B,17.6x,1.25,SAR 96.90,0.9%
86,3040,QACCO,Saudi Arabia,Basic Materials,Construction Materials,SAR 5.73B,28.9x,60.85,SAR 51.80,0%
87,1322,Al Masane Al Kobra Mining,Saudi Arabia,Basic Materials,Metals & Mining,SAR 5.70B,53.7x,-2.4,SAR 63.40,0.2%
88,3050,spcc,Saudi Arabia,Basic Materials,Construction Materials,SAR 4.99B,23.7x,-1.18,SAR 35.65,1.4%
89,7200,Al Moammar Info,Saudi Arabia,Technology,Software & IT Services,SAR 4.98B,127.3x,-1.72,SAR 172.60,3.6%
