1,NIIS,NIS AD,Belgrade,Energy,Oil & Gas,RSD 131.75B,3.6x,-0.09,RSD 808,0.7%
2,AERO,Aerodrom Nikol,Belgrade,Industrials,Transport Infrastructure,RSD 66.44B,"6,690x",39.42,"RSD 1,900",0%
3,DINN_pa,Philip Morris Operations ad Nis,Belgrade,Consumer Non-Cyclicals,Food & Tobacco,RSD 45.82B,7.2x,6.37,"RSD 8,050",0%
4,TGAS,Tehnoga,Belgrade,Basic Materials,Chemicals,RSD 26.43B,7.4x,0.13,"RSD 25,500",0%
5,FINT,Fintel Energija ad Beograd,Belgrade,Utilities,Electrical Utilities & IPPs,RSD 18B,40.5x,4.49,RSD 679,0%
6,DNOS,Dunavosiguranj,Belgrade,Financials,Insurance,RSD 17.32B,7x,0.11,"RSD 1,140",0.4%
7,IMPL,Impol Seval,Belgrade,Basic Materials,Metals & Mining,RSD 7.07B,2.6x,,"RSD 7,500",0%
8,ENHL,Energoprojekt,Belgrade,Industrials,Construction & Engineering,RSD 4.04B,-103x,4.73,RSD 373,0%
9,MTLC,Metalac,Belgrade,Consumer Cyclicals,Household Goods,RSD 3.31B,4.9x,0.32,"RSD 1,710",0%
10,KOPB,Kopaonik,Belgrade,Basic Materials,Construction Materials,RSD 2.08B,24.2x,,"RSD 15,000",0%
11,GFOM,Gosa FOM ad Smederevska Palanka,Belgrade,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",RSD 1.82B,8.8x,0.18,"RSD 1,332",2.5%
12,JESV,Jedinstvo Sevo,Belgrade,Industrials,Construction & Engineering,RSD 1.77B,7.7x,0.15,"RSD 8,242",0%
13,LSTA,Lasta,Belgrade,Industrials,Passenger Transportation Services,RSD 1.15B,,,RSD 502,0%
14,OMOL,Omoljica ad Omoljica,Belgrade,Consumer Non-Cyclicals,Food & Tobacco,RSD 1.1B,121.2x,,"RSD 3,355",0%
15,AMSO_p,Ams Osig Pref,Belgrade,Financials,Insurance,RSD 912.2M,3.5x,0.11,"RSD 1,639",0%
16,AMSO,Ams Osiguranje,Belgrade,Financials,Insurance,RSD 912.2M,3.5x,0.11,"RSD 2,900",0%
17,UTSI,Utva Silosi ad Kovin,Belgrade,Basic Materials,Metals & Mining,RSD 745.83M,,,"RSD 5,000",0%
18,JGPK,Jugoprevoz,Belgrade,Industrials,Passenger Transportation Services,RSD 677.63M,,,"RSD 8,900",0%
19,NSSJ,Novosadski Sajam,Belgrade,Industrials,Professional & Commercial Services,RSD 532.32M,11.7x,,RSD 650,0%
20,VDAV,Voda Vrnjci,Belgrade,Consumer Non-Cyclicals,Beverages,RSD 528.13M,-5.6x,,"RSD 4,601",0%
21,SJPR,Lucic Prigrevica ad Novi Sad,Belgrade,Consumer Non-Cyclicals,Food & Tobacco,RSD 402.06M,,,RSD 560,0%
22,IRTL,Iritel,Belgrade,Technology,Communications & Networking,RSD 369.88M,10.1x,,"RSD 1,275",0%
23,AVEN,Autoventil ad Uzice,Belgrade,Consumer Cyclicals,Automobiles & Auto Parts,RSD 317.55M,6.1x,0.7,"RSD 2,200",0%
24,ZLTP,Zlatarplast ad Nova Varos,Belgrade,Basic Materials,Chemicals,RSD 222.3M,,,"RSD 3,500",0%
25,PLNM,GP Planum ad Beograd,Belgrade,Industrials,Construction & Engineering,RSD 204.16M,5.9x,,RSD 493,0%
26,TIGR,Tigar,Belgrade,Consumer Cyclicals,Automobiles & Auto Parts,RSD 163.87M,-0.2x,,RSD 15,0%
27,PLTK,Politika Beog,Belgrade,Consumer Cyclicals,Media & Publishing,RSD 126.6M,,,RSD 9,0%
28,BGMN,Beogradmontaza ad Beograd,Belgrade,,,RSD 105.24M,,,"RSD 3,800",0%
29,RTAR,Ratar ad Pancevo,Belgrade,Consumer Non-Cyclicals,Food & Tobacco,RSD 85.84M,,,RSD 700,0%
30,DNVG,Dunav,Belgrade,Consumer Cyclicals,Textiles & Apparel,RSD 68.76M,-2x,0,RSD 80,0%
31,RVST,Revnost,Belgrade,Industrials,Professional & Commercial Services,RSD 64.85M,"90,320x",,"RSD 14,000",0%
32,PRGS,Progres BEL,Belgrade,Consumer Cyclicals,Automobiles & Auto Parts,RSD 42.83M,-0.3x,-0.06,RSD 7,0%
33,AGBC,Agrobacka,Belgrade,Consumer Non-Cyclicals,Food & Tobacco,RSD 10.58M,,,RSD 131,0%
