1,DBSM,DBS,Singapore,Financials,Banking Services,SGD 101.02B,9.6x,1.1,SGD 35.56,2.3%
2,OCBC,OCBC Bank,Singapore,Financials,Banking Services,SGD 64.37B,8.8x,0.66,SGD 14.33,2.2%
3,UOBH,UOB,Singapore,Financials,Banking Services,SGD 51.12B,9.2x,2.65,SGD 30.59,1.9%
4,STEL,SingTel,Singapore,Technology,Telecommunications Services,SGD 49.21B,62.1x,-0.94,SGD 2.98,-1.3%
5,ADVANC,Advanced Info Service PCL DRC,Singapore,,,SGD 27.18B,22.5x,1.29,SGD 0.92,-1.1%
6,SIAL,Singapore Airlines,Singapore,Industrials,Passenger Transportation Services,SGD 21.64B,9.6x,0.1,SGD 6.07,-0.8%
7,WLIL,Wilmar,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 19.48B,9.5x,-0.26,SGD 3.11,-0.3%
8,STEG,ST Engineering,Singapore,Industrials,Aerospace & Defense,SGD 14.19B,22.1x,2.35,SGD 4.55,-0.2%
9,JARD,Jardine Matheson,Singapore,Consumer Non-Cyclicals,Consumer Goods Conglomerates,SGD 14.10B,133x,-1.54,SGD 48.50,-1%
10,CMLT,CapitaLand Integrated Commercial Trust,Singapore,Real Estate,Residential & Commercial REITs,SGD 14.08B,16.5x,0.86,SGD 2.09,-0.5%
11,CAPN,Capitaland Investment,Singapore,Real Estate,Real Estate Operations,SGD 12.54B,,-0.88,SGD 2.53,0.8%
12,GELA,Great Eastern Holdings Ltd,Singapore,Financials,Insurance,SGD 12.21B,13.2x,1.07,SGD 25.80,0%
13,TBEV,Thai Beverage,Singapore,Consumer Non-Cyclicals,Beverages,SGD 12.19B,12x,-1.16,SGD 0.49,2.1%
14,CAPD,CapitaLand Ascendas,Singapore,Real Estate,Residential & Commercial REITs,SGD 11.92B,85x,-1.02,SGD 2.72,0.7%
15,SGXL,Singapore Exchange,Singapore,Financials,Investment Banking & Investment Services,SGD 11.06B,18.5x,3.19,SGD 10.34,1.2%
16,JCYC,Jardine C&C,Singapore,Consumer Non-Cyclicals,Consumer Goods Conglomerates,SGD 10.41B,7.5x,0.44,SGD 26.37,-0.1%
17,YAZG,Yangzijiang Shipbuilding,Singapore,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SGD 10.15B,10.2x,0.28,SGD 2.57,-1.2%
18,HKLD,HK Land Holdings,Singapore,Real Estate,Real Estate Operations,SGD 10.02B,-7x,0.04,SGD 4.54,-0.6%
19,GENS,Genting Singapore,Singapore,Consumer Cyclicals,Hotels & Entertainment Services,SGD 9.90B,14.4x,0.2,SGD 0.81,-1.8%
20,SCIL,Semb Corp,Singapore,Utilities,Multiline Utilities,SGD 8.47B,8.9x,1.15,SGD 4.74,1.1%
21,MACT,Mapletree Commercial Trust,Singapore,Real Estate,Residential & Commercial REITs,SGD 6.68B,11.6x,1.29,SGD 1.27,2.4%
22,MAPL,Mapletree Logistics Trust,Singapore,Real Estate,Residential & Commercial REITs,SGD 6.52B,22x,-0.46,SGD 1.30,0.8%
23,MAPI,Mapletree Industrial Trust,Singapore,Real Estate,Residential & Commercial REITs,SGD 6.32B,56.6x,-0.92,SGD 2.33,1.8%
24,SEAT,Seatrium Limited,Singapore,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SGD 4.83B,-2.8x,0.01,SGD 1.42,-0.7%
25,SATS,SATS Ltd,Singapore,Industrials,Transport Infrastructure,SGD 4.75B,83.7x,0.32,SGD 3.18,-0.6%
26,CTDM,City Development,Singapore,Real Estate,Real Estate Operations,SGD 4.51B,15x,-0.2,SGD 5.06,0.2%
27,CTDM_p,City Developments Ltd Pref,Singapore,Real Estate,Real Estate Operations,SGD 4.51B,15x,,SGD 0.98,0%
28,UTOS,UOL Group,Singapore,Real Estate,Real Estate Operations,SGD 4.42B,6.3x,0.14,SGD 5.23,0.8%
29,OLAG,Olam Group,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 4.36B,17.9x,-0.29,SGD 1.14,-0.9%
30,FCRT,Frasers Centrepoint Trust,Singapore,Real Estate,Residential & Commercial REITs,SGD 4.17B,21.5x,-1.41,SGD 2.30,0.4%
31,VENM,Venture Corporation Ltd,Singapore,Technology,Electronic Equipment & Parts,SGD 4.14B,16.3x,-0.66,SGD 14.28,1.7%
32,FRAE,Frasers Logistics,Singapore,Real Estate,Residential & Commercial REITs,SGD 3.76B,-29.4x,0.24,SGD 1,0%
33,KEPE,Keppel DC REIT,Singapore,Real Estate,Residential & Commercial REITs,SGD 3.52B,23.3x,-0.75,SGD 2.03,-1%
34,SUNT,Suntec REIT,Singapore,Real Estate,Residential & Commercial REITs,SGD 3.47B,18.3x,-0.64,SGD 1.19,1.7%
35,DFIR,DFI Retail Holdings,Singapore,Consumer Non-Cyclicals,Food & Drug Retailing,SGD 3.40B,21.4x,0.06,SGD 2.51,1.1%
36,NETL,NetLink,Singapore,Technology,Telecommunications Services,SGD 3.37B,33.1x,-5.73,SGD 0.87,1.2%
37,GAGR,GoldenAgr,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 3.36B,18.3x,,SGD 0.26,0%
38,CAPS,CapitaLand Ascott Trust,Singapore,Real Estate,Residential & Commercial REITs,SGD 3.28B,13.4x,-1.56,SGD 0.86,0%
39,KASA,Keppel REIT,Singapore,Real Estate,Residential & Commercial REITs,SGD 3.16B,26.3x,-0.46,SGD 0.84,0%
40,FRPL,Frasers Property,Singapore,Real Estate,Real Estate Operations,SGD 3.10B,-79x,0.77,SGD 0.79,0%
41,CMDG,ComfortDelGro,Singapore,Industrials,Passenger Transportation Services,SGD 3.05B,17x,3.94,SGD 1.41,-0.7%
42,MOIL,Mandarin Oriental International Ltd,Singapore,Consumer Cyclicals,Hotels & Entertainment Services,SGD 2.67B,-5.8x,0.02,SGD 2.12,-1.2%
43,SIAE,SIA Engg,Singapore,Industrials,Transport Infrastructure,SGD 2.57B,25x,0.87,SGD 2.29,0.9%
44,PARA,Paragon REIT,Singapore,Real Estate,Residential & Commercial REITs,SGD 2.53B,9.9x,0.1,SGD 0.88,1.7%
45,SIND,Singapore Land Group,Singapore,Real Estate,Real Estate Operations,SGD 2.52B,12.3x,,SGD 1.76,0%
46,KEPL,Keppel Infra REIT,Singapore,Basic Materials,Chemicals,SGD 2.27B,50.6x,2.02,SGD 0.46,0%
47,HPAR,Haw Par Corporation Ltd,Singapore,Healthcare,Pharmaceuticals,SGD 2.27B,9.7x,0.22,SGD 10.25,-0.1%
48,SHEN,Sheng Siong Group Ltd,Singapore,Consumer Non-Cyclicals,Food & Drug Retailing,SGD 2.26B,16.4x,3.18,SGD 1.51,-0.7%
49,TIAN,Tianjin Zhongxin Pharma Group,Singapore,Healthcare,Pharmaceuticals,SGD 2.25B,26x,-2.9,SGD 2.92,-0.4%
50,STAR,StarHub,Singapore,Technology,Telecommunications Services,SGD 2.20B,14.9x,0.09,SGD 1.27,-1.5%
51,PWLR,Parkway Life REIT,Singapore,Real Estate,Residential & Commercial REITs,SGD 2.19B,20.9x,0.12,SGD 3.62,0.8%
52,FRLD,First Resources Ltd,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 2.17B,11.4x,-0.2,SGD 1.40,0%
53,IFAS,iFAST Corporation,Singapore,Technology,Financial Technology (Fintech) & Infrastructure,SGD 2.16B,41.5x,0.09,SGD 7.26,1.3%
54,ESRO,ESR-REIT,Singapore,Real Estate,Residential & Commercial REITs,SGD 2B,-26x,0.07,SGD 0.25,0%
55,HPPS,Hotel Properties Ltd,Singapore,Consumer Cyclicals,Hotels & Entertainment Services,SGD 1.85B,2.8x,0,SGD 3.53,0%
56,FRNM,F & N,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 1.78B,10.8x,0.94,SGD 1.22,0%
57,RAFG,Raffles Medical Group Ltd,Singapore,Healthcare,Healthcare Providers & Services,SGD 1.69B,27.6x,-0.47,SGD 0.91,0.5%
58,GUOC,GuocoLand Ltd,Singapore,Real Estate,Real Estate Operations,SGD 1.62B,8.4x,-0.18,SGD 1.46,-0.7%
59,OUEI,OUE Commercial,Singapore,Real Estate,Residential & Commercial REITs,SGD 1.54B,7.6x,-0.33,SGD 0.28,3.7%
60,CAPC,CapitaLand India Trust,Singapore,Real Estate,Residential & Commercial REITs,SGD 1.49B,8.1x,0.21,SGD 1.11,1.8%
61,HPHT,Hutchison Port Holdings Trust,Singapore,Industrials,Transport Infrastructure,SGD 1.44B,28.7x,-0.74,SGD 0.17,0%
62,RVHL,Riverstone Holdings Ltd,Singapore,Healthcare,Healthcare Equipment & Supplies,SGD 1.36B,16.8x,0.46,SGD 0.92,2.2%
63,UOKH,UOB Kay Hian Holdings Ltd,Singapore,Financials,Investment Banking & Investment Services,SGD 1.32B,5.9x,0.12,SGD 1.41,4.4%
64,LEND,Lendlease,Singapore,Real Estate,Residential & Commercial REITs,SGD 1.26B,22.4x,-0.53,SGD 0.53,0%
65,FAEH,Far East Hospitality Trust,Singapore,Real Estate,Residential & Commercial REITs,SGD 1.25B,10.7x,-0.32,SGD 0.62,0.8%
66,HBEE,Ho Bee Land Ltd,Singapore,Real Estate,Real Estate Operations,SGD 1.23B,-12.9x,0.02,SGD 1.85,-1.6%
67,BUMI,Bumitama Agri Ltd,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 1.21B,6.8x,-0.48,SGD 0.70,-0.7%
68,FSCA,First Sponsor Group Ltd,Singapore,Real Estate,Real Estate Operations,SGD 1.20B,82.3x,-1.09,SGD 1.07,-0.9%
69,YANZ,Yangzijiang Financial Holding,Singapore,Financials,Investment Banking & Investment Services,SGD 1.19B,8.5x,0.19,SGD 0.35,1.5%
70,SRTA,Sri Trang Agro Industry F,Singapore,Consumer Cyclicals,Automobiles & Auto Parts,SGD 1.18B,-60x,0.21,SGD 0.77,0%
71,CAPA,CapitaLand China Trust,Singapore,Real Estate,Residential & Commercial REITs,SGD 1.11B,71.7x,-0.83,SGD 0.65,0.8%
72,CROM,Cromwell European RE,Singapore,Real Estate,Residential & Commercial REITs,SGD 1.10B,-26.5x,-4.82,SGD 1.96,0%
73,STHL,Starhill Global REIT,Singapore,Real Estate,Residential & Commercial REITs,SGD 1.09B,17x,-0.57,SGD 0.48,2.1%
74,HLSF,Hong Leong Finance Ltd,Singapore,Financials,Banking Services,SGD 1.09B,11.7x,-0.4,SGD 2.44,0.4%
75,CDLT,CDL Hospitality Trusts,Singapore,Real Estate,Residential & Commercial REITs,SGD 1.08B,8.5x,-0.25,SGD 0.87,0.6%
76,BEST,Best World International,Singapore,Consumer Cyclicals,Specialty Retailers,SGD 1.07B,9x,-1.73,SGD 2.51,0%
77,DIGT,Digital Core REIT Unt,Singapore,Real Estate,Residential & Commercial REITs,SGD 1.01B,-7.1x,0.01,SGD 0.79,1.7%
78,SPOS,Singapore Post Ltd,Singapore,Industrials,Freight & Logistics Services,SGD 990.04M,14.5x,0.04,SGD 0.44,0%
79,HRGS,Hour Glass,Singapore,Consumer Cyclicals,Specialty Retailers,SGD 985.12M,6.4x,-0.8,SGD 1.52,0.7%
80,WTHS,Wing Tai Holdings Ltd,Singapore,Real Estate,Real Estate Operations,SGD 949.96M,-26x,0.21,SGD 1.25,0%
81,SRIT,Sri Trang Gloves,Singapore,Healthcare,Healthcare Equipment & Supplies,SGD 936.46M,168.6x,-1.91,SGD 0.35,0%
82,AIMA,AIMS AMP Capital,Singapore,Real Estate,Residential & Commercial REITs,SGD 911.88M,23.3x,-0.4,SGD 1.27,0%
83,OVES,OUE Ltd,Singapore,Real Estate,Real Estate Operations,SGD 857.19M,-15.7x,-0.17,SGD 1.02,1%
84,SASS,Sasseur REIT Unit,Singapore,Real Estate,Residential & Commercial REITs,SGD 853.28M,13.7x,,SGD 0.69,0%
85,BSES,Bukit Sembawang Estates Ltd,Singapore,Real Estate,Real Estate Operations,SGD 844.05M,12x,0.11,SGD 3.26,-1.2%
86,YNLG,Yanlord,Singapore,Real Estate,Real Estate Operations,SGD 840.22M,-1.8x,0.03,SGD 0.44,0%
87,FRHO,Frasers Hospitality Trust,Singapore,Real Estate,Residential & Commercial REITs,SGD 828.21M,9.4x,0.4,SGD 0.43,2.4%
88,PCEN,Pacific Century Regional Develop,Singapore,Financials,Investment Holding Companies,SGD 807.32M,-25.4x,0.07,SGD 0.31,0%
89,SBVV,SBS Transit Ltd,Singapore,Industrials,Passenger Transportation Services,SGD 761.20M,11.2x,7.17,SGD 2.44,-0.8%
90,SINA,Sinarmas Land Ltd,Singapore,Industrials,Professional & Commercial Services,SGD 753.16M,3x,-0.12,SGD 0.18,0%
91,UMSH,UMS Holdings Ltd,Singapore,Technology,Semiconductors & Semiconductor Equipment,SGD 746.06M,14.3x,-0.3,SGD 1.04,1%
92,CNAO,China Aviation Oil Singapore Corp,Singapore,Industrials,Transport Infrastructure,SGD 744.06M,6.9x,0.13,SGD 0.87,0.6%
93,AZTE,Aztech Global,Singapore,Technology,Electronic Equipment & Parts,SGD 729.34M,7.5x,0.13,SGD 0.94,-0.5%
94,JAPF,Japfa Ltd,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 702.77M,7.1x,0.04,SGD 0.34,1.5%
95,SLVX,Silverlake Axis Ltd,Singapore,Technology,Financial Technology (Fintech) & Infrastructure,SGD 691.56M,14.7x,-1.2,SGD 0.28,-1.8%
96,CEWL,China Everbright Water Ltd,Singapore,Utilities,Water & Related Utilities,SGD 686.61M,3.4x,0.2,SGD 0.24,2.1%
97,HALC,HALCYON Agri Corp Ltd,Singapore,Consumer Cyclicals,Automobiles & Auto Parts,SGD 653.95M,-5.3x,0.02,SGD 0.41,0%
98,HRNE,HRnetGroup,Singapore,Industrials,Professional & Commercial Services,SGD 652.12M,11.5x,-2.25,SGD 0.67,1.5%
99,DMHL,Dyna Mac Holdings Ltd,Singapore,Energy,Oil & Gas Related Equipment and Services,SGD 637.98M,10.8x,0.07,SGD 0.59,-0.8%
100,HONG,Hong Fok Corporation Ltd,Singapore,Real Estate,Real Estate Operations,SGD 626.76M,5.8x,-0.12,SGD 0.76,0.7%
101,FREN,Frencken Group Ltd,Singapore,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SGD 593.66M,18.3x,-0.44,SGD 1.39,0%
102,BRCA,BRC Asia Ltd,Singapore,Consumer Cyclicals,Homebuilding & Construction Supplies,SGD 592.60M,6.8x,0.47,SGD 2.16,0%
103,PROP,PropNex,Singapore,Real Estate,Real Estate Operations,SGD 584.60M,13.2x,-0.51,SGD 0.79,1.3%
104,STCM,Straits Trading Company Ltd,Singapore,Basic Materials,Metals & Mining,SGD 582.39M,-14.9x,0.19,SGD 1.30,0.8%
105,CNCL,Centurion,Singapore,Real Estate,Real Estate Operations,SGD 554.91M,2.4x,0.03,SGD 0.66,0.8%
106,SFLD,Stamford Land Corporation Ltd,Singapore,Consumer Cyclicals,Hotels & Entertainment Services,SGD 548.94M,92.5x,-0.96,SGD 0.37,1.4%
107,FRET,First REIT,Singapore,Real Estate,Residential & Commercial REITs,SGD 533.01M,8.5x,0.09,SGD 0.25,0%
108,HGCS,Hotel Grand Central Ltd,Singapore,Consumer Cyclicals,Hotels & Entertainment Services,SGD 532.39M,45x,0.03,SGD 0.72,-0.7%
109,HLAA,Hong Leong Asia Ltd,Singapore,Consumer Cyclicals,Automobiles & Auto Parts,SGD 527.32M,6.3x,0.43,SGD 0.70,0%
110,FEMP,Food Empire Holdings Ltd,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 510.20M,7.2x,-1.15,SGD 0.97,0%
111,TALK,Talkmed Group Ltd,Singapore,Healthcare,Healthcare Providers & Services,SGD 504.13M,18.1x,-1.68,SGD 0.38,0%
112,DELF,Delfi,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 501.15M,9.5x,1.57,SGD 0.82,-1.2%
113,CORT,Cortina,Singapore,Consumer Cyclicals,Specialty Retailers,SGD 495.08M,8.1x,-0.42,SGD 2.99,0%
114,FARE,Far East Orchard Ltd,Singapore,Real Estate,Real Estate Operations,SGD 489.10M,6.4x,0.04,SGD 1,0%
115,ZHEN,Zheneng Jinjiang Environment Holding Co Ltd,Singapore,Energy,Renewable Energy,SGD 479.34M,9.2x,-0.67,SGD 0.33,-7%
116,VCOM,Vicom Ltd,Singapore,Industrials,Professional & Commercial Services,SGD 471.58M,17x,5.91,SGD 1.33,0.8%
117,QAFS,QAF Ltd,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 468.84M,13.4x,,SGD 0.81,0.6%
118,BTSS,Boustead Singapore Ltd,Singapore,Industrials,Construction & Engineering,SGD 460.76M,7.2x,0.17,SGD 0.96,0%
119,NANO,Nanofilm,Singapore,Basic Materials,Chemicals,SGD 458.96M,72.8x,-1.63,SGD 0.71,0.7%
120,CIVM,Civmec Ltd,Singapore,Industrials,Construction & Engineering,SGD 451.76M,9x,1.24,SGD 0.89,0%
121,SAMU,Samudera Shipping Line Ltd,Singapore,Industrials,Freight & Logistics Services,SGD 446.57M,6.1x,-0.08,SGD 0.83,2.5%
122,GLVT,Gallant Venture Ltd,Singapore,Consumer Cyclicals,Automobiles & Auto Parts,SGD 431.59M,-9.9x,0.01,SGD 0.08,0%
123,UOIS,United Overseas Insurance,Singapore,Financials,Insurance,SGD 431.14M,13.7x,0.42,SGD 7.05,0%
124,TCIL,Tan Chong International Ltd,Singapore,Industrials,Freight & Logistics Services,SGD 429.97M,8.9x,-0.28,SGD 0.21,0%
125,MEWI,Mewah International Inc,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 412.68M,7.7x,-0.12,SGD 0.28,0%
126,DAIW,Daiwa House Logistics Trust Unt,Singapore,Real Estate,Residential & Commercial REITs,SGD 407.77M,9.8x,-0.14,SGD 0.59,0.9%
127,IFAR,Indofood Agri Resources Ltd,Singapore,Consumer Non-Cyclicals,Food & Tobacco,SGD 404.81M,7.8x,-0.39,SGD 0.29,0%
128,IREI,IREIT Global,Singapore,Real Estate,Residential & Commercial REITs,SGD 396.73M,-2.4x,0.01,SGD 0.29,0%
129,STRA,Straco Corporation Ltd,Singapore,Consumer Cyclicals,Hotels & Entertainment Services,SGD 393.51M,13.1x,0.05,SGD 0.46,0%
130,SIIC,SIIC Environment,Singapore,Utilities,Water & Related Utilities,SGD 391.50M,3.9x,-0.14,SGD 0.15,-2.6%
131,VAMG,Valuemax Group Ltd,Singapore,Consumer Cyclicals,Specialty Retailers,SGD 390.64M,6.4x,0.51,SGD 0.45,4.7%
132,GEOE,Geo Energy Resources Ltd,Singapore,Energy,Coal,SGD 385.50M,4.8x,-0.18,SGD 0.28,0%
133,KIML,Kimly,Singapore,Consumer Cyclicals,Hotels & Entertainment Services,SGD 384.93M,11.1x,3.34,SGD 0.31,0%
134,AEM,Aem Holdings Ltd,Singapore,Technology,Semiconductors & Semiconductor Equipment,SGD 379.84M,-26.7x,0.27,SGD 1.22,-1.6%
135,BVHS,Bonvests Holdings Ltd,Singapore,Consumer Cyclicals,Hotels & Entertainment Services,SGD 371.40M,51.4x,-0.79,SGD 0.93,0%
136,SABA,Sabana Shariah Industrial REIT,Singapore,Real Estate,Residential & Commercial REITs,SGD 365.64M,20.6x,-0.31,SGD 0.32,-1.5%
137,CHSN,China Sunsine Chemical Holdings Ltd,Singapore,Basic Materials,Chemicals,SGD 362.96M,5.4x,-0.12,SGD 0.38,0%
138,PANU,Pan United Corporation Ltd,Singapore,Basic Materials,Construction Materials,SGD 352.43M,9x,0.14,SGD 0.50,1%
139,UNIE,United Hampshire,Singapore,Real Estate,Residential & Commercial REITs,SGD 335.61M,8.4x,0.34,SGD 0.58,1.2%
140,MTHL,Metro Holdings Ltd,Singapore,Consumer Cyclicals,Diversified Retail,SGD 335.35M,22.5x,-0.56,SGD 0.41,0%
141,KPEL,Keppel Pacific Oak,Singapore,Real Estate,Residential & Commercial REITs,SGD 331.47M,-3.5x,0.01,SGD 0.32,2.1%
