1,KRKG,Krka,Ljubljana,Healthcare,Pharmaceuticals,€4.13B,12.8x,0.49,€134,0.4%
2,NLBR,Nova Ljubljanska Banka dd Ljubljana,Ljubljana,Financials,Banking Services,€2.54B,4.3x,0.09,€127,-0.4%
3,PETG,Petrol,Ljubljana,Energy,Oil & Gas,€1.19B,9.4x,0,€29,0.7%
4,ZVTG,Zavarovalnica,Ljubljana,Financials,Insurance,€824.40M,21.5x,,€36.30,1.4%
5,POSR,Pozavar0Valnic,Ljubljana,Financials,Insurance,€598.21M,8.1x,-1.15,€38.60,-0.5%
6,LKPG,Luka Koper DD,Ljubljana,Industrials,Transport Infrastructure,€555.80M,10.2x,-0.4,€39.70,2.1%
7,TLSG,Telekom Sloven,Ljubljana,Technology,Telecommunications Services,€484.15M,9.6x,0.19,€74.50,-0.7%
8,SALR,Salus Ljubljana,Ljubljana,Consumer Non-Cyclicals,Food & Drug Retailing,€209.70M,18.1x,-5.09,"€1,990",0%
9,CICG,Cinkarna Celje,Ljubljana,Basic Materials,Chemicals,€185.22M,18.1x,-0.27,€23.70,-0.4%
10,DEHG,DH dd,Ljubljana,Financials,Banking Services,€77.76M,0x,0,€135,0%
11,UKIG,Unior,Ljubljana,Basic Materials,Metals & Mining,€27.93M,28.7x,-0.33,€10.10,0%
12,DATG,Datalab,Ljubljana,Technology,Software & IT Services,€25.01M,7.1x,,€11.80,0%
13,KSFG,KS Nalozbe dd,Ljubljana,Financials,Investment Holding Companies,€9.86M,-5.5x,,€6,0%
14,SZLG,SZ ZGP Ljubljana dd,Ljubljana,Industrials,Construction & Engineering,,,,€30,0%
15,RMTG,TAB dd,Ljubljana,Consumer Cyclicals,Automobiles & Auto Parts,,,,€525,0%
