1,NPNJn,Naspers,Johannesburg,Technology,Software & IT Services,ZAR 630.67B,13.2x,-0.41,"ZAR 3,651",1%
2,FSRJ,FirstRand Ltd,Johannesburg,Financials,Banking Services,ZAR 464.36B,12.3x,1.33,ZAR 82.68,1.2%
3,SBKPp,Standard Bank 6.5%,Johannesburg,Financials,Banking Services,ZAR 385.58B,8.8x,,ZAR 0.65,0%
4,SBKJ,Standard Bank Grp,Johannesburg,Financials,Banking Services,ZAR 385.58B,8.8x,0.29,ZAR 232.24,6%
5,SBPPp,Standard Bank,Johannesburg,Financials,Banking Services,ZAR 385.58B,8.8x,,ZAR 89.80,-0.2%
6,CPIJ,Capitec Bank,Johannesburg,Financials,Banking Services,ZAR 330.01B,31.2x,1.96,"ZAR 2,826",-0.3%
7,CPIPp,Capitec Bank Pref,Johannesburg,Financials,Banking Services,ZAR 330.01B,31.2x,,ZAR 100.10,0%
8,GFIJ,Gold Fields,Johannesburg,Basic Materials,Metals & Mining,ZAR 260.58B,20.5x,-13.81,ZAR 289.36,1.3%
9,NPKPp,Nampak Prf,Johannesburg,Basic Materials,Containers & Packaging,ZAR 241.73B,-1.5x,-0.02,ZAR 0.70,0%
10,NPKJ,Nampak,Johannesburg,Basic Materials,Containers & Packaging,ZAR 241.73B,-1.5x,-8.05,ZAR 379.87,2.3%
11,VODJ,Vodacom Group,Johannesburg,Technology,Telecommunications Services,ZAR 193.08B,11.9x,-1.16,ZAR 99.51,0.2%
12,SLMJ,Sanlam Ltd,Johannesburg,Financials,Insurance,ZAR 172.41B,11.9x,0.81,ZAR 83.50,1.8%
13,AMSJ,Anglo American Platinum,Johannesburg,Basic Materials,Metals & Mining,ZAR 168.84B,14.6x,-0.23,ZAR 641.59,1.8%
14,SHPJ,Shoprite Holdings,Johannesburg,Consumer Non-Cyclicals,Food & Drug Retailing,ZAR 161.88B,26.5x,,ZAR 297.36,-1.3%
15,MTNJ,MTN Group,Johannesburg,Technology,Telecommunications Services,ZAR 155.65B,37.9x,-0.47,ZAR 86.06,1.3%
16,BIDJ,Bid Corp,Johannesburg,Consumer Non-Cyclicals,Food & Drug Retailing,ZAR 145.17B,19.5x,0.71,ZAR 431.61,-1.5%
17,NEDJ,Nedbank Group,Johannesburg,Financials,Banking Services,ZAR 136.73B,8.6x,0.69,ZAR 291.01,1.6%
18,ABGJ,Absa,Johannesburg,Financials,Banking Services,ZAR 129.80B,6.6x,-4.14,ZAR 155.89,1.8%
19,INPPRp,Investec,Johannesburg,Financials,Investment Banking & Investment Services,ZAR 121.50B,5.6x,,ZAR 83.70,0%
20,INLJ,Investec Ltd,Johannesburg,Financials,Investment Banking & Investment Services,ZAR 120.63B,5.6x,0.4,ZAR 135.80,-0.4%
21,INPRp,Investec Pref,Johannesburg,Financials,Investment Banking & Investment Services,ZAR 120.63B,5.6x,,ZAR 88.50,-1.1%
22,KIOJ,Kumba Iron Ore,Johannesburg,Basic Materials,Metals & Mining,ZAR 115.47B,5.7x,0.11,ZAR 358.42,-1.8%
23,HARJ,Harmony Gold Mining Company,Johannesburg,Basic Materials,Metals & Mining,ZAR 114.31B,12.7x,0.01,ZAR 183.71,1.9%
24,APNJ,Aspen Pharmacare Holdings,Johannesburg,Healthcare,Pharmaceuticals,ZAR 101.59B,21x,-1.36,ZAR 228.69,0.8%
25,DSBPp,Discovery,Johannesburg,Financials,Insurance,ZAR 96.81B,18.7x,,ZAR 96.21,-1.6%
26,DSYJ,Discovery Holdings,Johannesburg,Financials,Insurance,ZAR 96.81B,18.7x,-9.17,ZAR 146.39,0.3%
27,BVTJ,Bidvest Group Ltd,Johannesburg,Consumer Non-Cyclicals,Consumer Goods Conglomerates,ZAR 93.81B,15.4x,1.2,ZAR 273.65,1.3%
28,SOLJ,Sasol Ltd,Johannesburg,Basic Materials,Chemicals,ZAR 86.52B,19.2x,-0.24,ZAR 135.25,3.7%
29,RNIJ,Reinet Invest,Johannesburg,Financials,Banking Services,ZAR 85.34B,8.1x,0.02,ZAR 463.77,-0.7%
30,CLSJ,Clicks,Johannesburg,Consumer Non-Cyclicals,Food & Drug Retailing,ZAR 84.98B,32.6x,7.57,ZAR 357.87,-0.5%
31,REMJ,Remgro,Johannesburg,Financials,Investment Holding Companies,ZAR 77.38B,23.5x,2.54,ZAR 139.25,1.3%
32,PPHJ,Pepkor,Johannesburg,Consumer Cyclicals,Diversified Retail,ZAR 77B,-42.3x,0.4,ZAR 21,3.8%
