1,005930,Samsung Electronics Co,Seoul,Technology,"Computers, Phones & Household Electronics",₩512.13T,17.9x,-0.84,"₩79,400",2.9%
2,005935,Samsung Electronics Co Pref,Seoul,Technology,"Computers, Phones & Household Electronics",₩512.13T,17.9x,-0.84,"₩63,900",2.6%
3,000660,SK Hynix Inc,Seoul,Technology,Semiconductors & Semiconductor Equipment,₩128.48T,,0.26,"₩199,700",7%
4,373220,LG Energy Solution,Seoul,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",₩78.86T,63.7x,-3.49,"₩337,000",0%
5,207940,Samsung Biologics,Seoul,Healthcare,Pharmaceuticals,₩66.33T,70.6x,6,"₩931,000",-0.1%
6,005385,Hyundai Motor Co,Seoul,Consumer Cyclicals,Automobiles & Auto Parts,₩53.19T,5.9x,0.18,"₩166,300",2.6%
7,005387,Hyundai Motor Co Pref,Seoul,Consumer Cyclicals,Automobiles & Auto Parts,₩53.19T,5.9x,0.18,"₩168,000",3.2%
8,005389,Hyundai,Seoul,Consumer Cyclicals,Automobiles & Auto Parts,₩53.19T,5.9x,0.18,"₩164,200",2.2%
9,005380,Hyundai Motor,Seoul,Consumer Cyclicals,Automobiles & Auto Parts,₩53.19T,5.9x,0.18,"₩254,000",5.4%
10,000270,Kia Corp,Seoul,Consumer Cyclicals,Automobiles & Auto Parts,₩40.31T,5.5x,0.09,"₩105,800",3.4%
11,068270,Celltrion,Seoul,Healthcare,Biotechnology & Medical Research,₩40.05T,51.2x,-2.61,"₩197,700",1.6%
12,105560,KB Financial Group,Seoul,Financials,Banking Services,₩32.01T,7.8x,6.35,"₩84,100",-0.4%
13,055550,Shinhan Financial Group,Seoul,Financials,Banking Services,₩27.84T,6.6x,55.99,"₩55,600",1.1%
14,005490,POSCO Holdings,Seoul,Basic Materials,Metals & Mining,₩25.58T,,3.9,"₩331,500",-0.3%
15,035420,Naver Corp,Seoul,Technology,Software & IT Services,₩23.95T,26x,0.12,"₩157,900",0.4%
16,028260,Samsung C&T,Seoul,Industrials,Diversified Industrial Goods Wholesale,₩22.51T,11.2x,2.47,"₩144,700",3.7%
17,02826K,Samsung C and T,Seoul,Industrials,Diversified Industrial Goods Wholesale,₩22.51T,9.8x,2.47,"₩109,200",2.8%
