1,ITX,Inditex,Madrid,Consumer Cyclicals,Specialty Retailers,€141.38B,25.7x,1.18,€45.36,1%
2,IBE,Iberdrola,Madrid,Utilities,Electrical Utilities & IPPs,€76.44B,12.4x,0.28,€12.30,-0%
3,SAN,Santander,Madrid,Financials,Banking Services,€65.33B,5.9x,0.24,€4.22,3%
4,BBVA,BBVA,Madrid,Financials,Banking Services,€52.96B,6.1x,0.2,€9.18,2.5%
5,CABK,Caixabank,Madrid,Financials,Banking Services,€38.41B,7.7x,0.12,€5.29,3.5%
6,AENA,Aena,Madrid,Industrials,Transport Infrastructure,€26.33B,14.4x,0.29,€175,0.3%
7,AMA,Amadeus,Madrid,Technology,Software & IT Services,€25.20B,21.2x,0.71,€57.82,1.6%
8,CLNX,Cellnex Telecom,Madrid,Technology,Telecommunications Services,€24.04B,-43.9x,0.71,€33.97,-1.3%
9,TEF,Telefonica,Madrid,Technology,Telecommunications Services,€22.90B,-24x,0.15,€4.06,0%
10,NTGY,Naturgy Energy,Madrid,Utilities,Natural Gas Utilities,€21.78B,11x,-1.5,€22.64,-0.2%
11,ELE,Endesa,Madrid,Utilities,Electrical Utilities & IPPs,€19.23B,29x,-0.39,€18.14,-0.3%
12,REP,Repsol,Madrid,Energy,Oil & Gas,€15.11B,4.7x,0.23,€12.82,1.1%
13,PUIGb,Puig Brands,Madrid,,,€13.28B,8.7x,-0.28,€23.70,0.5%
14,ACS,ACS,Madrid,Industrials,Construction & Engineering,€10.22B,12.8x,0.95,€40.22,2.1%
15,SABE,Banco de Sabadell,Madrid,Financials,Banking Services,€9.88B,6.8x,0.13,€1.85,3.1%
16,BKT,Bankinter,Madrid,Financials,Banking Services,€6.86B,7.9x,0.29,€7.62,2.7%
17,MAP,Mapfre,Madrid,Financials,Insurance,€6.79B,7.9x,0.13,€2.21,1.8%
18,ANE,Corporacion Acciona Energias Renovables,Madrid,Utilities,Electrical Utilities & IPPs,€6.57B,34.9x,-0.48,€20.26,0%
19,MRL,Merlin Properties SA,Madrid,Real Estate,Residential & Commercial REITs,€5.97B,51.3x,0.45,€10.60,0.6%
20,GRLS,Grifols,Madrid,Healthcare,Pharmaceuticals,€5.60B,36.1x,0.01,€8.21,-1.1%
21,GRLSbn,Grifols Pref,Madrid,Healthcare,Pharmaceuticals,€5.60B,36.1x,0.01,€6.34,2.3%
22,GCO,Grupo Catalana Occidente,Madrid,Financials,Insurance,€4.66B,8.2x,3.7,€39.40,0%
23,GGC,GGC,Madrid,Real Estate,Residential & Commercial REITs,€3.69B,28.6x,1.23,€142,0%
24,LOG,Logista,Madrid,Industrials,Freight & Logistics Services,€3.57B,11.3x,0.43,€27.14,0.3%
25,ENAG,Enagas,Madrid,Energy,Oil & Gas Related Equipment and Services,€3.55B,-38.5x,0.33,€13.57,-1%
26,UNI,Unicaja Banco,Madrid,Financials,Banking Services,€3.14B,-102.3x,0.12,€1.20,2%
27,ALB,Alba SA,Madrid,Financials,Investment Banking & Investment Services,€3.10B,13.2x,-0.27,€51.40,0.8%
28,VID,Vidrala,Madrid,Basic Materials,Containers & Packaging,€3.10B,13.7x,-60.56,€95.70,0.2%
29,IDR,Indra A,Madrid,Technology,Software & IT Services,€2.90B,12.6x,0.48,€16.53,-0.1%
30,VIS,Viscofan,Madrid,Basic Materials,Containers & Packaging,€2.78B,18.9x,2.28,€61,0.2%
31,ACX,Acerinox,Madrid,Basic Materials,Metals & Mining,€2.27B,34.9x,-0.5,€9.11,0.8%
32,SCYR,Sacyr,Madrid,Industrials,Construction & Engineering,€2.15B,15.1x,,€3.12,0.4%
33,APPS,Applus Services SA,Madrid,Industrials,Professional & Commercial Services,€1.65B,-223.7x,2.67,€12.70,0%
34,ENOR,Elecnor,Madrid,Industrials,Construction & Engineering,€1.65B,1.8x,0.05,€19.50,0.4%
