1,ATCOa,Atlas Copco A,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 891.11B,26.8x,2.18,SEK 182.30,0.5%
2,INVEb,Investor B,Stockholm,Financials,Investment Holding Companies,SEK 821.92B,4.5x,0.16,SEK 293.90,1.4%
3,ATCOb,Atlas Copco B,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 785.82B,30.4x,2.18,SEK 161,0.9%
4,VOLVb,Volvo B,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 527.68B,9.5x,0.22,SEK 263.60,1.6%
5,EQTAB,EQT AB,Stockholm,Financials,Investment Banking & Investment Services,SEK 376.02B,110x,0.31,SEK 325.60,2.4%
6,ASSAb,ASSA ABLOY B,Stockholm,Consumer Cyclicals,Homebuilding & Construction Supplies,SEK 346.45B,23.5x,2.74,SEK 311.50,0.2%
7,SEBa,SEB A,Stockholm,Financials,Banking Services,SEK 272.76B,7.3x,0.59,SEK 154.20,1.4%
8,SAND,Sandvik AB,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 263.04B,20.4x,0.82,SEK 209.40,2.1%
9,HMb,H&M B,Stockholm,Consumer Cyclicals,Specialty Retailers,SEK 256.88B,23.2x,0.1,SEK 159.60,1.1%
10,SHBb,Svenska Handelsbanken B,Stockholm,Financials,Banking Services,SEK 254.24B,7.2x,0.65,SEK 128.30,-0.5%
11,ERICb,LM Ericsson B,Stockholm,Technology,Communications & Networking,SEK 244.75B,-6.8x,0.02,SEK 73.36,2.2%
12,SWEDa,Swedbank A,Stockholm,Financials,Banking Services,SEK 240.03B,6.9x,0.37,SEK 212,1.2%
13,EPIRa,Epiroc A,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 235.28B,27.6x,-2.4,SEK 195.35,1.9%
14,SAMPOsdb,Sampo plc DRC,Stockholm,Financials,Insurance,SEK 234.21B,14.9x,0.43,SEK 470,1.6%
15,ERICa,Ericsson A,Stockholm,Technology,Communications & Networking,SEK 219.96B,-6.1x,0.02,SEK 73.60,2.5%
16,EPIRb,Epiroc B,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 215.89B,25.3x,-2.4,SEK 178.60,1.8%
17,EVOG,Evolution AB,Stockholm,Consumer Cyclicals,Hotels & Entertainment Services,SEK 215.66B,17.3x,1.08,"SEK 1,025.50",1.6%
18,ESSITYa,Essity A,Stockholm,Consumer Non-Cyclicals,Personal & Household Products & Services,SEK 207.97B,10.9x,0.18,SEK 296.50,0.2%
19,ESSITYb,Essity B,Stockholm,Consumer Non-Cyclicals,Personal & Household Products & Services,SEK 207.90B,10.9x,0.18,SEK 296.10,-0.3%
20,SHBa,Svenska Handelsbanken A,Stockholm,Financials,Banking Services,SEK 204.93B,8.9x,0.65,SEK 103.45,0.2%
21,ALFA,Alfa Laval AB,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 188.06B,28.1x,1.21,SEK 455.40,0.9%
22,INDUc,Industrivarden C,Stockholm,Financials,Investment Holding Companies,SEK 151.42B,6.7x,-0.49,SEK 355.30,1.4%
23,LIFCOb,Lifco publ AB,Stockholm,Consumer Non-Cyclicals,Consumer Goods Conglomerates,SEK 140.53B,43.5x,7.26,SEK 309.40,0.6%
24,SAGAb,Sagax B,Stockholm,Real Estate,Real Estate Operations,SEK 125.47B,6.5x,0.23,SEK 270,0.8%
25,SAGAa,Sagax AB,Stockholm,Real Estate,Real Estate Operations,SEK 124.54B,6.5x,0.23,SEK 270,1.9%
26,TELIA,Telia Company,Stockholm,Technology,Telecommunications Services,SEK 122.21B,29.1x,2.79,SEK 31.09,-0.8%
27,AKELd,Akelius Residential Property AB,Stockholm,Real Estate,Real Estate Operations,SEK 115.96B,-36.7x,-0.85,SEK 19,-0.8%
28,INDT,Indutrade AB,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 111.99B,41.4x,-8.17,SEK 308.20,0.1%
29,SOBIV,Swedish Orphan Biovitrum,Stockholm,Healthcare,Pharmaceuticals,SEK 104.74B,48x,-1.16,SEK 304.80,4.2%
30,STEa,Stora Enso A,Stockholm,Basic Materials,Containers & Packaging,SEK 101.34B,-48.1x,0.37,SEK 129.50,0.8%
31,STEr,Stora Enso R,Stockholm,Basic Materials,Containers & Packaging,SEK 100.94B,-48.1x,0.37,SEK 127.70,2.2%
32,SCAb,SCA B,Stockholm,Basic Materials,Paper & Forest Products,SEK 96.50B,29.4x,-0.84,SEK 138.40,1.2%
33,NIBEb,NIBE Industrier B,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 95.96B,36.2x,-0.73,SEK 47.40,1%
34,BALDb,Fastighets AB Balder B,Stockholm,Real Estate,Real Estate Operations,SEK 93.62B,-16.4x,0.01,SEK 79.98,-0.8%
35,SKFa,SKF A,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 87.06B,15.3x,-2.22,SEK 191.40,2.2%
36,SKFb,SKF B,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 87.06B,15.3x,-2.22,SEK 191.10,1.5%
37,BEIJb,Beijer Ref,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 86B,35.3x,1.37,SEK 169.40,0.1%
38,VOLCARb,Volvo Car AB,Stockholm,Consumer Cyclicals,Automobiles & Auto Parts,SEK 84.81B,6.6x,0.11,SEK 28.64,0.6%
39,ALIVsdb,Autoliv Inc. SDB,Stockholm,Consumer Cyclicals,Automobiles & Auto Parts,SEK 84.02B,13.2x,0.18,"SEK 1,043.80",2%
40,BOL,Boliden,Stockholm,Basic Materials,Metals & Mining,SEK 83.38B,10.7x,-1.51,SEK 305,2%
41,ADDTb,Addtech,Stockholm,Consumer Non-Cyclicals,Consumer Goods Conglomerates,SEK 83.25B,50.4x,4.09,SEK 323,-0.5%
42,SKAb,Skanska B,Stockholm,Industrials,Construction & Engineering,SEK 82.32B,17.7x,-0.42,SEK 200.70,0.2%
43,AAK,AAK,Stockholm,Consumer Non-Cyclicals,Food & Tobacco,SEK 80.41B,23.5x,0.54,SEK 309.40,0.8%
44,TEL2a,Tele2 AB A,Stockholm,Technology,Telecommunications Services,SEK 76.80B,20.2x,-3.87,SEK 110,0%
45,TEL2b,Tele2 AB,Stockholm,Technology,Telecommunications Services,SEK 76.39B,20.3x,-3.87,SEK 110.25,-1.2%
46,SECUb,Securitas B,Stockholm,Industrials,Professional & Commercial Services,SEK 65.11B,42.9x,-0.63,SEK 113.70,0.3%
47,HOLMa,Holmen,Stockholm,Basic Materials,Paper & Forest Products,SEK 63.47B,20.7x,-0.45,SEK 410,3.3%
48,SWECb,SWECO B,Stockholm,Industrials,Construction & Engineering,SEK 58.36B,32.6x,26.86,SEK 162.20,-1.5%
49,SWECa,SWECO A,Stockholm,Industrials,Construction & Engineering,SEK 58.10B,32.8x,26.86,SEK 161.50,-1.5%
50,SAVE,Nordnet AB,Stockholm,Financials,Banking Services,SEK 54.25B,21.6x,0.68,SEK 222,2.8%
51,SSABa,SSAB A,Stockholm,Basic Materials,Metals & Mining,SEK 49.39B,4.8x,0.03,SEK 50.78,0.8%
52,SECTb,Sectra,Stockholm,Healthcare,Healthcare Equipment & Supplies,SEK 46.82B,109.4x,7.55,SEK 242.80,-0.1%
53,TIGOsdb,Millicom DRC,Stockholm,Technology,Telecommunications Services,SEK 46.23B,41.1x,0.03,SEK 268.80,1.4%
54,CAMX,Camurus AB,Stockholm,Healthcare,Pharmaceuticals,SEK 40.96B,177.1x,-3.79,SEK 696.50,2.4%
55,HPOLb,HEXPOL B,Stockholm,Basic Materials,Chemicals,SEK 38.58B,15.5x,-3.95,SEK 112,1.3%
56,MTRS,Munters,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 38.44B,44.7x,3.93,SEK 211.20,2.7%
57,AVANZ,Avanza Bank,Stockholm,Financials,Investment Banking & Investment Services,SEK 38.35B,18.5x,2.12,SEK 243.30,1.2%
58,HEM,Hemnet Group AB,Stockholm,Technology,Software & IT Services,SEK 37.57B,94.7x,1.75,SEK 386.80,-1.2%
59,MYCR,Mycronic publ AB,Stockholm,Technology,Semiconductors & Semiconductor Equipment,SEK 36.68B,24.6x,0.2,SEK 375.80,1.6%
60,LAGRb,Lagercrantz B,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 35.79B,40.2x,3.05,SEK 173.50,1.9%
61,FNOX,Fortnox,Stockholm,Technology,Software & IT Services,SEK 35.24B,54.2x,1.27,SEK 57.62,3.5%
62,WALLb,Wallenstam B,Stockholm,Real Estate,Real Estate Operations,SEK 35.12B,274.1x,2.49,SEK 53.40,-0.6%
63,PANDXb,Pandox AB,Stockholm,Real Estate,Real Estate Operations,SEK 35.08B,70.9x,-0.98,SEK 190,-0.6%
64,WIHL,Wihlborgs Fastigheter,Stockholm,Real Estate,Real Estate Operations,SEK 33.23B,720x,-7.47,SEK 108.10,-1.1%
65,THULE,Thule Group AB,Stockholm,Consumer Cyclicals,Automobiles & Auto Parts,SEK 30.73B,26.8x,1.23,SEK 289.80,0.9%
66,VITR,Vitrolife,Stockholm,Healthcare,Healthcare Equipment & Supplies,SEK 30.33B,-8x,0.01,SEK 222.60,0.7%
67,ELUXa,Electrolux A,Stockholm,Consumer Cyclicals,Household Goods,SEK 29.70B,-4.7x,0.11,SEK 110,5.8%
68,CATE,Catena AB,Stockholm,Real Estate,Real Estate Operations,SEK 29.63B,20.1x,0.02,SEK 541,-1.6%
69,EMBRACb,Embracer Group,Stockholm,Technology,Software & IT Services,SEK 29.32B,-1.4x,0,SEK 21.70,-7.2%
70,BURE,Bure Equity AB,Stockholm,Financials,Investment Holding Companies,SEK 28.83B,5.4x,0,SEK 388.40,1.6%
71,ATRLJb,Atrium Ljungberg B,Stockholm,Real Estate,Real Estate Operations,SEK 28.82B,-112.6x,1.73,SEK 228,-0.7%
72,KINDsdb,Kindred Group,Stockholm,Consumer Cyclicals,Hotels & Entertainment Services,SEK 27.37B,35.3x,-0.63,SEK 127,0.2%
73,MCOVb,Medicover,Stockholm,Healthcare,Healthcare Providers & Services,SEK 27.03B,101.3x,0.32,SEK 180.80,0.6%
74,BILL,BillerudKorsnas,Stockholm,Basic Materials,Containers & Packaging,SEK 26.86B,38.3x,-0.52,SEK 107.40,1.8%
75,ELUXb,Electrolux B,Stockholm,Consumer Cyclicals,Household Goods,SEK 25.27B,-5.6x,0.11,SEK 93.10,5.1%
76,NYFO,Nyfosa,Stockholm,Real Estate,Real Estate Operations,SEK 23.84B,-34.9x,-1.79,SEK 114.60,-0.6%
77,SINCH,Sinch AB,Stockholm,Technology,Software & IT Services,SEK 22.48B,114.7x,1.1,SEK 26.68,2.5%
78,DOMETIC,Dometic Group publ AB,Stockholm,Consumer Cyclicals,Automobiles & Auto Parts,SEK 22.19B,18.8x,-1.67,SEK 69.45,1.2%
79,CALTX,Calliditas Therapeutics,Stockholm,Healthcare,Pharmaceuticals,SEK 21.33B,-46x,0.65,SEK 206.60,0.1%
80,AFRY,Afry AB,Stockholm,Industrials,Professional & Commercial Services,SEK 21.05B,17.6x,-11.57,SEK 186,0.8%
81,HMSN,HMS Networks,Stockholm,Technology,Communications & Networking,SEK 20.80B,46.2x,-1.74,SEK 415.20,2.8%
82,YUBICO,Yubico AB,Stockholm,Technology,Integrated Hardware & Software,SEK 20.58B,"4,694.2x",-2.18,SEK 300.50,25.7%
83,VITb,Vitec Software B,Stockholm,Technology,Software & IT Services,SEK 20.25B,54.4x,2.66,SEK 537,1.8%
84,BONEX,Bonesupport,Stockholm,Healthcare,Pharmaceuticals,SEK 18.67B,64.2x,0.06,SEK 284.40,2.7%
85,ALIFb,AddLife,Stockholm,Healthcare,Biotechnology & Medical Research,SEK 18.50B,157x,-2.29,SEK 152,0.3%
86,BETSb,Betsson,Stockholm,Consumer Cyclicals,Hotels & Entertainment Services,SEK 17.88B,8.8x,0.7,SEK 129.24,0.7%
87,EPROb,Electrolux Prof,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 17.88B,26.5x,-1.8,SEK 64.70,4%
88,VIMIAN,Vimian Group AB,Stockholm,Healthcare,Pharmaceuticals,SEK 17.84B,116.7x,1.08,SEK 41,20.1%
89,ALLEI,Alleima AB,Stockholm,Basic Materials,Metals & Mining,SEK 17.49B,15.8x,-2.83,SEK 70.30,0.6%
90,BRAV,Bravida Holding AB,Stockholm,Industrials,Construction & Engineering,SEK 17.16B,15.6x,-0.9,SEK 84.05,1.1%
91,XVIVO,Xvivo Perfusion AB,Stockholm,Healthcare,Healthcare Equipment & Supplies,SEK 16.47B,133.1x,0.41,SEK 525,3.4%
92,OX2SE,OX2,Stockholm,Energy,Renewable Energy,SEK 16.13B,34.1x,-0.63,SEK 59.30,0.2%
93,BIOT,Biotage AB,Stockholm,Healthcare,Healthcare Equipment & Supplies,SEK 15.50B,61.8x,-27.37,SEK 192.80,2.1%
94,BUFAB,Bufab Holding AB,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 15.43B,33.5x,-0.94,SEK 409.40,1.4%
95,ENGCONb,Engcon AB,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 15.30B,106.4x,-1.71,SEK 102.20,1.4%
96,SYSR,Systemair AB,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 15.29B,23.7x,-0.65,SEK 73.50,-0.7%
97,PDXI,Paradox Interactive,Stockholm,Technology,Software & IT Services,SEK 15.21B,47.1x,-0.83,SEK 144.50,3.6%
98,NP3,NP3 Fastigheter AB,Stockholm,Real Estate,Real Estate Operations,SEK 15.17B,57.3x,3.43,SEK 264,0.4%
99,NP3pref,NP3 Fastigheter Pref,Stockholm,Real Estate,Real Estate Operations,SEK 15.17B,57.3x,3.43,SEK 29.45,-0.2%
100,FPARa,FastPartner,Stockholm,Real Estate,Real Estate Operations,SEK 15.11B,-10.4x,0,SEK 76.10,-0.9%
101,FPARd,FastPartner AB,Stockholm,Real Estate,Real Estate Operations,SEK 15.11B,-10.4x,0,SEK 71.10,1.1%
102,BETCO,Better Collective,Stockholm,Technology,Software & IT Services,SEK 15.04B,44.1x,-0.92,SEK 240,1%
103,NEWAb,New Wave Group B,Stockholm,Consumer Cyclicals,Textiles & Apparel,SEK 14.93B,14.6x,-0.79,SEK 112.70,4.5%
104,SAGAd,Sagax D,Stockholm,Real Estate,Real Estate Operations,SEK 14.75B,55.1x,0.23,SEK 31.75,0.3%
105,NOLAb,Nolato B,Stockholm,Basic Materials,Chemicals,SEK 14.60B,30.8x,-1.49,SEK 54.20,0.4%
106,ARIONsdb,Arion banki hf DRC,Stockholm,Financials,Banking Services,SEK 14.39B,8.8x,-6.34,SEK 10.25,0%
107,ANODb,AddNode B,Stockholm,Technology,Software & IT Services,SEK 14.12B,44.7x,-5.43,SEK 105.90,2.8%
108,INSTAL,Instalco Intressenter,Stockholm,Industrials,Construction & Engineering,SEK 13.89B,24.2x,4.66,SEK 52.90,2.9%
109,SHOTE,Scandic Hotels Group AB,Stockholm,Consumer Cyclicals,Hotels & Entertainment Services,SEK 13.60B,22.7x,-14.36,SEK 65.85,2.7%
110,BIOAb,BioArctic,Stockholm,Healthcare,Biotechnology & Medical Research,SEK 13.52B,-111.2x,0.83,SEK 153.20,1.3%
111,NCAB,NCAB Group,Stockholm,Technology,Semiconductors & Semiconductor Equipment,SEK 13.48B,39.5x,-1.81,SEK 72.10,0.8%
112,TROAX,Troax Group,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 13.26B,34.3x,-5.29,SEK 220,-2.6%
113,GRANG,Granges,Stockholm,Basic Materials,Metals & Mining,SEK 13.15B,13.3x,0.43,SEK 123.70,1.7%
114,STORb,Storskogen AB,Stockholm,Consumer Non-Cyclicals,Consumer Goods Conglomerates,SEK 12.96B,32x,-0.41,SEK 9.27,20.6%
115,MIPS,MIPS,Stockholm,Consumer Cyclicals,Leisure Products,SEK 12.93B,157.4x,-91.88,SEK 488.80,0.9%
116,SBBd,Samhallsbyggnadsbolaget I D,Stockholm,Real Estate,Real Estate Operations,SEK 12.86B,-0.6x,-0.23,SEK 7.78,0.5%
117,AQ,AQ AB,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 12.57B,18.8x,0.97,SEK 138.38,1.4%
118,BIOGb,BioGaia B,Stockholm,Healthcare,Pharmaceuticals,SEK 12.56B,31.3x,-9.7,SEK 124.80,-0.1%
119,BEIAb,Beijer Alma,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 12.29B,22.8x,-0.6,SEK 204,1%
120,DIOS,Dios Fastigheter,Stockholm,Real Estate,Real Estate Operations,SEK 12.13B,-54.2x,-1,SEK 85.25,-0.8%
121,SKISb,SkiStar,Stockholm,Consumer Cyclicals,Hotels & Entertainment Services,SEK 12.04B,22.3x,0.62,SEK 153.20,1.6%
122,SDIPpref,Sdiptech AB  Prf,Stockholm,,,SEK 11.99B,27.8x,-6.31,SEK 122.50,-0.4%
123,SDIPb,Sdiptech,Stockholm,Consumer Non-Cyclicals,Consumer Goods Conglomerates,SEK 11.99B,27.8x,-6.31,SEK 315.20,1.1%
124,ALIG,Alimak Hek Group AB,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 11.98B,24.5x,-0.57,SEK 113,0.4%
125,PLAZb,Platzer Fastigheter Holding,Stockholm,Real Estate,Real Estate Operations,SEK 11.96B,-24.6x,1.13,SEK 99.40,-1.2%
126,TRUEb,Truecaller AB,Stockholm,Technology,Software & IT Services,SEK 11.73B,24.1x,-3.25,SEK 35,3%
127,BILIa,Bilia,Stockholm,Consumer Cyclicals,Specialty Retailers,SEK 11.65B,14.9x,-0.46,SEK 126.40,1.4%
128,COREb,Corem Property,Stockholm,Real Estate,Real Estate Operations,SEK 11.61B,-2.1x,-0.17,SEK 9.78,-0.9%
129,COREpref,Corem Property,Stockholm,Real Estate,Real Estate Operations,SEK 11.61B,-2.1x,-0.17,SEK 254.50,-0.2%
130,COREd,Corem Property Group AB,Stockholm,Real Estate,Real Estate Operations,SEK 11.61B,-2.1x,-0.17,SEK 252,0.6%
131,COREa,Corem Property,Stockholm,Real Estate,Real Estate Operations,SEK 11.60B,-2.1x,-0.17,SEK 9.90,-0.8%
132,FAG,Fagerhult,Stockholm,Consumer Cyclicals,Homebuilding & Construction Supplies,SEK 11.36B,22x,-1.45,SEK 64.20,0.6%
133,RATOa,Ratos A,Stockholm,Financials,Investment Banking & Investment Services,SEK 11.30B,8.8x,0.11,SEK 36.30,1.4%
134,HTRO,Hexatronic Group AB,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 11.12B,21.1x,-0.48,SEK 54.22,2.4%
135,ARJOb,Arjo,Stockholm,Healthcare,Healthcare Equipment & Supplies,SEK 11.11B,21.6x,0.74,SEK 40.70,-0.1%
136,IVSO,Invisio Communications AB,Stockholm,Industrials,Aerospace & Defense,SEK 10.68B,54.1x,1.34,SEK 237.50,0.4%
137,RUSTA,Rusta AB,Stockholm,Consumer Cyclicals,Diversified Retail,SEK 10.58B,28.9x,0.45,SEK 71.40,2.2%
138,VBGb,VBG GROUP B,Stockholm,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",SEK 10.55B,16.2x,0.32,SEK 421.50,0.7%
139,CLASb,Clas Ohlson B,Stockholm,Consumer Cyclicals,Specialty Retailers,SEK 10.43B,20.5x,0.11,SEK 164.20,0.4%
140,IMPsdba,Implantica AG,Stockholm,Healthcare,Healthcare Equipment & Supplies,SEK 10.40B,-33x,4.24,SEK 39.20,6.7%
