1,RO,Roche Holding,Switzerland,Healthcare,Pharmaceuticals,CHF 241.27B,21.2x,-6.46,CHF 303,0.5%
2,NESNEE,Nestle,Switzerland,Consumer Non-Cyclicals,Food & Tobacco,CHF 235.55B,21x,1.15,CHF 89.86,0.8%
3,NESN,Nestle,Switzerland,Consumer Non-Cyclicals,Food & Tobacco,CHF 235.08B,21x,1.15,CHF 89.28,-0%
4,ROG,Roche Holding Participation,Switzerland,Healthcare,Pharmaceuticals,CHF 224.77B,22.7x,-6.46,CHF 281.70,0.2%
5,NOVNEE,Novartis,Switzerland,Healthcare,Pharmaceuticals,CHF 200.33B,14.4x,0.19,CHF 99.17,1.2%
6,NOVN,Novartis,Switzerland,Healthcare,Pharmaceuticals,CHF 200.33B,14.4x,0.19,CHF 98.77,0.5%
7,ABBNE,Abb Ltd 2L,Switzerland,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",CHF 87.24B,26.3x,2.06,CHF 47.32,1.6%
8,ABBN,ABB,Switzerland,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",CHF 87.24B,26.3x,2.06,CHF 47.22,1.6%
9,UBSG,UBS Group,Switzerland,Financials,Investment Banking & Investment Services,CHF 84.10B,40.7x,0.01,CHF 26.18,-1%
10,UBSGE2,UBS Group,Switzerland,Financials,Investment Banking & Investment Services,CHF 84.10B,40.7x,0.01,CHF 26.18,-1%
11,CFR,Richemont,Switzerland,Consumer Cyclicals,Textiles & Apparel,CHF 78.55B,33.9x,0.03,CHF 133.10,2.6%
12,ZURN,Zurich Insurance Group,Switzerland,Financials,Insurance,CHF 69.12B,16.3x,3.29,CHF 480.10,1.3%
13,ZURNE,Zurich Insurance,Switzerland,,Insurance,CHF 69.12B,16.3x,0.75,CHF 480.70,1.4%
14,SIKA,Sika,Switzerland,Basic Materials,Chemicals,CHF 41.10B,33.2x,1.32,CHF 256.50,2%
15,ALCC,Alcon,Switzerland,Healthcare,Healthcare Equipment & Supplies,CHF 40.63B,44.4x,0.21,CHF 82.16,1.9%
16,LONNE,Lonza Group,Switzerland,Healthcare,Biotechnology & Medical Research,CHF 39.84B,58x,-1.45,CHF 551.40,0.2%
17,LONN,Lonza Group,Switzerland,Healthcare,Biotechnology & Medical Research,CHF 39.84B,58x,-1.45,CHF 551.40,0.2%
18,GIVN,Givaudan,Switzerland,Basic Materials,Chemicals,CHF 38.52B,37.3x,1.95,"CHF 4,174",0.3%
19,SRENH,Swiss Re,Switzerland,Financials,Insurance,CHF 31.48B,9.9x,0.06,CHF 108.55,2.3%
20,PGHN,Partners Group,Switzerland,Financials,Investment Banking & Investment Services,CHF 30.83B,30.6x,-21.07,"CHF 1,186",2.2%
21,KNIN,Kuehne & Nagel,Switzerland,Industrials,Freight & Logistics Services,CHF 30.56B,27x,-0.63,CHF 258,0.4%
22,SCMN,Swisscom,Switzerland,Technology,Telecommunications Services,CHF 27.40B,16.1x,8.07,CHF 528.50,-0.7%
23,LISPE,Chocoladefabriken Lind,Switzerland,Consumer Non-Cyclicals,Food & Tobacco,CHF 25.26B,36.2x,3.76,"CHF 10,970",-0.3%
24,LISNE,Chocoladefabriken Lindt Spruengli,Switzerland,Consumer Non-Cyclicals,Food & Tobacco,CHF 25.26B,36.2x,3.76,"CHF 108,600",-0.2%
25,LISN,Lindt & Spruengli N,Switzerland,Consumer Non-Cyclicals,Food & Tobacco,CHF 24.95B,3.7x,3.76,"CHF 108,200",-0.4%
26,SCHP,Schindler Ps,Switzerland,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",CHF 24.80B,26.9x,1.51,CHF 229.80,0.2%
27,SCHN,Schindler Holding,Switzerland,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",CHF 24.25B,27.5x,1.51,CHF 224.50,0%
28,STMN,Straumann Holding AG,Switzerland,Healthcare,Healthcare Equipment & Supplies,CHF 20.06B,81.8x,-1.67,CHF 126.45,0.6%
29,SLHN,Swiss Life Holding,Switzerland,Financials,Insurance,CHF 18.74B,18x,-4.02,CHF 667.80,0.8%
30,GALD,Galderma,Switzerland,Consumer Non-Cyclicals,Personal & Household Products & Services,CHF 18.44B,"-31,453.4x",,CHF 80.24,3.5%
31,SGSN,SGS,Switzerland,Industrials,Professional & Commercial Services,CHF 17.77B,31.8x,-4.93,CHF 93.68,0.9%
32,SOON,Sonova H Ag,Switzerland,Healthcare,Healthcare Equipment & Supplies,CHF 17.31B,28.8x,-4.48,CHF 290.10,0.8%
33,GEBN,Geberit,Switzerland,Consumer Cyclicals,Homebuilding & Construction Supplies,CHF 17.24B,29.2x,-2.19,CHF 517.80,-2%
34,SOONE,Sonova Holding,Switzerland,Healthcare,Healthcare Equipment & Supplies,CHF 17.16B,26.3x,-4.48,CHF 228.60,0%
35,EMSN,Ems Chemie Hld,Switzerland,Basic Materials,Chemicals,CHF 16.41B,35.9x,-2.58,CHF 701.50,1.2%
36,SDZ,Sandoz,Switzerland,Healthcare,Pharmaceuticals,CHF 16.13B,"-2,225.7x",21.94,CHF 37.27,-0.7%
