1,2330,Taiwan Semicon,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$24.58T,26.6x,-5.74,NT$948,0%
2,2317,Hon Hai Precision,Taiwan,Technology,Electronic Equipment & Parts,NT$2.57T,17.1x,0.72,NT$185.50,0%
3,2454,MediaTek,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$1.89T,18.6x,0.76,"NT$1,185",0%
4,2881A,Fubon Financial Pref,Taiwan,Financials,Insurance,NT$1.16T,14.3x,,NT$61.40,0%
5,2881B,Fubon Financial Pref B,Taiwan,Financials,Insurance,NT$1.16T,15.1x,0.02,NT$58.20,0%
6,2881,Fubon Financial,Taiwan,Financials,Insurance,NT$1.16T,14.3x,0.02,NT$89.30,0%
7,2881C,Fubon Financial Holding Prf,Taiwan,Financials,Insurance,NT$1.16T,15.1x,0.02,NT$51,0%
8,2308,Delta Electronics,Taiwan,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",NT$1.06T,30.4x,,NT$409,0%
9,2382,QCI,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$1.04T,20.5x,0.41,NT$271,0%
10,2412,CHT,Taiwan,Technology,Telecommunications Services,NT$950.29B,25.7x,-15.75,NT$122.50,0%
11,2882,Cathay Holdings,Taiwan,Financials,Insurance,NT$908.02B,11.4x,0.01,NT$61.90,0%
12,2882A,Cathay Financial Pref A,Taiwan,Financials,Insurance,NT$908.02B,11.4x,0.01,NT$60.10,0%
13,2303,UMC Corp,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$685.31B,12.8x,-0.37,NT$55.70,0%
14,2891B,CTBC Financial Pref,Taiwan,Financials,Banking Services,NT$681.86B,10.9x,0.08,NT$59.90,0%
15,2891,CTBC,Taiwan,Financials,Banking Services,NT$681.86B,10.9x,0.08,NT$34.75,0%
16,3711,ASE Industrial,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$673.49B,20.2x,-0.6,NT$156,0%
17,6505,FPCC,Taiwan,Energy,Oil & Gas,NT$589.66B,22.8x,0.07,NT$61.90,0%
18,2886,Mega FHC,Taiwan,Financials,Banking Services,NT$577.02B,16.8x,0.36,NT$38.90,0%
19,1216,Uni-President,Taiwan,Consumer Non-Cyclicals,Food & Tobacco,NT$469.90B,25.1x,,NT$82.70,0%
20,2884,E.S.F.H,Taiwan,Financials,Banking Services,NT$435.40B,19.6x,0.99,NT$27.25,0%
21,2885,Yuanta Group,Taiwan,Financials,Investment Banking & Investment Services,NT$414.17B,13.8x,0.31,NT$32,0%
22,5880,TCFHC,Taiwan,Financials,Banking Services,NT$393.55B,22.3x,-1.41,NT$25.85,0%
23,2603,EMC Taiwan,Taiwan,Industrials,Freight & Logistics Services,NT$390.27B,5.4x,-0.12,NT$181.50,0%
24,3008,LARGAN,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$379.05B,17x,1.34,"NT$2,840",0%
25,2357,Asustek,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$378.81B,11.5x,0.01,NT$510,0%
26,2892,FFHC,Taiwan,Financials,Banking Services,NT$378.78B,16.6x,6.41,NT$27,0%
27,1303,Nan Ya Plastics,Taiwan,Basic Materials,Chemicals,NT$375.52B,50.2x,,NT$47.35,0%
28,2207,Hotai Motor,Taiwan,Consumer Cyclicals,Specialty Retailers,NT$359.89B,16x,0.06,NT$646,0%
29,2880,HNFHC,Taiwan,Financials,Banking Services,NT$348.61B,15.7x,0.84,NT$25.30,0%
30,2002,China Steel,Taiwan,Basic Materials,Metals & Mining,NT$346.16B,114.7x,-2.17,NT$22.70,0%
31,2002A,China Steel Pref,Taiwan,Basic Materials,Metals & Mining,NT$346.16B,114.7x,-2.18,NT$42.85,0%
32,6669,Wiwynn,Taiwan,Technology,"Computers, Phones & Household Electronics",NT$342.69B,22.1x,,"NT$1,960",0%
33,1301,Formosa Plastics,Taiwan,Basic Materials,Chemicals,NT$339.93B,64.2x,,NT$53.40,0%
34,2890,SinoPac Holdings,Taiwan,Financials,Banking Services,NT$333.81B,15.1x,0.54,NT$26.95,0%
35,3045,TWM,Taiwan,Technology,Telecommunications Services,NT$329.67B,24.8x,2.48,NT$109,0%
36,8069,E Ink,TPEX,Technology,Electronic Equipment & Parts,NT$325.02B,46.5x,-1.47,NT$284,0%
37,3034,Novatek Micro,Taiwan,Technology,Semiconductors & Semiconductor Equipment,NT$321.90B,14.5x,1.35,NT$529,0%
38,4904,Far EasTone,Taiwan,Technology,Telecommunications Services,NT$319.10B,25.9x,2.77,NT$88.50,0%
39,2327,Yageo,Taiwan,Technology,Electronic Equipment & Parts,NT$312.30B,16.3x,3.81,NT$623.52,0%
