1,TBL,Tanzania Breweries,Dar Es Salaam,Consumer Non-Cyclicals,Beverages,TZS 3.01T,23.8x,-2.26,"TZS 10,400",0%
2,NMB,NMB Bank,Dar Es Salaam,Financials,Banking Services,TZS 2.75T,4.6x,0.63,"TZS 5,500",1.9%
3,CRDB,CRDB Bank PLC,Dar Es Salaam,Financials,Banking Services,TZS 1.78T,3.4x,0.07,TZS 680,1.5%
4,VODA,Vodacom Tanzania,Dar Es Salaam,Technology,Telecommunications Services,TZS 1.66T,21.8x,,TZS 740,0%
5,TCC,Tanzania Cigarette,Dar Es Salaam,Consumer Non-Cyclicals,Food & Tobacco,TZS 1.62T,21.1x,-30.47,"TZS 16,200",0%
6,TPCC,Tanzania Cement,Dar Es Salaam,Basic Materials,Construction Materials,TZS 683.71B,6.9x,3.77,"TZS 3,800",-2.6%
7,TCCL,Tanga Cement,Dar Es Salaam,Basic Materials,Construction Materials,TZS 107.05B,,,"TZS 1,700",0%
8,DSE,Dar es Salaam SE,Dar Es Salaam,Financials,Investment Banking & Investment Services,TZS 58.61B,10.3x,0.38,"TZS 2,460",0%
9,SWALA,Swala Oil & Gas,Dar Es Salaam,Energy,Oil & Gas,TZS 47.79B,12.1x,,TZS 450,0%
10,TOL,Tol Gases,Dar Es Salaam,Basic Materials,Chemicals,TZS 40.25B,14.9x,-0.67,TZS 700,0%
11,SWIS,Swissport Tanzania,Dar Es Salaam,Industrials,Transport Infrastructure,TZS 36B,9.7x,0.23,"TZS 1,000",0%
12,MCB,Mwalimummercial Bank,Dar Es Salaam,Financials,Banking Services,TZS 18.55B,"1,690x",16.82,TZS 300,0%
13,AFRIPRISE,Afriprise Investment,Dar Es Salaam,Financials,Investment Banking & Investment Services,TZS 17.17B,10.3x,-0.74,TZS 235,0%
14,DCB,DCB Commercial Bank,Dar Es Salaam,Financials,Banking Services,TZS 11.72B,-3.2x,,TZS 120,9.1%
15,MBP,Maendeleo Bank,Dar Es Salaam,Financials,Banking Services,TZS 8.50B,4.8x,0.12,TZS 305,0%
16,YETU,Yetu Microfinance,Dar Es Salaam,Financials,Banking Services,TZS 6.18B,-5.5x,,TZS 510,6.3%
17,TTP,Tatepa Ltd,Dar Es Salaam,Consumer Non-Cyclicals,Food & Tobacco,TZS 2.05B,-1.9x,,TZS 110,0%
