1,DELTA,Delta Electronics Thailand,Thailand,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",THB 1.29T,61.6x,2.27,THB 103.50,1%
2,DELTA_n,Delta Electronics Thailand DRC,Thailand,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",THB 1.25T,61.6x,2.27,THB 103.50,1%
3,PTT_n,PTT DRC,Thailand,Energy,Oil & Gas,THB 971.14B,7.6x,0.43,THB 34,0%
4,PTT,PTT PCL,Thailand,Energy,Oil & Gas,THB 971.14B,7.5x,0.43,THB 34,0%
5,PTT_f,PTT F,Thailand,Energy,Oil & Gas,THB 964B,7.6x,0.43,THB 33.75,0%
6,AOT,Airports of Thailand,Thailand,Industrials,Transport Infrastructure,THB 807.14B,96x,0.03,THB 56.50,1.4%
7,AOT_f,Airports of Thailand F,Thailand,Industrials,Transport Infrastructure,THB 792.86B,97.8x,0.03,THB 55.50,0%
8,AOT_n,Airports of Thailand DRC,Thailand,Industrials,Transport Infrastructure,THB 792.86B,96x,0.03,THB 56.50,1.4%
9,ADVANC,Advanced Info,Thailand,Technology,Telecommunications Services,THB 719.76B,22.5x,1.28,THB 242,-0.8%
10,ADVANC_n,Advanced Info Service DRC,Thailand,Technology,Telecommunications Services,THB 719.76B,22.5x,1.28,THB 242,-0.8%
11,PTTEP,PTT Exploration,Thailand,Energy,Oil & Gas,THB 573.66B,7.4x,-25.2,THB 144.50,0.4%
12,PTTEP_n,PTT Exploration DRC,Thailand,Energy,Oil & Gas,THB 573.66B,7.4x,-25.2,THB 144.50,0.4%
13,GULF,Gulf Energy,Thailand,Utilities,Electrical Utilities & IPPs,THB 554.39B,34x,1.44,THB 47.25,-0.5%
14,GULF_n,Gulf Energy DRC,Thailand,Utilities,Electrical Utilities & IPPs,THB 554.39B,34x,1.46,THB 47.25,-0.5%
15,CPALL,CP All PCL,Thailand,Consumer Non-Cyclicals,Food & Drug Retailing,THB 503.05B,22.9x,0.49,THB 56,0%
16,CPALL_n,CP All DRC,Thailand,Consumer Non-Cyclicals,Food & Drug Retailing,THB 503.05B,22.9x,0.49,THB 56,0%
17,BDMS,Bangkok Dusit Medical,Thailand,Healthcare,Healthcare Providers & Services,THB 421.14B,27.3x,1.58,THB 26.50,0%
18,BDMS_n,Bangkok Dusit Medical DRC,Thailand,Healthcare,Healthcare Providers & Services,THB 417.17B,27.3x,1.58,THB 26.50,0%
19,BDMS_f,Bangkok Dusit Medical F,Thailand,Healthcare,Healthcare Providers & Services,THB 417.17B,27.3x,1.58,THB 26.25,0%
20,TRUE,True Corp,Thailand,Technology,Telecommunications Services,THB 348.98B,-18.9x,-1.1,THB 10.10,-2.9%
21,SCB_n,SCB X PCL DRC,Thailand,Financials,Banking Services,THB 345.13B,8.3x,2.05,THB 103.50,1%
22,SCB,SCB X PCL,Thailand,Financials,Banking Services,THB 345.13B,8.3x,2.05,THB 103.50,1%
23,KBANK_f,Kasikornbank F,Thailand,Financials,Banking Services,THB 315.12B,6.7x,0.21,THB 133,2.3%
24,KBANK,Kasikornbank,Thailand,Financials,Banking Services,THB 315.12B,6.7x,0.21,THB 133,1.9%
25,KBANK_n,Kasikornbank DRC,Thailand,Financials,Banking Services,THB 315.12B,6.7x,0.21,THB 133,1.9%
26,CPAXT,CP Axtra PCL,Thailand,Consumer Cyclicals,Diversified Retail,THB 298.89B,31.1x,1.35,THB 28.25,1.8%
27,INTUCH,Intouch Holdings,Thailand,Technology,Telecommunications Services,THB 267.76B,18.7x,0.61,THB 83.50,-0.3%
28,CPN,Central Pattana,Thailand,Real Estate,Real Estate Operations,THB 258.06B,14.2x,0.42,THB 57.50,5.5%
29,KTB_n,Krung Thai Bank DRC,Thailand,Financials,Banking Services,THB 254.36B,6.9x,1.19,THB 18.20,2.3%
30,KTB,Krung Thai Bank,Thailand,Financials,Banking Services,THB 254.36B,6.9x,1.19,THB 18.20,2.3%
31,BBL,Bangkok Bank,Thailand,Financials,Banking Services,THB 250.06B,5.8x,0.36,THB 131,0.8%
32,BBL_f,Bangkok Bank F,Thailand,Financials,Banking Services,THB 248.15B,5.8x,0.36,THB 130,0%
33,SCC_f,Siam Cement F,Thailand,Consumer Non-Cyclicals,Consumer Goods Conglomerates,THB 243.60B,32.6x,-0.44,THB 203,0%
34,SCC_n,Siam Cement DRC,Thailand,Consumer Non-Cyclicals,Consumer Goods Conglomerates,THB 243.60B,32.7x,-0.44,THB 201,2%
35,XIAOMI80x,Krung Thai Bank PCL DRC,Thailand,,,THB 243.56B,6.9x,0.49,THB 7.80,2%
36,PINGAN80x,Krung Thai Bank PCL DRC,Thailand,,,THB 243.56B,6.9x,0.1,THB 1.57,2%
37,SCC,Siam Cement,Thailand,Consumer Non-Cyclicals,Consumer Goods Conglomerates,THB 241.20B,32.7x,-0.44,THB 201,2%
38,CPN_n,Central Pattana DRC,Thailand,Real Estate,Real Estate Operations,THB 240.11B,14.2x,0.42,THB 57.50,5.5%
39,CPN_f,Central Pattana F,Thailand,Real Estate,Real Estate Operations,THB 240.11B,15.2x,0.42,THB 53.50,0%
40,CPF,Charoen Pokphand,Thailand,Consumer Non-Cyclicals,Food & Tobacco,THB 201.95B,34.6x,0.74,THB 24.50,-0.8%
41,CPF_n,Charoen Pokphandoods DRC,Thailand,Consumer Non-Cyclicals,Food & Tobacco,THB 201.95B,34.6x,0.74,THB 24.50,-0.8%
42,BH_p,Bumrungrad Hospital PCL Prf,Thailand,Healthcare,Healthcare Providers & Services,THB 201.11B,28.9x,,THB 22.80,0%
43,BH,Bumrungrad Hospital,Thailand,Healthcare,Healthcare Providers & Services,THB 193.16B,25.5x,1.38,THB 243,0.8%
44,BH_n,Bumrungrad Hospital DRC,Thailand,Healthcare,Healthcare Providers & Services,THB 191.55B,25.5x,1.38,THB 243,0.8%
45,OR,PTT Oil and Retail Business PCL,Thailand,Energy,Oil & Gas,THB 168B,14.5x,0.14,THB 14,0%
