1,AL,AIR LIQUIDE Tun,Tunis,Basic Materials,Chemicals,TND 317.35B,30.8x,0.25,TND 84.19,0%
2,BIAT,BIAT,Tunis,Financials,Banking Services,TND 3.58B,10x,0.68,TND 100.38,0.9%
3,SFBT,SFBT,Tunis,Consumer Non-Cyclicals,Beverages,TND 3.32B,11.7x,1.23,TND 12.38,0.5%
4,BS,ATTIJARI BANK,Tunis,Financials,Banking Services,TND 2.26B,9.9x,0.82,TND 53.90,0%
5,POULA,POULINA GROUP HLD,Tunis,Consumer Non-Cyclicals,Food & Tobacco,TND 1.61B,17.2x,,TND 8.95,0%
6,BT,BT,Tunis,Financials,Banking Services,TND 1.39B,7.6x,3.59,TND 5.15,0.2%
7,AB,AMEN BANK,Tunis,Financials,Banking Services,TND 1.30B,6x,0.14,TND 43,-0.5%
8,UIB,UIB,Tunis,Financials,Banking Services,TND 855.71M,6.8x,-1.15,TND 24.40,0.9%
9,SAH,Sah,Tunis,Consumer Non-Cyclicals,Personal & Household Products & Services,TND 798.15M,22.4x,23.74,TND 9.50,0.9%
10,DH,Societe Delice Holding,Tunis,Consumer Non-Cyclicals,Food & Tobacco,TND 774.19M,8.1x,,TND 14.25,-1%
11,OTH,One Tech Ho,Tunis,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",TND 731.64M,19.4x,0.11,TND 9.10,-0.5%
12,CC,Carthage Cement,Tunis,Basic Materials,Construction Materials,TND 683.81M,12.3x,0.22,TND 1.99,0.5%
13,BH,BH Bank,Tunis,Financials,Banking Services,TND 652.60M,4.6x,0.33,TND 13.71,0.1%
14,BNA,BNA,Tunis,Financials,Banking Services,TND 526.80M,2.5x,0.1,TND 8.20,0.2%
15,STB,S.T.B,Tunis,Financials,Banking Services,TND 493.83M,9.6x,-0.16,TND 3.20,0%
16,STVR,Societe Tunisienne De Verreries,Tunis,Basic Materials,Containers & Packaging,TND 478.90M,10.3x,0.18,TND 12.27,0.6%
17,UBCI,Union Bancaire pour le Commerce et l’Industrie,Tunis,Financials,Banking Services,TND 452.03M,8.5x,-0.79,TND 22.60,0%
18,ATB,ATB,Tunis,Financials,Banking Services,TND 409.60M,"-3,200x",25.63,TND 3.20,0%
19,STAR,STAR,Tunis,Financials,Insurance,TND 392.31M,15.8x,,TND 170,0%
20,SPDI,SPDIT-SICAF,Tunis,Financials,Investment Banking & Investment Services,TND 352.24M,13.1x,,TND 12.58,0%
21,NAKL,Ennakl Automobiles,Tunis,Consumer Cyclicals,Specialty Retailers,TND 310.97M,7.3x,0.65,TND 10.40,-0.4%
22,AST,ASTREE SA,Tunis,Financials,Insurance,TND 273.60M,13.2x,0.41,TND 49.99,0%
23,TPR,TPR,Tunis,Consumer Cyclicals,Homebuilding & Construction Supplies,TND 272M,6.6x,0.15,TND 5.44,-0.2%
24,WIFAK,EL WIFACK LEASING,Tunis,Financials,Banking Services,TND 269.40M,42.3x,,TND 8.98,0%
25,ARTES,Automobile Reseau Tunisien Et Service,Tunis,Consumer Cyclicals,Specialty Retailers,TND 240.98M,8x,,TND 6.33,-0.3%
26,ASSMA,Ste Assurances Magrebia,Tunis,Financials,Insurance,TND 234.90M,7.2x,0.54,TND 52.20,0%
27,CITY,City Cars,Tunis,Consumer Cyclicals,Specialty Retailers,TND 227.22M,7.2x,1.54,TND 12.70,-0.3%
28,UMED,Unite de Fabrication de Medicaments,Tunis,Healthcare,Pharmaceuticals,TND 225.60M,40.8x,-1.4,TND 7.05,0.6%
29,TLS,TUNISIE LEASING,Tunis,Financials,Banking Services,TND 164.16M,5.9x,,TND 15.20,0%
30,AMI,Ste Assurances Multirisq Ittihad,Tunis,Financials,Insurance,TND 156.43M,26.7x,,TND 1.79,0%
31,AMV,Assurances Maghrebia Vie,Tunis,Financials,Insurance,TND 154M,8.8x,,TND 6.10,-1.4%
32,CIL,CIL,Tunis,Financials,Banking Services,TND 144.48M,7.4x,0.51,TND 21.50,0%
33,TRE,Tunis Re,Tunis,Financials,Insurance,TND 137.69M,7.9x,,TND 6.90,0.3%
34,ICF,ICF,Tunis,Basic Materials,Chemicals,TND 134.65M,5.1x,-0.24,TND 64.12,0%
35,SMART,Smart Tunisie,Tunis,Technology,"Computers, Phones & Household Electronics",TND 133.77M,9.4x,,TND 16.27,-0.2%
36,STPAP,Societe Tunisienne Industrielle Du Papier Et Du Ca,Tunis,Basic Materials,Paper & Forest Products,TND 133.31M,49.4x,,TND 4.75,-3.8%
37,LNDOR,Land Or,Tunis,Consumer Non-Cyclicals,Food & Tobacco,TND 126.70M,18.5x,0.11,TND 9.03,-3.4%
38,BHASS,BH Assurance,Tunis,Financials,Insurance,TND 125.69M,9.6x,-9.69,TND 47.25,0%
39,ATL,ATL,Tunis,Real Estate,Real Estate Operations,TND 123.82M,6.2x,0.28,TND 3.86,-0.3%
40,ECYCL,Euro-Cycles,Tunis,Consumer Cyclicals,Leisure Products,TND 120.85M,23.3x,-0.33,TND 12.33,6.8%
41,MNP,Societe Nouvelle Maison de la Ville de Tunis,Tunis,Consumer Cyclicals,Diversified Retail,TND 101.38M,-9.5x,,TND 4,0%
42,SMG,MAGASIN GENERAL,Tunis,Consumer Cyclicals,Diversified Retail,TND 100.89M,-2.4x,-0.11,TND 6.40,0%
43,MGR,Societe Tunisienne des Marches de Gros,Tunis,Consumer Non-Cyclicals,Food & Drug Retailing,TND 83.29M,10.9x,0.47,TND 6.33,0.3%
