1,ISKUR,Turkiye Is Bankasi,Istanbul,Financials,Banking Services,"TRY 150,000.27T",4.8x,-84.06,"TRY 6,000,000",0%
2,ISATR,Turkiye Is Bankasi A,Istanbul,Financials,Banking Services,"TRY 145,200.27T","2,140,000x",-84.06,"TRY 5,808,000",0%
3,ISBTR,Turkiye Is Bankasi B,Istanbul,Financials,Banking Services,"TRY 16,200.03T","2,140,000x",-84.06,"TRY 648,000",-0.2%
4,OJT,Qnb Finansbank,Istanbul,Financials,Banking Services,TRY 880.21B,28.1x,,TRY 263.25,0.4%
5,QNBFB,Qnb Finansbank,Istanbul,Financials,Banking Services,TRY 880.21B,28.1x,0.45,TRY 263.25,0.4%
6,GARAN,Garanti Bank,Istanbul,Financials,Banking Services,TRY 479.22B,4.9x,0.13,TRY 114,0.9%
7,KCHOL,Koc Holding,Istanbul,Financials,Investment Holding Companies,TRY 470.66B,12.5x,-0.23,TRY 185.70,1.8%
8,THYAO,THY,Istanbul,Industrials,Passenger Transportation Services,TRY 398.46B,2.2x,0.01,TRY 288.50,-1.1%
9,BIMAS,BIM Magazalar,Istanbul,Consumer Cyclicals,Diversified Retail,TRY 341.48B,18.8x,1.76,TRY 572,0.7%
10,ISCTR,Turkiye Is Bankasi C,Istanbul,Financials,Banking Services,TRY 332.50B,"2,140,000x",-84.06,TRY 13.30,2%
11,FROTO,Ford Otosan,Istanbul,Consumer Cyclicals,Automobiles & Auto Parts,TRY 311.96B,6.9x,0.58,TRY 890,1.1%
12,TUPRS,Tupras Turkiye,Istanbul,Energy,Oil & Gas,TRY 311.76B,4.6x,,TRY 162.60,2.3%
13,AKBNK,Akbank TAS,Istanbul,Financials,Banking Services,TRY 303.42B,5.1x,-0.31,TRY 58.35,3.8%
14,ASELS,Aselsan,Istanbul,Industrials,Aerospace & Defense,TRY 266.99B,27.6x,0.05,TRY 58.70,2%
15,ENKAI,ENKA,Istanbul,Industrials,Construction & Engineering,TRY 263.47B,16.5x,0.38,TRY 45.10,1%
16,YKBNK,Yapi ve Kredi Bankasi,Istanbul,Financials,Banking Services,TRY 243.44B,4x,0.6,TRY 28.90,3.4%
17,TCELL,Turkcell,Istanbul,Technology,Telecommunications Services,TRY 228.90B,14.7x,0.1,TRY 105,1.4%
18,SASA,SASA Polyester,Istanbul,Consumer Cyclicals,Textiles & Apparel,TRY 222.23B,7.2x,-3.2,TRY 5.25,2.7%
19,KENT,Kent Gida,Istanbul,Consumer Non-Cyclicals,Food & Tobacco,TRY 212.96B,393.5x,0.11,TRY 960,-1%
20,SAHOL,Sabanci Holding,Istanbul,Financials,Investment Holding Companies,TRY 197.54B,15.6x,-0.27,TRY 94.20,3.1%
21,PKENT,Petrokent Turizm,Istanbul,Consumer Cyclicals,Hotels & Entertainment Services,TRY 192.10B,758.3x,3.25,TRY 232.10,4.5%
22,VAKBN,Vakif Bankasi,Istanbul,Financials,Banking Services,TRY 191.28B,4.6x,,TRY 19.37,2%
23,CCOLA,Coca Cola Icecek,Istanbul,Consumer Non-Cyclicals,Beverages,TRY 189.01B,9.3x,0.43,TRY 67.60,-0.2%
24,TTKOM,Turk Telekom,Istanbul,Technology,Telecommunications Services,TRY 174.65B,10.7x,0.09,TRY 50.20,1.7%
25,EREGL,Erdemir,Istanbul,Basic Materials,Metals & Mining,TRY 174.44B,18.1x,-0.82,TRY 49.86,1.3%
26,AEFES,Anadolu Efes Malt,Istanbul,Consumer Non-Cyclicals,Beverages,TRY 154.39B,6.9x,0.01,TRY 261.75,1.2%
27,SISE,Sisecam,Istanbul,Consumer Non-Cyclicals,Consumer Goods Conglomerates,TRY 133.19B,8.9x,-0.22,TRY 43.56,2.8%
