1,MTNU,MTN Uganda,Uganda,Technology,Telecommunications Services,UGX 3.89T,6.9x,0.25,UGX 173,0%
2,SBU,Stanbic Bank Uganda,Uganda,Financials,Banking Services,UGX 1.97T,4.8x,0.31,UGX 38.50,0%
3,BATU,British American Tobacco Uganda,Uganda,Consumer Non-Cyclicals,Food & Tobacco,UGX 736.2B,76.3x,-8.41,"UGX 15,000",-50%
4,UMEME,Umeme,Uganda,Utilities,Electrical Utilities & IPPs,UGX 706.39B,61.6x,-0.67,UGX 435,0%
5,BOBU,Bank of Baroda Uganda,Uganda,Financials,Banking Services,UGX 300B,2.6x,-0.51,UGX 20,0%
6,CQCIL,Cipla Quality,Uganda,Healthcare,Pharmaceuticals,UGX 191.73B,6x,0.09,UGX 52.50,0%
7,DFCU,dfcu,Uganda,Financials,Banking Services,UGX 168.33B,5.9x,-2.29,UGX 225,0%
8,CENT,Centum Investment,Uganda,Financials,Investment Banking & Investment Services,UGX 163.72B,2.1x,0.01,UGX 235,-19%
9,NVL,New Vision Printing & Publishing,Uganda,Consumer Cyclicals,Media & Publishing,UGX 11.7B,-1x,0,UGX 153,0%
10,NIC,NIC Holdings,Uganda,Financials,Insurance,UGX 10.62B,2.5x,,UGX 5,-9.1%
11,UCL,Uganda Clays,Uganda,Basic Materials,Construction Materials,UGX 9.63B,-3.4x,0.02,UGX 10.70,0%
