1,IHC,International Holding Company,Abu Dhabi,Consumer Non-Cyclicals,Consumer Goods Conglomerates,AED 890.58B,32.5x,0.49,AED 406,0%
2,TAQA,Abu Dhabi National Energy,Abu Dhabi,Utilities,Multiline Utilities,AED 301.32B,39.8x,-0.7,AED 2.68,0%
3,ADNOCGAS,ADNOC,Abu Dhabi,Energy,Oil & Gas,AED 247.14B,13.6x,,AED 3.17,0%
4,FAB,First Abu Dhabi Bank,Abu Dhabi,Financials,Banking Services,AED 148.17B,9.3x,0.41,AED 13.42,0%
5,EAND,Emirates Telec,Abu Dhabi,Technology,Telecommunications Services,AED 145.76B,13.1x,1.09,AED 16.76,0%
6,ENBD,Emirates NBD PJSC,Dubai,Financials,Banking Services,AED 123.49B,5.5x,0.34,AED 19.55,0%
7,ALPHADHABI,Alpha Dhabi Holding PJSC,Abu Dhabi,Consumer Non-Cyclicals,Consumer Goods Conglomerates,AED 120B,19.9x,-0.51,AED 12,0%
8,DEWAA,Dubai Electricity and Water,Dubai,Utilities,Electrical Utilities & IPPs,AED 120B,15.8x,4.18,AED 2.38,0%
9,BOROUGE,Abu Dhabi Polymers Co Borouge LLC,Abu Dhabi,Basic Materials,Chemicals,AED 73.94B,17.5x,1.05,AED 2.45,0%
10,EMAR,Emaar Properties,Dubai,Real Estate,Real Estate Operations,AED 73.19B,6.1x,0.11,AED 8.28,0%
11,ADNOCDRILL,ADNOC Drilling,Abu Dhabi,Energy,Oil & Gas Related Equipment and Services,AED 73.12B,17.4x,0.52,AED 4.61,0%
12,ADCB,Abu Dhabi Commercial Bank PJSC,Abu Dhabi,Financials,Banking Services,AED 63.96B,7.7x,0.38,AED 8.74,0%
13,ALDAR,Aldar Properties,Abu Dhabi,Real Estate,Real Estate Operations,AED 56.61B,11.9x,0.26,AED 7.20,0%
14,QHOLDING,Al Qudra,Abu Dhabi,Real Estate,Real Estate Operations,AED 50.19B,3.5x,0,AED 3.07,0%
15,ADIB,Abu Dhabi Islamic Bank PJSC,Abu Dhabi,Financials,Banking Services,AED 45.98B,8.7x,0.29,AED 12.66,0%
16,MASB,Mashreqbank PSC,Dubai,Financials,Banking Services,AED 43.13B,4.8x,0.08,AED 215,0%
17,PUREHEALTH,Pure Health Holding PJSC,Abu Dhabi,Healthcare,Healthcare Providers & Services,AED 42.56B,64.2x,,AED 3.85,0%
18,ADNOCDIST,National Oil,Abu Dhabi,Energy,Oil & Gas,AED 42.38B,15.8x,0.88,AED 3.39,0%
19,DISB,Dubai Islamic Bank,Dubai,Financials,Banking Services,AED 41.77B,6.3x,0.3,AED 5.78,0%
20,ADNOCLS,ADNOC Logistics Services,Abu Dhabi,Industrials,Freight & Logistics Services,AED 36.62B,13.9x,-0.74,AED 4.93,0%
21,EMAARDEV,Emaar Develop,Dubai,Real Estate,Real Estate Operations,AED 32.60B,4.7x,0.06,AED 8.15,0%
22,MBME,MBME PJSC,Abu Dhabi,Industrials,Professional & Commercial Services,AED 29.65B,612.5x,7.82,AED 10.78,0%
23,DU,Emirate Integrated Telecom,Dubai,Technology,Telecommunications Services,AED 27.88B,13.4x,0.26,AED 6.15,0%
24,EIB,Emirates Islamic Bank PJSC,Dubai,Financials,Banking Services,AED 27.15B,11.5x,0.24,AED 5,0%
25,ADPORTS,Abu Dhabi Ports Co.,Abu Dhabi,Industrials,Transport Infrastructure,AED 25.39B,22.5x,-1.39,AED 5.02,0%
26,SALIK,Salik Company PJSC,Dubai,Industrials,Transport Infrastructure,AED 25.35B,23x,-2.81,AED 3.41,0%
27,MULTIPLY,Multiply PJSC,Abu Dhabi,Financials,Investment Holding Companies,AED 23.74B,-7.7x,0.06,AED 2.10,0%
28,NMDC,National Marine Dredging,Abu Dhabi,Industrials,Construction & Engineering,AED 20.30B,7.4x,0.15,AED 24.60,0%
29,FERTIGLB,Fertiglobe,Abu Dhabi,Basic Materials,Chemicals,AED 19.59B,19.3x,-0.33,AED 2.35,0%
30,CBD,Commercial Bank of Dubai,Dubai,Financials,Banking Services,AED 18.72B,6.8x,0.2,AED 6.27,0%
31,EMPOWER,Emirates Central Cooling Systems,Dubai,Utilities,Water & Related Utilities,AED 16.50B,18.2x,-4.78,AED 1.70,0%
