1,0593q,Samsung Electronics Co Ltd DRC Pref,London,Technology,"Computers, Phones & Household Electronics",£292.89B,17.9x,-0.84,£887.84,0.5%
2,0593xq,Samsung Electronics DRC,London,Technology,"Computers, Phones & Household Electronics",£292.89B,17.9x,-0.84,"£1,112.92",0.6%
3,AZN,AstraZeneca,London,Healthcare,Pharmaceuticals,£201.57B,40.2x,9.14,£130.19,0.9%
4,RELIq,Reliance Industries Ltd,London,Energy,Oil & Gas,£183.47B,28.8x,4.71,£54.28,0.1%
5,HSBA,HSBC,London,Financials,Banking Services,£117.47B,7.2x,-2.28,£6.45,-0.7%
6,CYPCq,China Yangtze Power Co,London,Utilities,Electrical Utilities & IPPs,£79.31B,26.5x,,£33.07,0%
7,RIO,Rio Tinto PLC,London,Basic Materials,Metals & Mining,£76.72B,9.2x,0.39,£47.25,-2.6%
8,BP_p,BP,London,Energy,Oil & Gas,£71B,12.9x,,£1.54,2.9%
9,BP,BP,London,Energy,Oil & Gas,£71B,12.9x,-0.21,£4.41,0.9%
10,BP_pb,BP,London,Energy,Oil & Gas,£70.93B,12.9x,-0.21,£1.62,-2.5%
11,SBIq,State Bank India,London,Financials,Banking Services,£66.37B,10.6x,7.11,£74.51,0%
12,REL,Relx,London,Technology,Software & IT Services,£66.03B,35.9x,3.88,£35.49,-0%
13,GSK,GSK plc,London,Healthcare,Pharmaceuticals,£65.06B,16.1x,-0.21,£15.96,-0.1%
14,BATS,British American Tobacco,London,Consumer Non-Cyclicals,Food & Tobacco,£62.33B,-4.5x,0.02,£28.16,0.2%
15,2317q,Hon Hai Precision ADR,London,Technology,Electronic Equipment & Parts,£58.82B,17.1x,0.74,£8.69,-2.6%
16,DGE,Diageo,London,Consumer Non-Cyclicals,Beverages,£55.38B,18.6x,-1.52,£24.92,0.9%
17,LSEG,London Stock Exchange,London,Financials,Investment Banking & Investment Services,£52.90B,79.3x,-2.01,£99.72,-0.2%
18,GLEN,Glencore,London,Basic Materials,Metals & Mining,£49.54B,-121.9x,1.14,£4.07,1%
19,NG,National Grid,London,Utilities,Multiline Utilities,£48.33B,15.9x,-0.3,£9.89,0%
20,LARTq,Larsen&Toubro,London,Industrials,Construction & Engineering,£45.19B,36.7x,1.82,£33.10,0.2%
21,CRH,CRH,London,Basic Materials,Construction Materials,£44.32B,17.2x,0.74,£64.90,-0.2%
22,RR,Rolls-Royce Holdings,London,Industrials,Aerospace & Defense,£41.89B,17.9x,0.33,£4.94,-1%
23,BAES,BAE Systems,London,Industrials,Aerospace & Defense,£40.50B,22.3x,-5.13,£13.47,-0.8%
24,CPG,Compass,London,Consumer Cyclicals,Hotels & Entertainment Services,£40.41B,29.9x,1.75,£23.78,0.2%
25,LLOY_pe,Lloyds Banking Prf,London,Financials,Banking Services,£35.54B,8.1x,,£1.02,-0.4%
26,LLOY_pa,Lloyds Banking Pref A,London,Financials,Banking Services,£35.54B,8.1x,,£1.54,0%
27,LLOY_pb,Lloyds Banking Pref B,London,Financials,Banking Services,£35.54B,8.1x,,£1.47,0%
28,LLOY,Lloyds Banking,London,Financials,Banking Services,£35.53B,8.1x,0.3,£0.57,0.3%
29,HLN,HALEON,London,Healthcare,Pharmaceuticals,£34.21B,30.4x,-2.78,£3.75,0.2%
30,AXBKq,Axis Bank GDR,London,Financials,Banking Services,£33.08B,13.3x,0.12,£53.43,0.3%
31,EXPN,Experian,London,Industrials,Professional & Commercial Services,£32.76B,35.3x,0.61,£35.83,-0.1%
32,BARC,Barclays,London,Financials,Banking Services,£32.31B,8.4x,-0.31,£2.20,-0.9%
33,FERG,Ferguson,London,Consumer Cyclicals,Homebuilding & Construction Supplies,£31.91B,22.3x,13.07,£159,0.3%
34,0538q,Hyundai Motor DRC,London,Consumer Cyclicals,Automobiles & Auto Parts,£30.49B,5.9x,0.18,£46.42,-0.7%
35,III,3I Group,London,Financials,Investment Banking & Investment Services,£29.90B,7.8x,-0.47,£30.99,0.1%
