1,AAPL,Apple,NASDAQ,Technology,"Computers, Phones & Household Electronics",$3.42T,34.1x,3.13,$224.72,1.4%
2,MSFT,Microsoft,NASDAQ,Technology,Software & IT Services,$3.12T,35.4x,1.56,$420.98,1.2%
3,NVDA,NVIDIA,NASDAQ,Technology,Semiconductors & Semiconductor Equipment,$3.01T,70.9x,0.08,$122.86,4.1%
4,GOOG,Alphabet C,NASDAQ,Technology,Software & IT Services,$2.01T,22.9x,0.49,$163.17,0.7%
5,GOOGL,Alphabet A,NASDAQ,Technology,Software & IT Services,$1.98T,23.2x,0.49,$161.30,0.6%
6,AMZN,Amazon.com,NASDAQ,Consumer Cyclicals,Diversified Retail,$1.86T,41.5x,0.17,$177.59,4.4%
7,META,Meta Platforms,NASDAQ,Technology,Software & IT Services,$1.36T,26.7x,0.2,$537.33,2%
8,BRKa,Berkshire Hathaway A,NYSE,Consumer Non-Cyclicals,Consumer Goods Conglomerates,$947.93B,14.1x,-0.66,"$661,145",0.6%
9,BRKb,Berkshire Hathaway B,NYSE,Consumer Non-Cyclicals,Consumer Goods Conglomerates,$947.93B,14.1x,-0.66,$440.84,0.5%
10,LLY,Eli Lilly,NYSE,Healthcare,Pharmaceuticals,$837.33B,113.9x,8.34,$931.58,-0%
11,AVGO,Broadcom,NASDAQ,Technology,Semiconductors & Semiconductor Equipment,$773.60B,70.2x,-2.36,$166.13,5.4%
12,TSM,Taiwan Semiconductor,NYSE,Technology,Semiconductors & Semiconductor Equipment,$754.68B,26.6x,-5.99,$173.99,2.4%
13,TSLA,Tesla,NASDAQ,Consumer Cyclicals,Automobiles & Auto Parts,$683.81B,55x,48.44,$214.14,6.3%
14,NVO,Novo Nordisk ADR,NYSE,Healthcare,Pharmaceuticals,$603.66B,45.8x,1.3,$137.57,2.3%
15,JPM_pc,JPMorgan Chase Pref EE,NYSE,Financials,Banking Services,$601.10B,11.8x,0.74,$25.19,0.1%
16,JPM,JPMorgan,NYSE,Financials,Banking Services,$601.10B,11.8x,0.74,$211.55,0.6%
17,JPM_pj,Jp Morgan Gg Pref,NYSE,Financials,Banking Services,$598.17B,11.5x,,$21.97,-0.4%
18,WMT,Walmart,NYSE,Consumer Non-Cyclicals,Food & Drug Retailing,$587.82B,31.2x,0.42,$73.18,6.6%
19,UNH,UnitedHealth,NYSE,Healthcare,Healthcare Providers & Services,$533.40B,37.9x,-1.13,$579.61,-0%
20,XOM,Exxon Mobil,NYSE,Energy,Oil & Gas,$527.23B,14.2x,-0.46,$118.73,-0.2%
21,V,Visa A,NYSE,Technology,Software & IT Services,$507.46B,28.4x,1.41,$266.92,2.2%
22,TCEHY,Tencent ADR,OTC Markets,Technology,Software & IT Services,$434.03B,21.5x,-0.78,$47.62,0.6%
23,MA,Mastercard,NYSE,Technology,Software & IT Services,$432.48B,35.7x,1.52,$468.71,1.9%
24,PG,P&G,NYSE,Consumer Non-Cyclicals,Personal & Household Products & Services,$394.75B,27.2x,13.51,$167.92,-0.5%
25,COST,Costco,NASDAQ,Consumer Cyclicals,Diversified Retail,$388.57B,54.3x,2.71,$877.43,1.7%
